experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec
k_saturation,0,,512,8192,160,1,1,64,64,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.8330455059579176,2.833045505957921,2.8330455059579176,2.050609222085557,2.833045505957921,2.8330455059579176,-3.552713678800501e-15,1,1,1,1,0,1,1,1,1.0,1.0,0.3328529033336683,0.3328529033336676,4.2698098436156355,4.2698098436156355,7.563340321116333,0.5645402246008442,0.5645402246008442,1,12.807024194046592,12.807024194046592,164.01986870689475,11.833150164731968,11.833150164731968,140.0234428210962,11.833150164731968,164.01986870689475,140.0234428210962,12.807024194046592,164.01986870689475,11.833150164731968,140.0234428210962,12.807024194046592,164.01986870689475,11.833150164731968,140.0234428210962,1.0,1.0,164.01986870689475,140.0234428210962,0.0,0.0,1.0,0.0,1.0,1.0,0.0038537578583825393,471.06407676138514,0.014399999999998993,70.44444444444952,0.0,0.0,138.0357283331005,142.7984492527164,0.0,0.0,-2.4879217508259592e-17,0.9999999999999988,0.7824362838723604,2.3506968875317544,26.960769583638147,0.1870929873183762,0.5620890953467973,0.9322899094013584,26.77367659631977,0.9258203276019378,26.960769583638147,26.773676596319767,0.18709298731837976,0.9322899094013584,0.34527089999755844
k_saturation,1,,512,8192,160,1,1,64,64,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.909811198032078,2.9098111980320644,2.909811198032078,1.973477294258947,2.9098111980320644,2.909811198032078,1.3766765505351941e-14,1,1,1,1,0,1,1,1,1.0,1.0,0.3534141837811484,0.35341418378115613,4.310338661933396,4.310338661933396,7.5228115027985725,0.5729691167098764,0.5729691167098764,1,12.11348899428701,12.11348899428701,146.73661561471252,11.833150164731968,11.833150164731968,140.0234428210962,11.833150164731968,146.7366156147126,140.0234428210962,12.11348899428701,146.73661561471252,11.833150164731968,140.0234428210962,12.11348899428701,146.73661561471252,11.833150164731968,140.0234428210962,1.0,1.0,146.73661561471252,140.0234428210962,0.0,0.0,1.0,0.0,1.0,1.0,0.003739883268851712,488.20417285694435,0.014399999999999273,70.44444444444817,0.0,0.0,138.03572833309994,133.64906067143704,0.0,0.0,1.0300682575836555e-16,1.0000000000000047,0.9363339037731313,2.6493953744452297,26.833238240767617,0.21117067456538408,0.5975161276949394,0.9347616233579985,26.622067566202233,0.9274052901122242,26.833238240767617,26.622067566202233,0.21117067456538408,0.9347616233579985,0.31731429998762906
k_saturation,2,,512,8192,160,1,1,64,64,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.8514831209413867,2.851483120941382,2.8514831209413867,2.006856487437915,2.851483120941382,2.8514831209413867,4.884981308350689e-15,1,1,1,1,0,1,1,1,1.0,1.0,0.29241678072818034,0.29241678072818184,3.547715359765044,3.547715359765044,8.285434804966924,0.4281869863532415,0.4281869863532415,1,12.09901797312285,12.09901797312285,146.38623591394975,11.833150164731968,11.833150164731968,140.0234428210962,11.833150164731968,146.38623591394966,140.0234428210962,12.09901797312285,146.38623591394975,11.833150164731968,140.0234428210962,12.09901797312285,146.38623591394975,11.833150164731968,140.0234428210962,1.0,1.0,146.38623591394975,140.0234428210962,0.0,0.0,1.0,0.0,1.0,1.0,0.0038258590091266908,468.157978771409,0.01439999999999923,70.44444444444832,0.0,0.0,138.0357283330995,135.3445849173399,0.0,0.0,3.6092920240097775e-17,1.0000000000000018,0.8446266335034718,2.888434211607714,26.921377322578145,0.1559183044430803,0.5332057348241424,0.9309663438333924,26.765459018135065,0.9255745434033921,26.921377322578145,26.765459018135065,0.1559183044430803,0.9309663438333924,0.3449640999897383
k_saturation,3,,512,8192,160,1,1,64,64,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,3.0770253694382923,3.077025369438287,3.0770253694382923,1.9644665497748877,3.077025369438287,3.0770253694382923,5.329070518200751e-15,1,1,1,1,0,1,1,1,1.0,1.0,0.35709457105732206,0.3570945710573218,4.551066732631596,4.551066732631596,7.282083432100371,0.624967672379295,0.624967672379295,1,12.743207682713162,12.743207682713162,162.38934204475976,11.833150164731967,11.833150164731967,140.02344282109615,11.833150164731967,162.3893420447597,140.02344282109615,12.743207682713162,162.38934204475976,11.833150164731967,140.02344282109615,12.743207682713162,162.38934204475976,11.833150164731967,140.02344282109615,1.0,1.0,162.38934204475976,140.02344282109615,0.0,0.0,1.0,0.0,1.0,1.0,0.0040422408399556665,449.1582411054928,0.014399999999999295,70.44444444444812,0.0,0.0,138.03572833309954,139.42404211838956,0.0,0.0,3.8222034286422863e-17,1.0000000000000018,1.1125588196634046,3.1155859255133107,26.9704483840166,0.20123291189572612,0.5635283429257838,0.9354581847783089,26.769215472120873,0.9284785094017887,26.9704483840166,26.76921547212088,0.201232911895719,0.9354581847783089,0.293831399991177
k_saturation,4,,512,8192,160,1,1,64,64,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.820010027799249,2.820010027799256,2.820010027799249,1.9836545747993355,2.820010027799256,2.820010027799249,-7.105427357601002e-15,1,1,1,1,0,1,1,1,1.0,1.0,0.33263970027545176,0.33263970027545126,4.191718879670517,4.191718879670517,7.64143128506145,0.5485515374410396,0.5485515374410396,1,12.600489763357425,12.600489763357425,158.77234227647526,11.833150164731967,11.833150164731967,140.02344282109615,11.833150164731967,158.77234227647517,140.02344282109615,12.600489763357425,158.77234227647526,11.833150164731967,140.02344282109615,12.600489763357425,158.77234227647526,11.833150164731967,140.02344282109615,1.0,1.0,158.77234227647526,140.02344282109615,0.0,0.0,1.0,0.0,1.0,1.0,0.0039216150070155225,471.4013103687659,0.014399999999999129,70.44444444444885,0.0,0.0,138.03572833309985,138.9618286420496,0.0,0.0,-5.113222405775763e-17,0.9999999999999974,0.8363554529999135,2.5142983603801556,26.88213859761306,0.17190882938340124,0.5168019007985142,0.9339402284728077,26.71022976822966,0.9279677657236913,26.88213859761306,26.71022976822966,0.17190882938340124,0.9339402284728077,0.31084390002069995
k_saturation,5,,512,8192,160,1,1,64,64,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.981712216373556,2.981712216373565,2.981712216373556,2.0945863000782654,2.981712216373565,2.981712216373556,-9.325873406851315e-15,1,1,1,1,0,1,1,1,1.0,1.0,0.3434694824610451,0.3434694824610444,4.287022048551381,4.287022048551381,7.546128116180589,0.5681088344311364,0.5681088344311364,1,12.477016155771528,12.477016155771528,155.6759321513837,11.83315016473197,11.83315016473197,140.02344282109624,11.83315016473197,155.67593215138373,140.02344282109624,12.477016155771528,155.6759321513837,11.83315016473197,140.02344282109624,12.477016155771528,155.6759321513837,11.83315016473197,140.02344282109624,1.0,1.0,155.6759321513837,140.02344282109624,0.0,0.0,1.0,0.0,1.0,1.0,0.003671079862769704,496.62952816732735,0.01439999999999925,70.44444444444822,0.0,0.0,138.03572833309906,137.21711671330672,0.0,0.0,-6.796435918658923e-17,0.9999999999999969,0.8871259162952905,2.582837665631346,26.92089690797236,0.19789180678367657,0.576155428324323,0.93292109021379,26.723005101188683,0.9260633157213536,26.92089690797236,26.723005101188683,0.19789180678367657,0.93292109021379,0.32322839996777475
k_saturation,6,,512,8192,160,1,1,64,64,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.8251626965082197,2.8251626965082113,2.8251626965082197,2.0187612934657917,2.8251626965082113,2.8251626965082197,8.43769498715119e-15,1,1,1,1,0,1,1,1,1.0,1.0,0.28603468788941794,0.28603468788941483,3.6177686679869794,3.6177686679869794,8.215381496744989,0.4403652672027919,0.4403652672027919,1,12.616294674678114,12.616294674678114,159.17089131831133,11.833150164731968,11.833150164731968,140.0234428210962,11.833150164731968,159.17089131831125,140.0234428210962,12.616294674678114,159.17089131831133,11.833150164731968,140.0234428210962,12.616294674678114,159.17089131831133,11.833150164731968,140.0234428210962,1.0,1.0,159.17089131831133,140.0234428210962,0.0,0.0,1.0,0.0,1.0,1.0,0.0039006730819858013,457.64445761957137,0.014399999999999295,70.44444444444804,0.0,0.0,138.03572833309954,142.33807568348675,0.0,0.0,5.927925431501448e-17,1.0000000000000029,0.806401403042428,2.819243389648582,26.85224649295374,0.12853535615368372,0.44936981980093743,0.9314909457015588,26.723711136800055,0.9270321187467601,26.85224649295374,26.723711136800055,0.12853535615368372,0.9314909457015588,0.27724349999334663
k_saturation,7,,512,8192,160,1,1,64,64,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,3.0857654729095945,3.0857654729095976,3.0857654729095945,1.9968578166743254,3.0857654729095976,3.0857654729095945,-3.1086244689504383e-15,1,1,1,1,0,1,1,1,1.0,1.0,0.3809431548821176,0.3809431548821176,5.007929029688105,5.007929029688105,6.825221135043865,0.733738721515566,0.733738721515566,1,13.122534521630214,13.122534521630214,172.20091227137672,11.83315016473197,11.83315016473197,140.02344282109624,11.83315016473197,172.2009122713768,140.02344282109624,13.122534521630214,172.20091227137672,11.83315016473197,140.02344282109624,13.122534521630214,172.20091227137672,11.83315016473197,140.02344282109624,1.0,1.0,172.20091227137672,140.02344282109624,0.0,0.0,1.0,0.0,1.0,1.0,0.0037777098484201082,468.691946221857,0.01439999999999906,70.44444444444916,0.0,0.0,138.03572833309926,140.18319880196458,0.0,0.0,-2.217544253175419e-17,0.999999999999999,1.088907656235269,2.858451824845705,26.914730926228074,0.2305894187963169,0.6053118840465121,0.9352704606201928,26.684141507431757,0.9272576191571703,26.914730926228074,26.684141507431757,0.2305894187963169,0.9352704606201928,0.4600526000140235
k_saturation,8,,512,8192,160,1,1,64,64,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.728056772118843,2.728056772118835,2.728056772118843,1.9940712903869957,2.728056772118835,2.728056772118843,7.993605777301127e-15,1,1,1,1,0,1,1,1,1.0,1.0,0.3591016014368889,0.35910160143689074,4.324254127925116,4.324254127925116,7.508896036806853,0.5758841388572479,0.5758841388572479,1,11.845482023447351,11.845482023447351,140.31544436781437,11.833150164731968,11.833150164731968,140.0234428210962,11.833150164731968,140.3154443678144,140.0234428210962,11.845482023447351,140.31544436781437,11.833150164731968,140.0234428210962,11.845482023447351,140.31544436781437,11.833150164731968,140.0234428210962,1.0,1.0,140.31544436781437,140.0234428210962,0.0,0.0,1.0,0.0,1.0,1.0,0.0037248128195694727,486.5961710217365,0.0143999999999993,70.44444444444801,0.0,0.0,138.03572833309926,129.41454467820495,0.0,0.0,6.176744505169481e-17,1.0000000000000029,0.7339854817318474,2.0439493413421594,26.93494681013677,0.23196034251779452,0.645946277013637,0.9346157107244936,26.702986467618974,0.926566918873879,26.93494681013677,26.702986467618974,0.23196034251779452,0.9346157107244936,0.4947229999816045
k_saturation,9,,512,8192,160,1,1,64,64,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,3.155037753757357,3.1550377537573593,3.155037753757357,2.0257522468967357,3.1550377537573593,3.155037753757357,-2.220446049250313e-15,1,1,1,1,0,1,1,1,1.0,1.0,0.27918082492101143,0.2791808249210118,4.221413924328655,4.221413924328655,7.611736240403312,0.5545927750256596,0.5545927750256596,1,13.990695191941626,13.990695191941626,195.73955195381853,11.833150164731967,11.833150164731967,140.02344282109615,11.833150164731967,195.7395519538186,140.02344282109615,13.990695191941626,195.73955195381853,11.833150164731967,140.02344282109615,13.990695191941626,195.73955195381853,11.833150164731967,140.02344282109615,1.0,1.0,195.73955195381853,140.02344282109615,0.0,0.0,1.0,0.0,1.0,1.0,0.003813654409365253,459.69296559705515,0.014399999999999231,70.4444444444484,0.0,0.0,138.0357283330996,159.27991479238128,0.0,0.0,-1.3940527606036377e-17,0.9999999999999993,1.1292855068606213,4.044996669023126,26.993348822849594,0.13410518106645242,0.4803524063817584,0.9320708377656365,26.85924364178314,0.9274402330457244,26.993348822849594,26.85924364178314,0.13410518106645242,0.9320708377656365,0.47914370003854856
