K,lambda_top_mean,lambda_top_sem,oracle_lambda_top_mean,oracle_lambda_top_sem,lambda_at_bottleneck_rank_mean,lambda_at_bottleneck_rank_sem,oracle_lambda_at_bottleneck_rank_mean,oracle_lambda_at_bottleneck_rank_sem,relative_conditioning_mean,relative_conditioning_sem,oracle_relative_conditioning_mean,oracle_relative_conditioning_sem,theorem_subspace_error_mean,theorem_subspace_error_sem,per_target_excess_mse_mean,per_target_excess_mse_sem,test_mse_mean,test_mse_sem,oracle_test_mse_mean,oracle_test_mse_sem,oracle_effdim_mean,oracle_effdim_sem,empirical_effdim_mean,empirical_effdim_sem,per_target_risk_stability_ratio_mean,per_target_risk_stability_ratio_sem,calibrated_excess_risk_rhs_mean,calibrated_excess_risk_rhs_sem,calibrated_total_risk_rhs_mean,calibrated_total_risk_rhs_sem,risk_stability_bound_mean,risk_stability_bound_sem,delta,calibrated_c,empirical_l,concentration_coverage
64,1.0064222456692995,0.012566456338537152,0.9411764705882352,1.1991779233329539e-16,0.01765976837918648,0.00035113875682761764,0.01882352941176467,1.5438064341682233e-17,0.017587213948379088,0.0004819447131751246,0.01999999999999997,1.5438064341682233e-17,0.5247408081272767,0.005646051198476181,0.00894749262541512,6.143698716339982e-05,0.08643826202787559,5.2988403672595853e-05,0.0774907694024604,3.256273563848177e-05,16.29718659361442,1.8346134549116833e-15,15.702750326930655,0.17103241629756266,0.017072900805101272,0.0002531659562984595,0.06726961364071057,2.5039912000765234e-17,0.14476038304317096,3.25627356384739e-05,0.012547639914488727,0.00013500878201198175,0.1,1.807709038431396,0.0239120718650974,0.9
80,1.018247872371934,0.013671939791748923,0.9411764705882352,1.1991779233329539e-16,0.0461455584282314,0.00043863460972914334,0.050837654173922296,1.8300213608243376e-17,0.04540966462875882,0.000858078044084345,0.05401500755979246,2.2365303597326235e-17,0.37076678583128453,0.002320640400625312,0.00793241907967813,4.068241011358214e-05,0.08362649083853561,6.595940637369486e-05,0.07569407175885744,4.331475488534261e-05,17.89718659361442,2.183626780382252e-15,17.123121251692943,0.20604776204572955,0.02139959155113072,0.0001339401313340444,0.04265757218035092,8.807506929636615e-18,0.11835164393920836,4.33147548853422e-05,0.008865802027988852,5.5491320032800887e-05,0.1,1.807709038431396,0.0239120718650974,0.9
96,1.0215498102259444,0.011254114721458175,0.9411764705882352,1.1991779233329539e-16,0.08805769450881655,0.0008279557648903118,0.11543025582137818,2.8740388896569947e-17,0.0862557009905135,0.0009001682550885329,0.1226446468102143,3.313276427195178e-17,0.3079612242079876,0.0027148958912274366,0.00718018437261782,3.1423669407630076e-05,0.08162298226179478,6.176762662351833e-05,0.07444279788917692,4.826986414423926e-05,19.497186593614423,2.8520225183096897e-15,18.67544375763908,0.18894662515709904,0.02332661223112143,0.00016620313349667034,0.029409104374322575,3.675358300590029e-18,0.1038519022634995,4.826986414423735e-05,0.007363990924924773,6.491878565728812e-05,0.1,1.807709038431396,0.0239120718650974,0.9
128,1.0277894755605075,0.012698886010120647,0.9411764705882352,1.1991779233329539e-16,0.1419382762671425,0.001124787097544369,0.18871157965288343,3.3486104761011805e-17,0.13826639363511622,0.001819737943735311,0.2005060533811887,4.329632562397079e-17,0.2695820393811298,0.0019580862931613966,0.00629720292584215,3.066344896145417e-05,0.07922356479801411,5.158874136651248e-05,0.0729263618721719,3.691590696035831e-05,22.697186593614425,3.611440197435652e-15,21.694225987727865,0.23595631175221995,0.02336876441061852,0.00018322335363419315,0.0246311336877317,2.5859730762992427e-18,0.0975574955599036,3.691590696035887e-05,0.006446265099221093,4.682190016013749e-05,0.1,1.807709038431396,0.0239120718650974,0.9
160,1.033609099838705,0.010702460292244,0.9411764705882352,2.8665835232995054e-16,0.18511740606122123,0.0014230317778098842,0.24957293650586757,7.521937378214214e-17,0.17928993308424485,0.0024751133615275958,0.26517124503748435,7.93721036656248e-17,0.24854768584371842,0.0022888418945150877,0.00571166317115258,2.6618249757647664e-05,0.07772191092426636,5.4899636886331106e-05,0.07201024775311371,3.9770255192231e-05,25.897186593614425,7.78360568894479e-15,24.716980844755756,0.253644111348873,0.02299675094795811,0.00022460939227719195,0.022747816002100178,2.9710568678123328e-18,0.09475806375521388,3.977025519222908e-05,0.005943290125798646,5.473095186949046e-05,0.1,1.807709038431396,0.0239120718650974,0.9
192,1.0442334113061877,0.00847087795302386,0.9411764705882348,2.972137055765787e-16,0.22933361351042017,0.001593151948660903,0.31737799694059243,5.612455273900493e-17,0.21975589395619038,0.0023909771289569877,0.3372141217493797,1.374765162524861e-16,0.23472377603227038,0.0012084018963410537,0.00533188535420111,2.6179978027283206e-05,0.07672735235042269,4.563592403504916e-05,0.07139546699622154,2.4970954756669856e-05,29.09718659361443,7.395563270997247e-15,27.579111142497748,0.20595494329709876,0.0227186078072483,0.00011831494151128782,0.021285825273185628,2.0361972364762784e-18,0.09268129226940716,2.4970954756668673e-05,0.005612731800930676,2.8895392987227253e-05,0.1,1.807709038431396,0.0239120718650974,0.9
256,1.056604982148089,0.013164800027498048,0.9411764705882352,2.482534153247273e-16,0.3084585250315911,0.0021495709137252738,0.43403062440670864,9.791246743253677e-17,0.2923939864917748,0.0046561258244100165,0.461157538432128,1.5938994914557213e-16,0.2183017141962774,0.0023469367096134778,0.00489356025899201,2.2631814393663655e-05,0.07556048187325878,3.5567750687786544e-05,0.07066692161426674,2.500127712680528e-05,35.497186593614416,9.851264973825579e-15,33.395829148363454,0.438386469809465,0.022432197013278803,0.0001776431684488497,0.019971011268275066,2.1635803026329292e-18,0.09063793288254181,2.5001277126803954e-05,0.005220046278135338,5.612011926311271e-05,0.1,1.807709038431396,0.0239120718650974,0.9
320,1.0855486164494372,0.008276810185529448,0.9411764705882344,1.8242825833464354e-16,0.3808902748126256,0.0011875921802135348,0.5443773278600952,1.2604277892459475e-16,0.35104283932592406,0.002690200136153824,0.5784009108513517,1.7554167342883506e-16,0.2119532506321799,0.0022124368989488346,0.0045870249033168,1.7161494847895134e-05,0.07479472940986129,3.140730862050203e-05,0.07020770450654444,1.9139813932690013e-05,41.89718659361445,8.670044933354919e-15,38.41330842365914,0.26946554484189444,0.02165910156590846,0.00019844271230962438,0.019283046718484156,2.254399062061079e-18,0.0894907512250286,1.913981393268935e-05,0.0050682413611576865,5.290395012465777e-05,0.1,1.807709038431396,0.0239120718650974,0.9
384,1.133550047454046,0.008883256830097046,0.941176470588235,1.5213611697165703e-16,0.443914233437707,0.0024173405068184683,0.6536046013786718,1.1585159381820608e-16,0.3918605102007556,0.004065828846119478,0.6944548889648392,1.3647667377389076e-16,0.19872752796020904,0.0012152721907621028,0.00437952741073507,1.6022784971614517e-05,0.0742710690334476,2.3174730545507723e-05,0.06989154162271251,1.4574130707754168e-05,48.297186593614434,6.130647565567332e-15,42.57496596205026,0.33245982499081367,0.02204359065760291,0.00012755135680327727,0.018829222322702156,1.9002943576525366e-18,0.08872076394541466,1.457413070775463e-05,0.004751986930157671,2.905967596115776e-05,0.1,1.807709038431396,0.0239120718650974,0.9
512,1.3642965091105954,0.004209769026417318,0.9480801328151314,2.7817186292139303e-16,0.5698933523410519,0.0028436936467164456,0.8550551241296395,1.6796646618629735e-16,0.4177823393421553,0.002924406049485268,0.9018806475679719,2.8570122661173844e-16,0.19201675434135293,0.0013579506710673912,0.00415855227819774,9.589655778931938e-06,0.07367551606465553,1.9365959950721345e-05,0.06951696378645773,1.4697503029092054e-05,60.65229346205651,1.3992060121137162e-14,44.844946267550476,0.15972969190912245,0.02166585664364895,0.0001434841067407891,0.018429785720404095,1.4628472785736254e-18,0.08794674950686183,1.4697503029092506e-05,0.004591518429113184,3.24714140358207e-05,0.1,1.807709038431396,0.0239120718650974,0.9
