experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec
post_saturation,0,,5000,8192,64,1,24,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.07864464295311192,0.07864464295311194,0.07864464295311192,0.07750445235764067,1.8874714308746863,1.8874714308746865,2.220446049250313e-16,24,24,24,24,0,24,24,24,1.0,1.0,0.057294069568322045,0.19600481591057653,0.06695393939653306,0.06695393939653306,0.07024492871747397,0.9531497948531301,0.9531497948531301,1,0.13652085526154467,0.9862521435067719,0.9726932905717023,0.13719886811400703,0.9701425001453315,0.9411764705882346,0.13719886811400703,0.018637943921343585,0.018823529411764694,0.13652085526154467,0.01863794392134363,0.13719886811400703,0.018823529411764694,0.13652085526154467,0.01863794392134363,0.13719886811400703,0.018823529411764694,0.019161172490856953,0.02,5.980490924697431,5.9158669473835275,-0.6165973269701535,-0.6162203484779227,1.0,0.0,6.14838303365122,6.285608631595003,0.053009755321205415,22.868779217888893,0.06249999999999941,17.00000000000018,0.0,0.0,5.915866947383531,5.980490866334934,0.0,0.0,3.7128157184379825e-17,0.9999999999999998,0.001140190595471255,0.005817156023306311,17.62497478423542,0.020672998570173462,0.10547189095397087,0.058690150783439615,17.604301785665246,0.05862131088902373,17.790069331724922,17.60430178566524,0.18576754605968304,0.05923990611666989,0.11617180000757799
post_saturation,1,,5000,8192,64,1,24,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.07868101738411844,0.07868101738411844,0.07868101738411844,0.07771119554967452,1.8883444172188422,1.8883444172188424,2.220446049250313e-16,24,24,24,24,0,24,24,24,1.0,1.0,0.05723227880069723,0.1867229236695104,0.06362781518919554,0.06362781518919554,0.07357105292481154,0.8648485057597607,0.8648485057597607,1,0.13260073338038586,0.9653531977614576,0.9319067964282718,0.13719886811400708,0.9701425001453315,0.9411764705882346,0.13719886811400708,0.017582954493016154,0.01882352941176471,0.13260073338038586,0.017582954493016178,0.13719886811400708,0.01882352941176471,0.13260073338038586,0.017582954493016178,0.13719886811400708,0.01882352941176471,0.01886771784518209,0.02000000000000002,5.906791668837022,5.9158669473835275,-0.6152297021764428,-0.6162203484779227,1.0,0.0,6.338393164934562,6.285608631595003,0.05119421387340018,23.319523783684076,0.062499999999998904,17.000000000000316,0.0,0.0,5.9158669473835275,5.906791610698569,0.0,0.0,3.7591406563735384e-17,1.0,0.0009698218344439125,0.0051939087894769965,17.591603572652488,0.015949568425313032,0.08541837344804495,0.05849320225040307,17.575654004227175,0.05844016891959525,17.70313077915958,17.57565400422717,0.12747677493240772,0.058864037314966665,0.11612660001264885
post_saturation,2,,5000,8192,64,1,24,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.0789776607314992,0.0789776607314992,0.0789776607314992,0.0780478329866838,1.895463857555981,1.895463857555981,0.0,24,24,24,24,0,24,24,24,1.0,1.0,0.05266295210248474,0.17169440856240434,0.07146930747738069,0.07146930747738069,0.06572956063662634,1.087323675758088,1.0,1,0.13254550777683516,0.9706495756176882,0.9421605986467981,0.13719886811400703,0.9701425001453318,0.9411764705882351,0.13719886811400703,0.01756831163181906,0.018823529411764694,0.13254550777683516,0.01756831163181907,0.13719886811400703,0.018823529411764694,0.13254550777683516,0.01756831163181907,0.13719886811400703,0.018823529411764694,0.018646833307455226,0.019999999999999993,5.887619618238616,5.915866947383529,-0.6100461496067366,-0.6162203484779225,1.0,0.0,6.249061600214292,6.285608631595001,0.05162241450279696,23.495237451946615,0.062499999999999396,17.000000000000185,0.0,0.0,5.915866947383536,5.887619560161196,0.0,0.0,0.0,1.0,0.000929827744815398,0.005415597121658398,17.832417412817275,0.023520764041776943,0.1369920211072456,0.05909932934282562,17.808896648775498,0.05902137797211013,17.97708557149459,17.808896648775487,0.16818892271910357,0.05957878150890971,0.10943059995770454
post_saturation,3,,5000,8192,64,1,24,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.07835919227956208,0.07835919227956208,0.07835919227956208,0.07727985601694264,1.8806206147094895,1.8806206147094897,2.220446049250313e-16,24,24,24,24,0,24,24,24,1.0,1.0,0.05422182068013883,0.181439411535163,0.06732661046684964,0.06732661046684964,0.06987225764715731,0.9635671256943958,0.9635671256943958,1,0.1342199367153747,0.9887334469639448,0.9775938291452039,0.13719886811400694,0.9701425001453315,0.9411764705882346,0.13719886811400694,0.01801499141187918,0.018823529411764673,0.1342199367153747,0.018014991411879185,0.13719886811400694,0.018823529411764673,0.1342199367153747,0.018014991411879185,0.13719886811400694,0.018823529411764673,0.018427889860588905,0.01999999999999998,5.940369988600398,5.915866947383527,-0.6207726703788199,-0.6162203484779225,1.0,0.0,6.07652156908006,6.285608631595002,0.05220627508152526,23.15149566974598,0.06249999999999937,17.000000000000192,0.0,0.0,5.91586694738352,5.94036993039862,0.0,0.0,3.737891874187225e-17,1.0,0.0010793362626194403,0.005948742081376651,17.526300224015905,0.016028947260647186,0.08834324982111603,0.05844904065313703,17.510271276755258,0.05839558518460747,17.656397971576656,17.51027127675526,0.14612669482139395,0.058882907951931795,0.11737630004063249
post_saturation,4,,5000,8192,64,1,24,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.07872126348428976,0.07872126348428976,0.07872126348428976,0.07778033281263065,1.8893103236229543,1.8893103236229543,0.0,24,24,24,24,0,24,24,24,1.0,1.0,0.0581342860032368,0.20892005839689554,0.07310828422763672,0.07310828422763672,0.06409058388637036,1.1407024213924206,1.0,1,0.13882512851971504,0.9497203323303267,0.9019687096416262,0.13719886811400708,0.9701425001453319,0.9411764705882353,0.13719886811400708,0.019272416308515377,0.01882352941176471,0.13882512851971504,0.019272416308515398,0.13719886811400708,0.01882352941176471,0.13882512851971504,0.019272416308515398,0.13719886811400708,0.01882352941176471,0.021367056420585576,0.020000000000000007,5.942995557117667,5.91586694738353,-0.6170714384891813,-0.6162203484779227,1.0,0.0,6.588915439737329,6.285608631595001,0.05200293262672024,23.09326572924139,0.062499999999999445,17.00000000000017,0.0,0.0,5.915866947383528,5.942995498837975,0.0,0.0,0.0,1.0,0.0009409306716591098,0.00450378330773572,17.82334275303852,0.009356620822849493,0.04478565100280734,0.05992418592019927,17.81398613221567,0.05989272785458598,17.92554024366626,17.81398613221567,0.11155411145058736,0.06026778596839508,0.10736720002023503
post_saturation,5,,5000,8192,64,1,24,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.07837887927111936,0.07837887927111936,0.07837887927111936,0.07741266981358301,1.8810931025068647,1.8810931025068647,0.0,24,24,24,24,0,24,24,24,1.0,1.0,0.05414458570562955,0.1893141187209106,0.06566323425366179,0.06566323425366179,0.07153563386034527,0.9179094489027969,0.9179094489027969,1,0.14231295499349483,0.9698253576054514,0.9405612242545417,0.13719886811400706,0.970142500145332,0.9411764705882355,0.13719886811400706,0.020252977158980466,0.0188235294117647,0.14231295499349483,0.020252977158980487,0.13719886811400706,0.0188235294117647,0.14231295499349483,0.020252977158980487,0.13719886811400706,0.0188235294117647,0.0215328642481858,0.01999999999999999,5.932377587585214,5.915866947383529,-0.6157898160135444,-0.616220348477923,1.0,0.0,6.307274247125193,6.285608631594998,0.05197304720373086,22.923988574540246,0.062499999999999334,17.000000000000195,0.0,0.0,5.915866947383524,5.932377529488524,0.0,0.0,0.0,1.0,0.0009662094575363517,0.005103736921812738,17.66194100421593,0.011790633391228766,0.06228079274219729,0.05876243432555466,17.6501503708247,0.05872320611614419,17.78590208673074,17.650150370824694,0.1357517159060464,0.0591748609647594,0.1094693000195548
post_saturation,6,,5000,8192,64,1,24,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.078665195447665,0.078665195447665,0.078665195447665,0.07762303414604727,1.8879646907439596,1.88796469074396,4.440892098500626e-16,24,24,24,24,0,24,24,24,1.0,1.0,0.05940054195458122,0.20570288225766833,0.06508770548172965,0.06508770548172965,0.07211116263227749,0.9026023587171498,0.9026023587171498,1,0.14002815769538052,0.9798053677113858,0.960018558596044,0.13719886811400714,0.9701425001453325,0.9411764705882365,0.13719886811400714,0.01960788494756235,0.018823529411764725,0.14002815769538052,0.019607884947562354,0.13719886811400714,0.018823529411764725,0.14002815769538052,0.019607884947562354,0.13719886811400714,0.018823529411764725,0.020424485310197995,0.019999999999999993,5.965644468704733,5.915866947383531,-0.6187262925870123,-0.6162203484779223,1.0,0.0,6.214092858193331,6.285608631594994,0.05199689118239026,22.87868319744965,0.06249999999999927,17.000000000000227,0.0,0.0,5.915866947383537,5.965644410726984,0.0,0.0,7.444111302569996e-17,1.0,0.0010421613016177306,0.005066342727819898,17.77494434764902,0.011413235023784551,0.055484079262866436,0.060407517650284175,17.763531112625234,0.060368730176036056,17.878703925574733,17.763531112625234,0.1151728129494991,0.06076014089412362,0.10557349998271093
post_saturation,7,,5000,8192,64,1,24,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.07871684794763824,0.07871684794763824,0.07871684794763824,0.07767469195429628,1.8892043507433174,1.8892043507433174,0.0,24,24,24,24,0,24,24,24,1.0,1.0,0.05905310915583734,0.20285662032905658,0.06730972608450206,0.06730972608450206,0.06988914202950502,0.9630927513187382,0.9630927513187382,1,0.13681207395874143,0.9705604367515056,0.9419875613872734,0.13719886811400708,0.9701425001453325,0.9411764705882365,0.13719886811400708,0.018717543580892122,0.01882352941176471,0.13681207395874143,0.018717543580892133,0.13719886811400708,0.01882352941176471,0.13681207395874143,0.018717543580892133,0.13719886811400708,0.01882352941176471,0.01987026617774723,0.01999999999999998,5.976000240821723,5.915866947383533,-0.6177652943795575,-0.6162203484779227,1.0,0.0,6.344033069843104,6.285608631594996,0.05111378149353008,23.274809684629343,0.062499999999999334,17.0000000000002,0.0,0.0,5.915866947383531,5.976000182029962,0.0,0.0,0.0,1.0,0.0010421559933419533,0.005137401932712166,17.491845126301985,0.015305093103425094,0.07544783640089481,0.058134012049360265,17.47654003319856,0.058083145690753346,17.605985320138508,17.476540033198564,0.12944528693994428,0.05851335610116822,0.10363629995845258
post_saturation,8,,5000,8192,64,1,24,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.07893475500225561,0.07893475500225561,0.07893475500225561,0.07801225941536571,1.8944341200541348,1.8944341200541348,0.0,24,24,24,24,0,24,24,24,1.0,1.0,0.05506078715767294,0.19124786161450097,0.06668845003039965,0.06668845003039965,0.07051041808360743,0.9457956971879545,0.9457956971879545,1,0.13755635664906712,0.9493574999727195,0.901279662754452,0.13719886811400708,0.9701425001453318,0.9411764705882351,0.13719886811400708,0.018921751254565387,0.01882352941176471,0.13755635664906712,0.018921751254565352,0.13719886811400708,0.01882352941176471,0.13755635664906712,0.018921751254565352,0.13719886811400708,0.01882352941176471,0.020994317342896113,0.02000000000000001,5.879517061491808,5.9158669473835275,-0.601604535917261,-0.6162203484779227,1.0,0.0,6.523521282531863,6.285608631594999,0.052019889413673505,23.630853871299315,0.062499999999999396,17.00000000000018,0.0,0.0,5.915866947383538,5.879517003568714,0.0,0.0,0.0,1.0,0.0009224955868898932,0.004823560269392037,17.640536624970945,0.01025105438278473,0.05360088367130514,0.059180908367989275,17.63028557058816,0.059146517877325624,17.740031780221923,17.630285570588164,0.1097462096337587,0.059514697174483516,0.10258690000046045
post_saturation,9,,5000,8192,64,1,24,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.0788954176283279,0.0788954176283279,0.0788954176283279,0.07785069862793052,1.8934900230798695,1.8934900230798695,0.0,24,24,24,24,0,24,24,24,1.0,1.0,0.058684854475841854,0.1987367989380542,0.06637983759694824,0.06637983759694824,0.07081903051705887,0.9373163839196962,0.9373163839196962,1,0.13724665248473622,0.9666688454743649,0.9344486568107416,0.1371988681140071,0.9701425001453323,0.9411764705882362,0.1371988681140071,0.01883664361826593,0.018823529411764718,0.13724665248473622,0.018836643618265952,0.1371988681140071,0.018823529411764718,0.13724665248473622,0.018836643618265952,0.1371988681140071,0.018823529411764718,0.02015802953000662,0.019999999999999993,5.9806671080841225,5.915866947383534,-0.6147574121616626,-0.6162203484779227,1.0,0.0,6.400209433117539,6.285608631594998,0.05242609311776991,22.875112608944363,0.06249999999999935,17.00000000000019,0.0,0.0,5.915866947383543,5.980667049787247,0.0,0.0,0.0,1.0,0.001044719000397376,0.00525679695949522,17.779422846846455,0.007540131301020381,0.0379402875628012,0.06001843333905385,17.771882715545434,0.0599929799330712,17.8936486399956,17.771882715545434,0.1217659244501661,0.060404028147770523,0.09973409998929128
post_saturation,0,,5000,8192,64,1,32,24,24,1.0,0.0,0.25,0.25,1.0,16.0,1.0,24.0,whitened_raw,0.07615556173500215,0.07626912574012898,0.07615556173500215,0.07537520867527886,2.4406120236841273,2.436977975520069,-0.0036340481640584343,24,24,24,24,0,24,24,24,1.0,1.0,0.045115683788312724,0.10669165464787343,0.07115910418769536,0.07115910418769536,0.19974998284461845,0.3562408525614173,0.3562408525614173,1,0.2712219823796122,0.9899579074319664,0.9800166584870779,0.2709090870323138,0.9701425001453315,0.9411764705882346,0.2709090870323138,0.0735613637259266,0.07339173343668177,0.2712219823796122,0.07356136372592667,0.2709090870323138,0.07339173343668177,0.2712219823796122,0.07356136372592667,0.2709090870323138,0.07339173343668177,0.07506134011996146,0.07797871677647444,6.767422030651515,6.668808123854117,-0.29320685841166094,-0.289894598687505,1.0,0.0,6.905415302938698,7.085608631595004,0.053009755321205415,22.868779217888893,0.06249999999999941,17.00000000000018,2.4860306530522837e-31,0.004146839158382419,6.668808123854119,6.767421964506305,3.7278485253756656e-32,0.0006127649761063685,-0.0005369915136248704,0.9985110094809035,0.0007803530597232933,0.007314096517659052,17.60233483096483,0.011280859021923106,0.10573328400571352,0.05942939938333866,17.591053971942905,0.05939131269298542,17.64092505580643,17.5910539719429,0.04987108386352901,0.059559688569769204,0.11777880002046004
