from_x,to_x,from_effective_rank,to_effective_rank,from_lambda_rank_g,to_lambda_rank_g,lambda_ratio,from_sigma_rank_g,to_sigma_rank_g,sigma_ratio
0.35,0.4,16.0,15.0,1.0018517971016536,0.834413314992682,0.8328710068760975,1.0009254703031858,0.9134622679633144,0.9126176674139601
0.4,0.45,15.0,14.0,0.834413314992682,0.6496739190911072,0.7785996548926175,0.9134622679633144,0.8060235226661236,0.8823829411840516
0.45,0.5,14.0,13.0,0.6496739190911072,0.45991621958768425,0.7079185512496889,0.8060235226661236,0.6781712317605962,0.8413789581690816
0.5,0.55,13.0,12.0,0.45991621958768425,0.28377685082326487,0.6170185758564274,0.6781712317605962,0.5327070966518701,0.7855052996997711
0.55,0.6,12.0,11.0,0.28377685082326487,0.14299641437697957,0.5039044374554611,0.5327070966518701,0.37814866703054706,0.7098622665387004
0.6,0.65,11.0,10.0,0.14299641437697957,0.05313910781719629,0.37161147046041554,0.37814866703054706,0.23051921355322272,0.6095994344324933
0.65,0.7,10.0,8.0,0.05313910781719629,0.01233447617965105,0.2321167344789237,0.23051921355322272,0.11106068692229079,0.481784946297541
0.7,0.75,8.0,7.0,0.01233447617965105,0.0013364361374281,0.10834964679188416,0.11106068692229079,0.0365572993727399,0.32916507529184524
0.75,0.775,7.0,6.0,0.0013364361374281,0.0002817476925244,0.2108201691302724,0.0365572993727399,0.0167853415968951,0.45915157533249346
0.8,0.81,6.0,5.0,3.8032938829713025e-05,1.4485242406871471e-05,0.38086045550482034,0.006167085116139731,0.0038059482927217,0.6171389272318042
0.83,0.84,5.0,4.0,1.4471156373498362e-06,3.6227827395303295e-07,0.250345075820263,0.0012029611952801,0.0006018955673146,0.5003449568250232
0.87,0.88,4.0,3.0,1.4538576613558864e-09,1.2134317085407176e-10,0.08346289604506782,3.8129485458839943e-05,1.1015587630901575e-05,0.2888994566368511
0.91,0.92,3.0,2.0,2.2761420488425817e-15,2.2042905233087982e-16,0.00022042905233087982,4.770893049359399e-08,1.4846853280438917e-08,0.31119652289066607
0.95,0.975,2.0,1.0,4.5686227827361806e-15,2.2213350792689524e-15,0.0022213350792689526,6.759158810633304e-08,4.713104156783459e-08,0.6972915252958618
