K,lambda_top_mean,lambda_top_sem,oracle_lambda_top_mean,oracle_lambda_top_sem,lambda_at_bottleneck_rank_mean,lambda_at_bottleneck_rank_sem,oracle_lambda_at_bottleneck_rank_mean,oracle_lambda_at_bottleneck_rank_sem,relative_conditioning_mean,relative_conditioning_sem,oracle_relative_conditioning_mean,oracle_relative_conditioning_sem,theorem_subspace_error_mean,theorem_subspace_error_sem,per_target_excess_mse_mean,per_target_excess_mse_sem,test_mse_mean,test_mse_sem,oracle_test_mse_mean,oracle_test_mse_sem,oracle_effdim_mean,oracle_effdim_sem,empirical_effdim_mean,empirical_effdim_sem,per_target_risk_stability_ratio_mean,per_target_risk_stability_ratio_sem,calibrated_excess_risk_rhs_mean,calibrated_excess_risk_rhs_sem,calibrated_total_risk_rhs_mean,calibrated_total_risk_rhs_sem,risk_stability_bound_mean,risk_stability_bound_sem,delta,calibrated_c,empirical_l,concentration_coverage
24,0.9404618888236655,0.008118326997224931,0.9411764705882353,2.0638074203084924e-16,0.01874134183268391,0.0002711357166904914,0.01882352941176467,1.5636051510184962e-17,0.01994506325337021,0.00036035907107498166,0.01999999999999994,1.6264927822870632e-17,0.19326398999347402,0.0036466729799044017,0.00100778484487919,2.2941686242529252e-05,0.07869748721295872,6.624624220074223e-05,0.07768970236807947,7.821656667840088e-05,6.285608631594999,8.979928438240789e-16,6.31904056984285,0.05013551909372359,0.00522670261347856,0.00013505492710609877,0.00852987703223216,3.341813695397371e-18,0.08621957940031164,7.821656667840006e-05,0.001694786899107857,3.197871259866508e-05,0.1,1.6595781252556498,0.0087692844340277,0.9
32,0.9420540138044716,0.007515697879510005,0.9411764705882353,2.0638074203084924e-16,0.07187182400503718,0.0005917807920088075,0.07339173343668173,2.6045255323309715e-17,0.07633516839707792,0.000864913500181788,0.07797871677647435,2.2472686307193936e-17,0.11349671763144482,0.001817293057455273,0.0008521572702746199,1.6650705524071777e-05,0.07626955408540984,5.492830939323323e-05,0.07541739681513515,5.3258542128730936e-05,7.085608631594999,1.4198513545079785e-15,7.110163084572745,0.047870912607101156,0.00752016395898486,0.00016873482858373299,0.004516581291981415,5.9953319373056445e-19,0.07993397810711657,5.3258542128729425e-05,0.0009952849992386663,1.593635972080913e-05,0.1,1.6595781252556498,0.0087692844340277,0.9
40,0.9386114262919394,0.009254701604141095,0.9411764705882353,2.0638074203084924e-16,0.1274724324764969,0.0006805849760349174,0.13128606716145602,1.6806835668167716e-17,0.13595412710785063,0.0017585391043338562,0.13949144635904703,4.043390323192556e-17,0.09704597931976232,0.0015181512581672397,0.00074959828522464,7.889790837919884e-06,0.07477128535831176,3.845186066514479e-05,0.07402168707308708,3.872702581696081e-05,7.885608631595,1.5553692303365685e-15,7.950995008221552,0.07136718365146909,0.00773435126820725,9.592314800596525e-05,0.003517885180495538,3.1999784218798056e-19,0.07753957225358261,3.872702581696081e-05,0.0008510237958337658,1.3313100196745543e-05,0.1,1.6595781252556498,0.0087692844340277,0.9
48,0.9423005822486401,0.007133586013613878,0.9411764705882353,2.0638074203084924e-16,0.18993105062244126,0.0006209692612741753,0.19724732642681458,2.6814433536895163e-17,0.20167146104968472,0.0017479231431094262,0.2095752843284905,5.844070300780696e-17,0.08749987594886222,0.001289769864337117,0.00068244583378041,1.0183311637658674e-05,0.07377594924019122,3.521206552317352e-05,0.07309350340641074,3.4809802435474186e-05,8.685608631595,1.213482738407331e-15,8.713451853287415,0.06450234597738291,0.007820575467738561,0.00019073728261974964,0.002980574446718931,2.3309646308915675e-19,0.07607407785312967,3.480980243547464e-05,0.0007673113001377121,1.1310358794809498e-05,0.1,1.6595781252556498,0.0087692844340277,0.9
64,0.9440722278415059,0.007596799065919859,0.9411764705882355,3.3735681433805814e-16,0.26738521062909326,0.0014656807036610396,0.2861496597696758,6.052723964180597e-17,0.28347613464757704,0.0036030283921161923,0.3040340135052805,9.083798682610206e-17,0.07856565148943202,0.0011667267731774542,0.00061887485830395,9.018740555327365e-06,0.07256759025895207,4.520846855834967e-05,0.0719487154006481,4.087214648339081e-05,10.285608631594998,2.9188521333542966e-15,10.319962679791043,0.08007236188372342,0.007889015626352639,0.0001443557180793666,0.002648667695341311,1.770494733737654e-19,0.0745973830959894,4.087214648339081e-05,0.0006889645446555214,1.0231358930788416e-05,0.1,1.6595781252556498,0.0087692844340277,0.9
80,0.9427185578875863,0.008838819970476895,0.9411764705882353,3.2325946070939757e-16,0.3396996848521898,0.0022196360110340553,0.360021564416837,4.6073883959861905e-17,0.3605902057103517,0.00374931194075584,0.38252291219288936,1.422501456907112e-16,0.07714300320391428,0.0005643983819782443,0.00058495497513691,4.6116397183131145e-06,0.0718142701806812,3.0173919811815253e-05,0.07122931520554424,3.057475650086024e-05,11.885608631595,3.210573546095446e-15,11.944280479882906,0.10850824550081542,0.00758731534047264,9.136734447064642e-05,0.002506926956006854,2.545246545595348e-19,0.07373624216155109,3.057475650086024e-05,0.0006764889371902344,4.949369945672238e-06,0.1,1.6595781252556498,0.0087692844340277,0.9
96,0.9402279658749816,0.00925414147863481,0.9411764705882353,3.3755973574849026e-16,0.40660245071372936,0.0022224872745019056,0.4333220609958846,1.0516233986130012e-16,0.43289593257822895,0.005543427160689807,0.4604046898081274,1.7229335509383e-16,0.07132736890544847,0.0009157464144452198,0.00053217477631614,5.176302431546891e-06,0.07130174206036924,3.4083134592698774e-05,0.07076956728405305,3.670079833415954e-05,13.485608631595,4.722125395862256e-15,13.592717754658187,0.134929161954262,0.0074698051852309,0.00010246817623371361,0.0024104781879201887,2.28569887277129e-19,0.07318004547197324,3.670079833415835e-05,0.0006254899858627006,8.030440777711145e-06,0.1,1.6595781252556498,0.0087692844340277,0.9
128,0.9492016230485495,0.009140728927807578,0.9411764705882352,2.671208799726945e-16,0.5407589658626455,0.0023660494876307867,0.5903312970519069,1.0202245531417481e-16,0.570175667703593,0.0060148781161054226,0.6272270031176512,1.8280323973408943e-16,0.06768677412998049,0.0009514958440314206,0.00049455776965499,6.956953701623538e-06,0.07065397616173849,3.17968850961973e-05,0.07015941839208348,2.7099318570871162e-05,16.685608631595,3.927672753381491e-15,16.65539242420368,0.15919137838921346,0.007318194231448539,0.0001350494416347261,0.0022648336315088755,2.418956315733399e-19,0.07242425202359236,2.7099318570871505e-05,0.0005935645747675867,8.343937694106784e-06,0.1,1.6595781252556498,0.0087692844340277,0.9
160,0.967807900058973,0.007550230139453,0.9411764705882357,2.7693827873701494e-16,0.6610312584098451,0.002745388395450638,0.7207361068722394,1.6508800269928707e-16,0.6834355580006799,0.0065692820370390915,0.7657821135517542,2.1419601097972113e-16,0.06562696551806871,0.0009758714096531213,0.00046800985893882005,5.122700536511291e-06,0.07029778806877915,2.8559955555701804e-05,0.06982977820984028,2.6250688772838814e-05,19.88560863159499,5.654658435746437e-15,19.478628169183807,0.15409184824791508,0.007145914168927641,0.00013198774684069134,0.0022157217326216954,1.7104604142491136e-19,0.07204549994246197,2.625068877283886e-05,0.0005755015271700725,8.557693962283786e-06,0.1,1.6595781252556498,0.0087692844340277,0.9
192,1.0466646672706024,0.0035342721937085546,0.9521365870638421,2.868971348389342e-16,0.7770699835406736,0.002724673339012887,0.8624605394511018,2.0404491062834961e-16,0.7424733831730634,0.0029180046542848616,0.9058159839343224,2.2049723691007003e-16,0.06416313778975183,0.0006844188436867449,0.00046164292797067,5.015817406444231e-06,0.0700338356785916,3.372502963740353e-05,0.0695721927506209,3.201043343041404e-05,22.8198684395362,4.968156721788127e-15,20.89948448583919,0.06152329577147651,0.0072036245952085895,0.00012066800639316966,0.002167793390928428,2.19236534136738e-19,0.07173998614154933,3.201043343041404e-05,0.0005626648054580451,6.00186351229741e-06,0.1,1.6595781252556498,0.0087692844340277,0.9
