K,lambda_top_mean,lambda_top_sem,oracle_lambda_top_mean,oracle_lambda_top_sem,lambda_at_bottleneck_rank_mean,lambda_at_bottleneck_rank_sem,oracle_lambda_at_bottleneck_rank_mean,oracle_lambda_at_bottleneck_rank_sem,relative_conditioning_mean,relative_conditioning_sem,oracle_relative_conditioning_mean,oracle_relative_conditioning_sem,theorem_subspace_error_mean,theorem_subspace_error_sem,per_target_excess_mse_mean,per_target_excess_mse_sem,test_mse_mean,test_mse_sem,oracle_test_mse_mean,oracle_test_mse_sem,oracle_effdim_mean,oracle_effdim_sem,empirical_effdim_mean,empirical_effdim_sem,per_target_risk_stability_ratio_mean,per_target_risk_stability_ratio_sem,calibrated_excess_risk_rhs_mean,calibrated_excess_risk_rhs_sem,calibrated_total_risk_rhs_mean,calibrated_total_risk_rhs_sem,risk_stability_bound_mean,risk_stability_bound_sem,delta,calibrated_c,empirical_l,concentration_coverage
24,0.8945474741998627,0.010891820823889271,0.8908685968819595,2.2296787129789765e-16,0.01791257099950152,0.0004382030794149407,0.01781737193763916,1.66750153139632e-17,0.02004609673705216,0.0005344612925048051,0.01999999999999998,1.378592894487755e-17,0.2855772251469696,0.003057033862183706,0.00234322298446503,5.706085128631687e-05,0.15326905312425737,0.00020398102631398511,0.1509258301397923,0.0001725877891601398,6.285608631595002,1.3107111616019684e-15,6.321069935431813,0.06892601516128068,0.0082114011139115,0.00020679875896124835,0.018059637503581992,5.828487307769522e-18,0.16898546764337427,0.00017258778916013468,0.003834166443774271,4.104380748791937e-05,0.1,2.0771874799202017,0.0134260231774472,0.9
32,0.9000030693428291,0.010085041752502652,0.8908685968819595,2.2296787129789765e-16,0.0683123006570976,0.000955831695067473,0.06946879000131347,2.1844968340007922e-17,0.07599269070223709,0.0013889985909842895,0.07797871677647442,3.7864862966717253e-17,0.17853192937251103,0.0024205129907783327,0.00199320789850645,3.387984295885759e-05,0.1484766579631815,0.00013553344938913335,0.146483450064675,0.0001260473138736047,7.085608631595003,1.3917944454466113e-15,7.093756321178644,0.07625377622512484,0.011185254020055,0.0002566874969040408,0.009562602201698935,1.5515838457795456e-18,0.15604605226637394,0.00012604731387360466,0.0023969738216696995,3.249786351550193e-05,0.1,2.0771874799202017,0.0134260231774472,0.9
40,0.8923978626945674,0.012443077968870843,0.8908685968819595,2.2296787129789765e-16,0.11734885651825726,0.0011373468081780432,0.12426854909491938,3.191555965927599e-17,0.1318259717168604,0.0028003569712200904,0.13949144635904703,5.3788239987024246e-17,0.15508393718518557,0.0037547528573470884,0.00181209717435756,2.4266604246945297e-05,0.14574826538572094,8.11789561026966e-05,0.14393616821136332,7.539148622571259e-05,7.8856086315950025,1.6799907786822516e-15,7.9765939469859415,0.10698654334788181,0.01173004992837411,0.00025985278199725686,0.007448141502966912,9.804555869623988e-19,0.15138430971433023,7.539148622571259e-05,0.002082160535098067,5.0411398888328105e-05,0.1,2.0771874799202017,0.0134260231774472,0.9
48,0.8963779360948857,0.011613432539921312,0.8908685968819595,2.2296787129789765e-16,0.17061494051429107,0.001380303279905213,0.18670403949086015,3.1100559745999404e-17,0.19066670865654986,0.003244181828798812,0.2095752843284906,5.496881016110436e-17,0.1369280223672626,0.0014218082260173729,0.00165781886155009,2.706471922450797e-05,0.14379418872169286,6.852530232309231e-05,0.14213636986014272,5.919180120637527e-05,8.685608631595002,1.8250331625114363e-15,8.741204148769825,0.11721877340104704,0.01211468104489269,0.00021040151957316981,0.0063105357623305935,6.200945598876938e-19,0.1484469056224733,5.919180120637527e-05,0.0018383988019448762,1.9089230196394335e-05,0.1,2.0771874799202017,0.0134260231774472,0.9
64,0.8978041613860009,0.010872145287921466,0.8908685968819595,2.496287910312615e-16,0.24796114100784092,0.0021507018281778883,0.2708543550158401,6.164820968141853e-17,0.27662263645325064,0.004610820399915653,0.3040340135052806,1.117906320624082e-16,0.12938868276095772,0.0019440046269980993,0.0014824848258909698,2.4963527691692644e-05,0.141397122986848,6.475089540011424e-05,0.139914638160957,5.6539661535386714e-05,10.285608631595002,2.700477885987922e-15,10.351860928601972,0.11452939428142368,0.01146593316020473,0.00017406801384884597,0.005607815712296914,7.022714470998105e-19,0.1455224538732539,5.6539661535386714e-05,0.0017371754536479812,2.610025117914108e-05,0.1,2.0771874799202017,0.0134260231774472,0.9
80,0.8991904772121803,0.009820391352427463,0.8908685968819592,1.6383889520024605e-16,0.3138560955464785,0.0015406401672661252,0.34077765006048066,7.740660210346875e-17,0.3493737629061343,0.0037221359270004245,0.3825229121928898,8.931757841591999e-17,0.1170949479168512,0.001497894501955131,0.00135342229653125,1.1536812950603088e-05,0.13996345321180897,6.779862074192451e-05,0.13861003091527768,7.44042272340752e-05,11.885608631595009,2.0596889682316645e-15,11.98344816894205,0.13065989268640693,0.01157604341908522,0.00018224381994953043,0.005307719197165775,5.925208683629546e-19,0.14391775011244345,7.44042272340752e-05,0.001572119484693617,2.011076630062032e-05,0.1,2.0771874799202017,0.0134260231774472,0.9
96,0.900352972862868,0.00960081359704393,0.8908685968819595,2.232747783547962e-16,0.37454517174719193,0.0021784529919573934,0.41016008000724036,8.777083671441753e-17,0.4163620500640697,0.004478397854103408,0.46040468980812743,1.4860685278828935e-16,0.11068154819312208,0.0014916146321875157,0.00127287116815029,1.0052312968636265e-05,0.13904163102727327,5.4737133700594413e-05,0.13776875985912293,5.00378249673165e-05,13.485608631595003,3.5773002259970625e-15,13.560394121273188,0.14527519923949717,0.011514346983112541,0.0001410394892543642,0.005103515809153228,4.479036755155477e-19,0.14287227566827615,5.00378249673165e-05,0.0014860130313565964,2.0026452623568967e-05,0.1,2.0771874799202017,0.0134260231774472,0.9
128,0.9172057744392452,0.010675971531674683,0.8908685968819597,1.797814904575515e-16,0.4968803580365672,0.0026213604862568157,0.5587768401938986,1.3445468534534172e-16,0.5423492118507584,0.006546696362740768,0.6272270031176512,1.5258555995074125e-16,0.1049120609235347,0.0007816894074156481,0.00117091511425808,1.090291411085406e-05,0.13782433464970914,4.832599516701793e-05,0.13665341953545102,5.2006193199222825e-05,16.685608631595002,3.2861267900613235e-15,16.516828815375494,0.19999824348117948,0.011163689880699889,0.00010242598530642096,0.004795154049280354,3.9852521607099534e-19,0.14144857358473134,5.2006193199222825e-05,0.0014085517615531294,1.0494980101527458e-05,0.1,2.0771874799202017,0.0134260231774472,0.9
160,0.9367881919833619,0.007220996330367108,0.8908685968819594,3.2134729464198497e-16,0.606298806744993,0.003281998824635482,0.682211237017153,1.905074272591419e-16,0.6474975068816597,0.0053595045649554515,0.7657821135517546,2.82325734979485e-16,0.10105203618070527,0.001235000445071533,0.0011264279775533002,9.0257583419084e-06,0.13717525799050073,5.347037676656963e-05,0.13604883001294737,5.3995966001337265e-05,19.88560863159501,5.825680146286934e-15,19.233801985037932,0.13823958926102028,0.01115781132763795,0.00012689405697070233,0.0046911732899254975,5.635997655152697e-19,0.14074000330287287,5.399596600133356e-05,0.0013567269798903819,1.658114459968801e-05,0.1,2.0771874799202017,0.0134260231774472,0.9
192,1.0226057594753117,0.0021379321470475898,0.9012428719423893,2.145154682951613e-16,0.7184720540237595,0.0028905155815754048,0.8163601988122903,2.211174835274466e-16,0.7026310261309094,0.003524523766747389,0.9058159839343226,2.386907782032965e-16,0.09689165569345984,0.0008495578821969759,0.00109165374203161,1.2152390083480643e-05,0.13668365208225086,5.508131786294633e-05,0.13559199834021923,5.2498272108821936e-05,22.8198684395362,5.5797589905588756e-15,20.450206286114295,0.04326321085261762,0.0112695708371134,0.00011676227284136086,0.004589698383094196,5.171946152598485e-19,0.14018169672331343,5.2498272108821936e-05,0.0013008696150416258,1.1406183816959555e-05,0.1,2.0771874799202017,0.0134260231774472,0.9
