experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec
bottleneck,0,,128,8192,64,1,48,1,24,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,43.05427157725782,2.7655687963081044,43.05427157725782,1.3427198048505218,132.74730222278902,2066.605035708375,1933.8577334855859,21,1,1,1,0,24,24,24,0.875,1.0,0.8380587566642528,0.1805425857924917,12.35692878749616,12.35692878749616,-10.94271522512448,,1.0,0,1.6032200487030388,27.230572036835763,741.5040534533018,1.4142135623716794,23.513603898064762,552.8895682750864,1.4142135623716794,2.5703145245633667,1.9999999999959959,0.8200017260997955,0.672402830806644,1.4142135623716794,1.9999999999959959,27.230572036835763,741.5040534533018,23.513603898064762,552.8895682750864,1.0,1.0,2947.4448530018317,2542.3788000337886,0.0,0.0,1.0,0.0,3.9749544716244154,4.598348288548005,0.0038244006487257393,528.3837494107822,0.02559999999999945,40.06250000000092,1939.8295941484998,1935.3103703504269,2478.9184867724134,2467.395147816411,0.7825306094167643,0.7843536419625097,0.7837649089960343,15.567962595880136,41.7115517724073,231.034420988901,46.503209466661964,4.361526449914393,24.15788181369771,0.8732337233771399,42.14168301674757,0.7913333120905378,1.636692250481131,1.6228474797430275,0.013844770738103529,0.030733682347983942,0.07578150002518669
bottleneck,1,,128,8192,64,1,48,1,24,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,42.3934440876011,3.078883457729073,42.3934440876011,1.3481807199399574,147.78640597099547,2034.8853162048529,1887.0989102338574,22,1,1,1,0,24,24,24,0.9166666666666666,1.0,0.4543055573637273,0.185766794295766,10.834181841350055,10.834181841350055,-9.419968278978374,,1.0,0,1.4720577496660365,27.429843129684766,752.3962941191146,1.4142135623716812,23.51360389806475,552.8895682750858,1.4142135623716812,2.166954018351833,1.999999999996001,0.9122807238680573,0.8322561191412265,1.4142135623716812,1.999999999996001,27.429843129684766,752.3962941191146,23.51360389806475,552.8895682750858,1.0,1.0,2802.3388616802918,2542.3788000337886,0.0,0.0,1.0,0.0,3.7245516539408197,4.598348288548009,0.0027971637404366648,682.4792817212328,0.025599999999999463,40.0625000000009,1939.829594148504,1845.488719205125,2478.918486772419,2438.02265344784,0.7825306094167642,0.7569612680158011,0.7740284560379826,13.769096709775988,41.04526336766114,220.9504853828263,43.66221968505968,1.8217589001971248,9.806698269749097,0.8254988970341237,41.84046078486256,0.7910558482468122,1.5660462005420264,1.5534211544752292,0.012625046066797152,0.02960842166469796,0.07044939999468625
bottleneck,2,,128,8192,64,1,48,1,24,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,42.35567585177685,2.861588402336551,42.35567585177685,1.3395624358764575,137.35624331215448,2033.0724408852893,1895.7161975731349,22,1,1,1,0,24,24,24,0.9166666666666666,1.0,0.5413457437255116,0.18594714915114546,11.408248527989386,11.408248527989386,-9.994034965617706,,1.0,0,1.3018462768422192,24.94705877111084,622.3557413292583,1.4142135623716805,23.51360389806475,552.8895682750858,1.4142135623716805,1.6948037285279611,1.999999999995999,0.8986997646442404,0.8076612669716131,1.4142135623716805,1.999999999995999,24.94705877111084,622.3557413292583,23.51360389806475,552.8895682750858,1.0,1.0,2893.0735259778003,2542.3788000337872,0.0,0.0,1.0,0.0,4.648584939216002,4.5983482885480065,0.0038133727911262524,533.1011440986163,0.025599999999999214,40.062500000001286,1939.8295941485003,1894.4099174227506,2478.918486772411,2426.578594838997,0.7825306094167652,0.7806917614174554,0.7812300832147229,14.801456358011688,41.01611341590039,220.57941518942468,44.47322390047365,2.4975620009878767,13.431569197964718,0.8420267909637204,41.97566189948577,0.7947395935788159,1.7414709613587709,1.7221228055318687,0.01934815582690219,0.03297186658720763,0.07194589998107404
bottleneck,3,,128,8192,64,1,48,1,24,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,41.81870528031366,2.710578588965222,41.81870528031366,1.357203365921018,130.10777227033068,2007.2978534550557,1877.190081184725,21,1,1,1,0,24,24,24,0.875,1.0,0.5125508974672587,0.1876609059102961,11.47555816644346,11.47555816644346,-10.06134460407178,,1.0,0,1.704656864995701,30.4825946262623,929.1885751490353,1.4142135623716805,23.513603898064755,552.889568275086,1.4142135623716805,2.905855027376999,1.999999999995999,1.0555764315914862,1.1142416029314155,1.4142135623716805,1.999999999995999,30.4825946262623,929.1885751490353,23.513603898064755,552.889568275086,1.0,1.0,3239.075715414512,2542.3788000337886,0.0,0.0,1.0,0.0,3.485918576748522,4.598348288548007,0.003463220240560984,572.6224077371297,0.02559999999999944,40.062500000000924,1939.8295941485035,1950.2957812809823,2478.918486772417,2617.6266486721133,0.7825306094167647,0.7450626246758074,0.7171343866540318,15.427962668397738,40.46150191439264,215.6096482542489,43.04835172566897,1.544705411022548,8.231364990643995,0.8154363516947698,41.503646314646424,0.7861760224530276,1.5974404484400022,1.5802794506932638,0.017160997746738405,0.030259254050576077,0.07117060001473874
bottleneck,4,,128,8192,64,1,48,1,24,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,43.77716789995859,2.7319853624778947,43.77716789995859,1.3429468867184218,131.13529739893892,2101.3040591980125,1970.1687617990735,23,1,1,1,0,24,24,24,0.9583333333333334,1.0,0.8883896629905897,0.19388219349837102,10.79881150925983,10.79881150925983,-9.384597946888148,,1.0,0,1.2278098279925658,23.5154047459191,552.9742603643945,1.4142135623716814,23.51360389806476,552.8895682750862,1.4142135623716814,1.507516973715128,1.9999999999960016,1.0783176593693036,1.1627689745076935,1.4142135623716814,1.9999999999960016,23.5154047459191,552.9742603643945,23.51360389806476,552.8895682750862,1.0,1.0,2582.3929054138835,2542.3788000337895,0.0,0.0,1.0,0.0,4.67000562324937,4.598348288548008,0.0034131503451044092,561.5045719198877,0.02559999999999941,40.06250000000096,1939.829594148502,1823.099387894819,2478.9184867724193,2255.242729818676,0.7825306094167633,0.8083827801725797,0.8735949952302817,16.02393940363317,42.43422101324017,218.86600438939587,46.51428371444607,4.134615155158194,21.325399102176615,0.8816870577292177,42.37966855928788,0.8033146443567232,1.6362753984231142,1.6132241474492017,0.023051250973912474,0.03101591009177082,0.0739544999669306
bottleneck,5,,128,8192,64,1,48,1,24,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,42.63404337044924,2.9476310065754086,42.63404337044924,1.3486828237421138,141.48628831561962,2046.4340817815641,1904.9477934659444,21,1,1,1,0,24,24,24,0.875,1.0,0.44226092110935955,0.18861302945107397,11.86009582447329,11.86009582447329,-10.44588226210161,,1.0,0,1.6810992140947814,27.82411103828965,774.181155071072,1.4142135623716803,23.51360389806476,552.8895682750862,1.4142135623716803,2.8260945676300766,1.9999999999959983,0.720368696134528,0.51893105837056,1.4142135623716803,1.9999999999959983,27.82411103828965,774.181155071072,23.51360389806476,552.8895682750862,1.0,1.0,3217.603583488778,2542.378800033789,0.0,0.0,1.0,0.0,4.1561378269319835,4.598348288548007,0.0038599429304276714,548.5810656704916,0.025599999999999352,40.06250000000105,1939.8295941485046,1992.255043112913,2478.9184867724184,2590.930828767701,0.7825306094167647,0.7689340915598545,0.7352368393300474,14.463833252989817,41.285360546707125,218.8892287391869,43.829660925099425,1.673163349430908,8.870878932915527,0.821363596849697,42.15649757566852,0.7900086778793185,1.7138400671428695,1.7170929668385202,-0.0032528996956506795,0.03211719671706313,0.07213650003541261
bottleneck,6,,128,8192,64,1,48,1,24,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,42.79976194663619,2.7114412857548023,42.79976194663619,1.354813427979873,130.14918171623052,2054.3885734385367,1924.2393917223062,21,1,1,1,0,24,24,24,0.875,1.0,0.7415183834653499,0.20312717290439739,13.125277823540408,13.125277823540408,-11.711064261168728,,1.0,0,1.7107706329480454,29.88396625192256,893.0514389460465,1.4142135623716805,23.51360389806475,552.8895682750858,1.4142135623716805,2.9267361585574267,1.999999999995999,0.9082628634345533,0.824941429094334,1.4142135623716805,1.999999999995999,29.88396625192256,893.0514389460465,23.51360389806475,552.8895682750858,1.0,1.0,3294.7477860271483,2542.378800033788,0.0,0.0,1.0,0.0,3.689314682607213,4.598348288548008,0.0031937695072892687,624.985069169725,0.02559999999999946,40.0625000000009,1939.8295941484994,2016.3255414450587,2478.9184867724125,2616.7540479302415,0.7825306094167644,0.7705445389641796,0.7353535550061766,15.784875066812198,41.44494851865632,204.03448699678674,45.05362590151517,2.8841896535520277,14.198935633833111,0.8490788929755622,42.16943624796314,0.7947235662029135,1.6033324750532918,1.5972272575523057,0.006105217500986138,0.030216341875920674,0.07389679999323562
bottleneck,7,,128,8192,64,1,48,1,24,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,42.099901592629664,2.6535546729035713,42.099901592629664,1.345375138749975,127.37062429937144,2020.7952764462239,1893.4246521468524,20,1,1,1,0,24,24,24,0.8333333333333334,1.0,0.4599574622861207,0.1837378935412685,10.848009726911524,10.848009726911524,-9.433796164539844,,1.0,0,1.5643410851594874,28.121586556669214,790.8236304642387,1.4142135623716807,23.513603898064755,552.889568275086,1.4142135623716807,2.447163030717943,1.9999999999959996,0.9256366105803313,0.8568031348466439,1.4142135623716807,1.9999999999959996,28.121586556669214,790.8236304642387,23.513603898064755,552.889568275086,1.0,1.0,3007.019307343107,2542.378800033788,0.0,0.0,1.0,0.0,3.8023892958002414,4.5983482885480065,0.0035558010580973376,543.9603176797028,0.025599999999999453,40.06250000000094,1939.8295941485037,1902.6418458036487,2478.9184867724184,2511.1203305080007,0.7825306094167642,0.757686448828497,0.7540158984590801,15.865473593789996,40.75452645387969,221.80795517134854,43.11499927840856,1.3980515474028508,7.608945114464595,0.820003118805662,41.71694773100571,0.7934136105531239,1.6262802464500552,1.6249177694803902,0.0013624769696649608,0.030930184308478305,0.07577120000496507
bottleneck,8,,128,8192,64,1,48,1,24,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,42.42635829054709,2.7756159565500718,42.42635829054709,1.3498021219691798,133.22956591440342,2036.465197946261,1903.2356320318577,23,1,1,1,0,24,24,24,0.9583333333333334,1.0,0.793662828016752,0.1847076662644843,10.546292507960237,10.546292507960237,-9.132078945588557,,1.0,0,1.3059595838370535,24.668140763480753,608.5171687269008,1.4142135623716803,23.513603898064755,552.889568275086,1.4142135623716803,1.705530434615832,1.9999999999959983,0.8270851400249035,0.6840698288500142,1.4142135623716803,1.9999999999959983,24.668140763480753,608.5171687269008,23.513603898064755,552.889568275086,1.0,1.0,2810.24962651971,2542.378800033789,0.0,0.0,1.0,0.0,4.618192831599358,4.598348288548008,0.0033718138183497872,584.5155751194867,0.025599999999999304,40.06250000000114,1939.8295941484985,1931.544163867154,2478.9184867724102,2428.826223360703,0.7825306094167648,0.7952582796123336,0.783603048141666,15.285384921651977,41.076556168577916,222.38685052606365,46.04619861414127,4.136763610395832,22.396274578405258,0.873915544590032,41.909435003745436,0.7954034820913691,1.6717937877707214,1.6497047213808924,0.022089066389828993,0.03172914643236569,0.07219760003499687
bottleneck,9,,128,8192,64,1,48,1,24,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,42.35652175525067,2.638569896044137,42.35652175525067,1.3503725468038257,126.65135501011858,2033.1130442520312,1906.4616892419126,22,1,1,1,0,24,24,24,0.9166666666666666,1.0,0.8719898667664773,0.1715117952243019,15.100330199488473,15.100330199488473,-13.686116637116793,,1.0,0,1.428598751218539,28.24826484137413,797.9644665484138,1.4142135623716803,23.51360389806476,552.8895682750862,1.4142135623716803,2.0408943919831493,1.9999999999959983,0.9734174862415699,0.9475416025208568,1.4142135623716803,1.9999999999959983,28.24826484137413,797.9644665484138,23.51360389806476,552.8895682750862,1.0,1.0,3364.9873264414787,2542.3788000337886,0.0,0.0,1.0,0.0,4.216963871833407,4.5983482885480065,0.003218652332825885,699.971037477575,0.025599999999999293,40.06250000000117,1939.8295941484985,1994.2662681646273,2478.918486772411,2563.1584452160605,0.7825306094167644,0.7780503276677152,0.7437939284636023,16.052832945131936,41.00614920844684,239.08646722996102,47.382800140738254,5.293944007265431,30.86635528677225,0.8907257309182647,42.088856133472824,0.7912075063450895,1.6375400438544074,1.607806137614291,0.029733906240116514,0.030783302129417343,0.07561539998278022
