experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec
heterogeneity,0,,32768,8192,64,1,48,24,24,0.08106,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7694774494371271,0.7694843836140243,0.7694774494371271,0.7689156799648186,36.93525041347316,36.934917572982094,-0.0003328404910689642,2,2,2,2,0,24,2,24,0.08333333333333333,1.0,0.028471912444868915,0.01859855851557699,1.517149440684589,1.517149440684589,-1.494787233554542,,1.0,0,3.584963376446085,59.62439464664114,3555.068436978409,0.022362207130046774,59.630180701657835,3555.7584505123664,3.6010121190419917,12.851962410459713,0.0005000683077271147,0.02193943422538646,0.00048133877413005877,0.022362207130046774,0.0005000683077271147,0.02193943422538646,0.00048133877413005877,0.022362207130046774,0.0005000683077271147,1.3539507963429456e-07,1.4063618625586264e-07,3589.5423138232554,3590.1638650348696,-7.081666652987574,-7.080003091942415,1.0,0.0,1.0096971063865503,1.009675970682864,0.009327359063758775,113.80179918305342,0.009999999999999261,101.00000000000757,1.665152950774631e-30,0.0003176446201179554,3554.617688153343,3551.877857929236,4.684478323292466e-34,8.943005160181491e-08,-9.37083155396036e-08,0.9999909885411,0.0005617694723085709,0.030205000663791656,45.033332367648235,0.001552322336067391,0.0834646585522885,0.6008057403197439,45.03178004531217,0.6007850302340962,0.7448821113442708,0.7448835363087817,-1.424964510832183e-06,0.009937737778397938,0.26619220001157373
heterogeneity,1,,32768,8192,64,1,48,24,24,0.08106,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7710880692401734,0.7710936249162933,0.7710880692401734,0.7696724799074043,37.01249399598207,37.01222732352832,-0.0002666724537476739,2,2,2,2,0,24,2,24,0.08333333333333333,1.0,0.05698082050112948,0.01626245331704258,1.9778152115076497,1.9778152115076497,-1.9554530043776028,,1.0,0,3.6050044712552936,58.983062432782624,3479.0016539495327,0.022362207130046798,59.63018070165779,3555.7584505123614,3.6010121190419913,12.996057237770682,0.0005000683077271158,0.022724424333316503,0.0005163994612806272,0.022362207130046798,0.0005000683077271158,0.022724424333316503,0.0005163994612806272,0.022362207130046798,0.0005000683077271158,1.4843323247472023e-07,1.4063618625586314e-07,3513.3714878347046,3590.1638650348646,-7.06244037696225,-7.080003091942414,1.0,0.0,1.0098792232093807,1.009675970682864,0.009313964910746191,112.75160314495314,0.00999999999999942,101.00000000000597,6.440561073086728e-30,0.00030235059183828585,3554.6176881533297,3514.3687892168296,1.8118857323395258e-33,8.603268751019841e-08,-7.588061178038783e-08,0.999992795069314,0.001415589332769085,0.08704648094427354,45.30606072605746,0.1150294446195943,7.073314362664259,0.6055218809554743,45.191031281437866,0.6039844962313317,0.7493422256981752,0.7493858402425818,-4.361454440660051e-05,0.010015064358114752,0.2636978999944404
heterogeneity,2,,32768,8192,64,1,48,24,24,0.08106,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7364613736800973,0.7364668174827699,0.7364613736800973,0.733658857521681,35.35040723917297,35.350145936644665,-0.00026130252830114387,2,2,2,2,0,24,2,24,0.08333333333333333,1.0,0.03382182120920369,0.01553903926772365,1.7032879261650993,1.7032879261650993,-1.6809257190350524,,1.0,0,3.586447426049493,59.66546796389651,3559.968067350761,0.022362207130046812,59.630180701657785,3555.7584505123605,3.6010121190419917,12.862605139817056,0.0005000683077271165,0.022829312245358824,0.0005211774975960904,0.022362207130046812,0.0005000683077271165,0.022829312245358824,0.0005211774975960904,0.022362207130046812,0.0005000683077271165,1.4639948666279402e-07,1.4063618625586338e-07,3594.443881778095,3590.1638650348636,-7.079819953440012,-7.080003091942412,1.0,0.0,1.0096843044024804,1.009675970682864,0.009304628590701412,114.01338778779423,0.009999999999999587,101.0000000000043,2.0044172538807252e-29,0.0002815896792817496,3554.617688153315,3556.353481382632,5.638910931437058e-33,7.917932813930346e-08,-7.347484710646794e-08,0.999992608217311,0.0028025161584163127,0.1803532451480097,45.028707441479476,-0.0036550693347621177,0.0,0.6022608563643596,45.03236251081424,0.6023097430704789,0.7366777822203344,0.7366716544442572,6.127776077224922e-06,0.009853096328852525,0.27672160003567114
heterogeneity,3,,32768,8192,64,1,48,24,24,0.08106,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7517176437727185,0.7517249590892718,0.7517176437727185,0.7495388570214733,36.08279803628504,36.082446901090506,-0.0003511351945348906,2,2,2,2,0,24,2,24,0.08333333333333333,1.0,0.04640777484318781,0.01631443893867249,1.7517320433053671,1.7517320433053671,-1.7293698361753203,,1.0,0,3.639954544586622,59.82276720150374,3578.7634756453112,0.02236220713004683,59.630180701657814,3555.758450512364,3.601012119041991,13.249269086656854,0.0005000683077271172,0.022056533725000403,0.00048649067996208014,0.02236220713004683,0.0005000683077271172,0.022056533725000403,0.00048649067996208014,0.02236220713004683,0.0005000683077271172,1.3593820415146538e-07,1.4063618625586343e-07,3613.439889885446,3590.1638650348673,-7.082412450648718,-7.080003091942414,1.0,0.0,1.0096894959603,1.009675970682864,0.009383781742586849,113.37061257396222,0.009999999999999397,101.00000000000621,5.253789088883267e-30,0.00029555996009769225,3554.617688153341,3565.3483684398975,1.4780180457642021e-33,8.289791895623975e-08,-9.848552181972e-08,0.9999902686262244,0.0021787867512452763,0.133549597349657,44.60736080980902,0.041326088272484185,2.533098957790264,0.6026119683716075,44.56603472153654,0.6020536839327418,0.7488129330531682,0.7488175723195772,-4.639266409034448e-06,0.01011590076923043,0.2557549999910407
heterogeneity,4,,32768,8192,64,1,48,24,24,0.08106,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.765811055161874,0.7658170362448509,0.765811055161874,0.7628314694474249,36.75921773975285,36.75893064776995,-0.0002870919828978913,2,2,2,2,0,24,2,24,0.08333333333333333,1.0,0.033500816717441394,0.016142654841331247,1.7257420076609744,1.7257420076609744,-1.7033798005309275,,1.0,0,3.572831344630927,59.48239052330241,3538.154782366657,0.02236220713004682,59.630180701657814,3555.758450512364,3.6010121190419917,12.765123817177173,0.0005000683077271168,0.022112861487721444,0.0004889786431751542,0.02236220713004682,0.0005000683077271168,0.022112861487721444,0.0004889786431751542,0.02236220713004682,0.0005000683077271168,1.3820159751408005e-07,1.4063618625586332e-07,3572.4709592638633,3590.1638650348673,-7.082797385727083,-7.080003091942414,1.0,0.0,1.0096988908083473,1.009675970682864,0.009382935222304368,113.21515015144715,0.00999999999999947,101.0000000000055,1.9814190888337304e-30,0.00026352591429526615,3554.617688153311,3542.2328655000824,5.574211526143375e-34,7.43954235369171e-08,-8.104830873600978e-08,0.9999921899321982,0.002979585714449118,0.1845784193328759,44.967512393793804,0.03362684366359758,2.083104916392083,0.6046700379459236,44.933885550130206,0.6042178638372914,0.7416728520008178,0.7416608107417476,1.2041259070172394e-05,0.0099731412232777,0.2615013000322506
heterogeneity,5,,32768,8192,64,1,48,24,24,0.08106,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7594404312592724,0.7594456506420112,0.7594404312592724,0.7577666239797266,36.45339123081655,36.453140700445076,-0.0002505303714741558,2,2,2,2,0,24,2,24,0.08333333333333333,1.0,0.041471533462398416,0.017454040525221315,1.368775530578236,1.368775530578236,-1.3464133234481892,,1.0,0,3.5492024998220595,59.73245824546705,3567.9665680464645,0.02236220713004678,59.63018070165782,3555.758450512365,3.6010121190419917,12.596838384743247,0.000500068307727115,0.02201079728394649,0.00048447519707498616,0.02236220713004678,0.000500068307727115,0.02201079728394649,0.00048447519707498616,0.02236220713004678,0.000500068307727115,1.3578467954654808e-07,1.406361862558628e-07,3601.9558127488685,3590.163865034868,-7.0844409177484575,-7.080003091942414,1.0,0.0,1.0095262228650907,1.009675970682864,0.009290025264202055,114.50572017555483,0.009999999999999365,101.0000000000065,5.574298625832887e-30,0.0002705791496812912,3554.6176881533506,3559.3625379404925,1.5681851368743893e-33,7.60189912651755e-08,-7.038630339103274e-08,0.9999931273781943,0.0016738072795458026,0.09589798288408517,45.263689740164125,0.0404376653453582,2.316808264935861,0.6076521185008782,45.22325207481877,0.607109254382743,0.7420238923805446,0.7419918922358341,3.2000144710497835e-05,0.009961459014314784,0.2701014999765903
heterogeneity,6,,32768,8192,64,1,48,24,24,0.08106,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7552502843621306,0.755255957234033,0.7552502843621306,0.7539630426067679,36.252285947233595,36.25201364938226,-0.0002722978513318708,2,2,2,2,0,24,2,24,0.08333333333333333,1.0,0.030464213234193706,0.019334621177838004,1.3594747602697075,1.3594747602697075,-1.3371125531396606,,1.0,0,3.5920777205488577,60.03940267294104,3604.7298733235593,0.02236220713004678,59.630180701657814,3555.758450512364,3.6010121190419904,12.90302235046347,0.000500068307727115,0.022544169523589883,0.0005082395795083589,0.02236220713004678,0.000500068307727115,0.022544169523589883,0.0005082395795083589,0.02236220713004678,0.000500068307727115,1.4099241756491512e-07,1.4063618625586282e-07,3638.9951135857445,3590.1638650348673,-7.092166811958445,-7.080003091942414,1.0,0.0,1.0095056332835817,1.009675970682864,0.009338595330928475,113.44023909359956,0.009999999999999377,101.00000000000647,2.753177757365669e-29,0.0002798604078330795,3554.6176881533156,3575.5646120301967,7.745355475333809e-33,7.82702700690886e-08,-7.61552036888688e-08,0.9999924888087964,0.0012872417553626558,0.06657703523243247,44.687543178785795,0.030404918924688218,1.5725634676276647,0.5985734334845267,44.65713825986111,0.5981661706228663,0.738169939860463,0.7381489691293458,2.0970731117175845e-05,0.009887518623021991,0.2542834999621846
heterogeneity,7,,32768,8192,64,1,48,24,24,0.08106,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7743349105384079,0.7743413698013247,0.7743349105384079,0.7721242530263054,37.168385750463585,37.16807570584358,-0.0003100446200079432,2,2,2,2,0,24,2,24,0.08333333333333333,1.0,0.04115024495062979,0.01668321563901705,1.70340761378667,1.70340761378667,-1.6810454066566232,,1.0,0,3.5892394344447323,59.720779698682406,3566.5715278185567,0.02236220713004683,59.630180701657814,3555.758450512364,3.601012119041991,12.882639717773156,0.0005000683077271172,0.021663930065089234,0.0004693258658650772,0.02236220713004683,0.0005000683077271172,0.021663930065089234,0.0004693258658650772,0.02236220713004683,0.0005000683077271172,1.3159020145942055e-07,1.4063618625586343e-07,3600.9392327210776,3590.1638650348673,-7.089417031610561,-7.080003091942414,1.0,0.0,1.0096360621494507,1.009675970682864,0.00935393662775933,113.78375455303758,0.009999999999999367,101.00000000000648,2.2889611253890995e-29,0.0002966168848119695,3554.6176881533197,3560.296544917354,6.439401719677626e-33,8.331240981468721e-08,-8.708393137941277e-08,0.9999916583781149,0.0022106575121024763,0.13250787857302582,44.85807465271265,0.045635125988269465,2.7353914842137845,0.5983222781321483,44.81243952672438,0.5977135914518675,0.7489606621179848,0.7489317665570496,2.8895560935215947e-05,0.009989725440940124,0.2621969999745488
heterogeneity,8,,32768,8192,64,1,48,24,24,0.08106,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7469791085746853,0.7469848939460184,0.7469791085746853,0.744849649377922,35.85527490940888,35.85499721158489,-0.0002776978239893424,2,2,2,2,0,24,2,24,0.08333333333333333,1.0,0.0324964645004283,0.016359449246954993,1.5285484263043303,1.5285484263043303,-1.5061862191742834,,1.0,0,3.582553860509847,60.212999359123934,3625.6052918218593,0.022362207130046812,59.630180701657814,3555.758450512364,3.601012119041991,12.834692163454042,0.0005000683077271165,0.021989733443911152,0.0004835483769342646,0.022362207130046812,0.0005000683077271165,0.021989733443911152,0.0004835483769342646,0.022362207130046812,0.0005000683077271165,1.3337038591183282e-07,1.4063618625586322e-07,3659.678207809424,3590.1638650348673,-7.10030509220395,-7.080003091942414,1.0,0.0,1.0093978558737273,1.009675970682864,0.009376501978969057,112.84066384495355,0.009999999999999403,101.00000000000615,4.265127825671036e-30,0.00029210430096389384,3554.6176881533243,3588.5548838307527,1.1998837005413183e-33,8.139886679176965e-08,-7.738430454013351e-08,0.9999922550357042,0.002129459196763328,0.13016692460839946,45.34141240274363,0.042077374106007426,2.572053219569072,0.6059206166011211,45.29933502863762,0.6053583150072315,0.7413257991269945,0.7413258989588156,-9.983182114314815e-08,0.009906717976040971,0.2549256999627687
heterogeneity,9,,32768,8192,64,1,48,24,24,0.08106,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7877275386764415,0.7877331786854599,0.7877275386764415,0.7868190976097921,37.81119257690209,37.81092185646919,-0.00027072043289422254,2,2,2,2,0,24,2,24,0.08333333333333333,1.0,0.028316639028413672,0.013755986647803522,1.7734829904494978,1.7734829904494978,-1.7511207833194509,,1.0,0,3.634303672500672,58.82073284765541,3459.8786127352478,0.022362207130046833,59.630180701657814,3555.758450512364,3.6010121190419917,13.208163183951825,0.0005000683077271174,0.023077365452893375,0.0005325647962463966,0.022362207130046833,0.0005000683077271174,0.023077365452893375,0.0005325647962463966,0.022362207130046833,0.0005000683077271174,1.5392586152765957e-07,1.406361862558635e-07,3494.4351470326146,3590.1638650348673,-7.04643550189346,-7.080003091942414,1.0,0.0,1.0099877880600117,1.009675970682864,0.00938075283163672,112.74536055028425,0.009999999999999402,101.00000000000615,1.5739959743702448e-30,0.0002902768582457629,3554.617688153371,3506.4938036735084,4.42803168288947e-34,8.278265255785141e-08,-7.720545024508746e-08,0.9999928402038013,0.0009084410666494458,0.06603968802154228,44.86575711504366,0.034881354500669204,2.5357217474646836,0.6036424762289091,44.83087576054299,0.6031731680402383,0.742964941783309,0.7429485991999091,1.634258339988648e-05,0.009996158006636316,0.26744019996840507
