experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec
post_saturation,0,,1024,8192,128,1,48,48,48,1.0,0.0,0.25,0.25,1.0,16.0,1.0,48.0,whitened_raw,0.08857086460798518,0.08857086460798515,0.08857086460798518,0.07767714973754125,4.251401501183288,4.25140150118329,1.7763568394002505e-15,48,48,48,48,0,48,48,48,1.0,1.0,0.18706644871046757,0.5573272114893884,0.1946736565240734,0.1946736565240734,-0.05747478841006631,,1.0,0,0.13139205162267587,0.9988782167799531,0.9977576919574991,0.13719886811400708,0.970142500145332,0.9411764705882355,0.13719886811400708,0.017263871229615955,0.01882352941176471,0.13139205162267587,0.01726387122961592,0.13719886811400708,0.01882352941176471,0.13139205162267587,0.01726387122961592,0.13719886811400708,0.01882352941176471,0.017302669143793782,0.02,12.01170477564238,11.567770439881032,-0.6059030362076263,-0.593657934433498,1.0,0.0,12.038699247786942,12.290756092373595,0.030673500286106936,50.56546207970073,0.06249999999999931,17.00000000000021,0.0,0.0,11.567770439881041,12.011704613528767,0.0,0.0,1.4788549140640222e-16,1.0000000000000002,0.010893714870443924,0.01954635382207844,26387.34036658106,362.80346411361825,650.9703036822312,0.06240417827383503,26024.53690246744,0.061546173952884795,28302.854781533024,26024.53690246744,2278.317879065584,0.06693423326900055,0.2227959000156261
post_saturation,1,,1024,8192,128,1,48,48,48,1.0,0.0,0.25,0.25,1.0,16.0,1.0,48.0,whitened_raw,0.08879204457640656,0.08879204457640655,0.08879204457640656,0.07772912155456535,4.262018139667514,4.262018139667515,8.881784197001252e-16,48,48,48,48,0,48,48,48,1.0,1.0,0.1923363468675444,0.5538490633802444,0.20900018255738842,0.20900018255738842,-0.07180131444338136,,1.0,0,0.13729710323934075,1.0110926066805872,1.0223082592841446,0.13719886811400706,0.9701425001453317,0.9411764705882348,0.13719886811400706,0.018850494557914148,0.0188235294117647,0.13729710323934075,0.01885049455791419,0.13719886811400706,0.0188235294117647,0.13729710323934075,0.01885049455791419,0.13719886811400706,0.0188235294117647,0.018439149235783298,0.020000000000000004,12.058329517215345,11.567770439881023,-0.6012977882294341,-0.593657934433498,1.0,0.0,11.795199156132224,12.290756092373593,0.03143792236911396,49.163069811724846,0.06249999999999918,17.000000000000256,0.0,0.0,11.567770439881018,12.058329353626352,0.0,0.0,7.365683865924757e-17,1.0000000000000002,0.011062923021841212,0.01997461718960419,26177.38548369371,198.25044800716205,357.95031736120035,0.0613818312626317,25979.135035686548,0.060916965298271085,27777.977640634403,25979.13503568654,1798.8426049478621,0.06513496687500311,0.2251282999641262
post_saturation,2,,1024,8192,128,1,48,48,48,1.0,0.0,0.25,0.25,1.0,16.0,1.0,48.0,whitened_raw,0.0885608087951766,0.08856080879517662,0.0885608087951766,0.07767753292224143,4.250918822168478,4.250918822168478,0.0,48,48,48,48,0,48,48,48,1.0,1.0,0.20581978453844443,0.5567111616290528,0.2015177048200495,0.2015177048200495,-0.06431883670604227,,1.0,0,0.13311511636099305,0.9887790144570657,0.9776839394306862,0.13719886811400722,0.970142500145332,0.9411764705882355,0.13719886811400722,0.017719634203800717,0.018823529411764746,0.13311511636099305,0.017719634203800717,0.13719886811400722,0.018823529411764746,0.13311511636099305,0.017719634203800717,0.13719886811400722,0.018823529411764746,0.018124092550931146,0.02000000000000004,12.095849401570414,11.567770439881027,-0.6033016302429315,-0.5936579344334976,1.0,0.0,12.37194241792898,12.290756092373588,0.030767703621987635,50.509840541243165,0.0624999999999991,17.000000000000274,0.0,0.0,11.567770439881034,12.095849238992479,0.0,0.0,0.0,0.9999999999999997,0.010883275872935166,0.019549232390255,26200.814256887057,219.15010191706824,393.6513528411922,0.06227368049137285,25981.66415496999,0.061752807998914035,28052.2092744846,25981.664154969967,2070.5451195146343,0.06667404685628013,0.22670240001752973
post_saturation,3,,1024,8192,128,1,48,48,48,1.0,0.0,0.25,0.25,1.0,16.0,1.0,48.0,whitened_raw,0.08903005808377733,0.08903005808377733,0.08903005808377733,0.07746446773933612,4.2734427880213115,4.2734427880213115,0.0,48,48,48,48,0,48,48,48,1.0,1.0,0.21616593927255176,0.569340632005552,0.20646757371507862,0.20646757371507862,-0.06926870560107162,,1.0,0,0.14367690285946827,0.9910812903508476,0.9822421240835011,0.137198868114007,0.9701425001453323,0.9411764705882362,0.137198868114007,0.020643052415289048,0.018823529411764687,0.14367690285946827,0.020643052415289083,0.137198868114007,0.018823529411764687,0.14367690285946827,0.020643052415289083,0.137198868114007,0.018823529411764687,0.02101625649027266,0.019999999999999962,12.030092154667653,11.567770439881027,-0.5885437456179499,-0.5936579344334976,1.0,0.0,12.247583217725008,12.290756092373579,0.03024563564041218,50.55295594324837,0.06249999999999921,17.00000000000025,0.0,0.0,11.567770439881041,12.030091989591838,0.0,0.0,0.0,1.0,0.011565590344441212,0.020314008335748694,26502.558158893433,240.20297318909434,421.8967691502334,0.06246890034984787,26262.35518570434,0.061902720454838314,28373.018408960517,26262.355185704324,2110.6632232561933,0.06687774248007756,0.2283979000058025
post_saturation,4,,1024,8192,128,1,48,48,48,1.0,0.0,0.25,0.25,1.0,16.0,1.0,48.0,whitened_raw,0.08902568403992074,0.08902568403992073,0.08902568403992074,0.07762819169196374,4.273232833916195,4.273232833916197,1.7763568394002505e-15,48,48,48,48,0,48,48,48,1.0,1.0,0.20575365349628175,0.5563634551636641,0.21897590727955732,0.21897590727955732,-0.08177703916555018,,1.0,0,0.13846203731694529,0.9852284459695844,0.9706750907476422,0.13719886811400714,0.9701425001453314,0.9411764705882344,0.13719886811400714,0.019171735777959185,0.018823529411764725,0.13846203731694529,0.019171735777959147,0.13719886811400714,0.018823529411764725,0.13846203731694529,0.019171735777959147,0.13719886811400714,0.018823529411764725,0.01975093000809624,0.02000000000000004,12.142983454535619,11.567770439881023,-0.5879611729398275,-0.5936579344334971,1.0,0.0,12.509833177219722,12.290756092373599,0.030056822578437052,52.06672282684725,0.062499999999999244,17.000000000000234,0.0,0.0,11.567770439881029,12.142983288547818,0.0,0.0,1.4628669060885163e-16,1.0000000000000002,0.011397492347957006,0.020485695532615873,26277.851698812534,217.36736812172967,390.6931091615053,0.0620615776280036,26060.484330690804,0.06154821139300459,27853.05734869147,26060.484330690815,1792.573018000654,0.06578181126203575,0.22716650000074878
post_saturation,5,,1024,8192,128,1,48,48,48,1.0,0.0,0.25,0.25,1.0,16.0,1.0,48.0,whitened_raw,0.08873786966114668,0.08873786966114666,0.08873786966114668,0.07754990179114933,4.259417743735041,4.259417743735041,0.0,48,48,48,48,0,48,48,48,1.0,1.0,0.2027493643272765,0.5913877819490466,0.20149878225889742,0.20149878225889742,-0.06429991414489031,,1.0,0,0.13918343966815241,1.0159575923974684,1.0321698295500605,0.1371988681140071,0.9701425001453314,0.9411764705882344,0.1371988681140071,0.01937202987785827,0.018823529411764718,0.13918343966815241,0.019372029877858223,0.1371988681140071,0.018823529411764718,0.13918343966815241,0.019372029877858223,0.1371988681140071,0.018823529411764718,0.01876825821028193,0.02000000000000003,11.85127531228511,11.567770439881022,-0.5825440165583837,-0.593657934433498,1.0,0.0,11.481904404676577,12.290756092373597,0.030269479650276033,50.68104016893294,0.06249999999999929,17.00000000000022,0.0,0.0,11.56777043988103,11.851275149006117,0.0,0.0,0.0,1.0000000000000002,0.011187967869997345,0.018918158628717305,26570.202712911447,241.06528775253537,407.6264256898451,0.062440831613097235,26329.13742515891,0.06187432042750495,28288.08934002365,26329.137425158904,1958.951914864745,0.0664779204818916,0.23653649998595938
post_saturation,6,,1024,8192,128,1,48,48,48,1.0,0.0,0.25,0.25,1.0,16.0,1.0,48.0,whitened_raw,0.08891432913836293,0.08891432913836293,0.08891432913836293,0.07764309147730572,4.2678877986414205,4.267887798641421,8.881784197001252e-16,48,48,48,48,0,48,48,48,1.0,1.0,0.18497606517136087,0.5355709621741893,0.2032593339248034,0.2032593339248034,-0.06606046581079641,,1.0,0,0.146024592201796,1.0097290248988557,1.019552703723194,0.13719886811400697,0.9701425001453312,0.941176470588234,0.13719886811400697,0.021323181527700866,0.01882352941176468,0.146024592201796,0.021323181527700824,0.13719886811400697,0.01882352941176468,0.146024592201796,0.021323181527700824,0.13719886811400697,0.01882352941176468,0.020914251367126987,0.02,11.913872129390054,11.567770439881023,-0.5790408640371489,-0.593657934433498,1.0,0.0,11.685391138567997,12.290756092373606,0.03101870734251034,51.24436010100214,0.062499999999999306,17.000000000000217,0.0,0.0,11.567770439881041,11.913871965519366,0.0,0.0,7.454993827956641e-17,1.0,0.011271237661057212,0.021045274029235644,26055.095674486347,280.12248566609924,523.0352379989415,0.06219708012596337,25774.973188820248,0.06152838940597038,27791.12908574207,25774.973188820262,2016.1558969218095,0.06634122952883638,0.23364640004001558
post_saturation,7,,1024,8192,128,1,48,48,48,1.0,0.0,0.25,0.25,1.0,16.0,1.0,48.0,whitened_raw,0.08893730625563968,0.08893730625563967,0.08893730625563968,0.07780713484822126,4.268990700270704,4.268990700270705,8.881784197001252e-16,48,48,48,48,0,48,48,48,1.0,1.0,0.2294195270721111,0.6219150385032797,0.20433210768078244,0.20433210768078244,-0.06713323956677528,,1.0,0,0.14017393072974904,0.9738846462802244,0.9484513042603578,0.13719886811400717,0.9701425001453323,0.9411764705882362,0.13719886811400717,0.019648730856228504,0.018823529411764732,0.14017393072974904,0.019648730856228484,0.13719886811400717,0.018823529411764732,0.14017393072974904,0.019648730856228484,0.13719886811400717,0.018823529411764732,0.020716646988588824,0.02000000000000001,11.890486257090721,11.56777043988103,-0.5617127158726978,-0.5936579344334978,1.0,0.0,12.536738790573356,12.290756092373584,0.0306938958343926,52.395844686966335,0.06249999999999922,17.000000000000238,0.0,0.0,11.56777043988105,11.89048609246449,0.0,0.0,7.469656099787223e-17,1.0000000000000002,0.011130171407418427,0.017896610820353608,26668.63928643765,257.29464401141377,413.7134947413833,0.06294621506743113,26411.344642426237,0.062338920341079004,28675.135000032515,26411.34464242624,2263.7903576062745,0.06768216388593915,0.22787960001733154
post_saturation,8,,1024,8192,128,1,48,48,48,1.0,0.0,0.25,0.25,1.0,16.0,1.0,48.0,whitened_raw,0.0886850751377199,0.0886850751377199,0.0886850751377199,0.07743531332562863,4.256883606610556,4.256883606610556,0.0,48,48,48,48,0,48,48,48,1.0,1.0,0.2037351971565263,0.5979269715627413,0.20697244963679956,0.20697244963679956,-0.0697735815227925,,1.0,0,0.12352557873003259,1.0022945057673318,1.00459427629138,0.13719886811400706,0.9701425001453315,0.9411764705882346,0.13719886811400706,0.015258568600589498,0.0188235294117647,0.12352557873003259,0.01525856860058948,0.13719886811400706,0.0188235294117647,0.12352557873003259,0.01525856860058948,0.13719886811400706,0.0188235294117647,0.015188787116047405,0.020000000000000007,12.122252789214702,11.567770439881027,-0.6012432490972706,-0.5936579344334976,1.0,0.0,12.066814509401677,12.2907560923736,0.031158726416552127,50.38720371136963,0.06249999999999921,17.000000000000245,0.0,0.0,11.567770439881023,12.12225262481794,0.0,0.0,0.0,1.0,0.011249761812091266,0.01881460838384477,26275.255611509918,214.97005867026746,359.5256091365505,0.06216488799241801,26060.28555283965,0.06165628819736571,28040.64933419063,26060.285552839647,1980.363781350985,0.06634165051970205,0.24577929999213666
post_saturation,9,,1024,8192,128,1,48,48,48,1.0,0.0,0.25,0.25,1.0,16.0,1.0,48.0,whitened_raw,0.08864906729756365,0.08864906729756362,0.08864906729756365,0.07744131087023283,4.255155230283055,4.255155230283055,0.0,48,48,48,48,0,48,48,48,1.0,1.0,0.2132202545854042,0.579863166311,0.22756943100363422,0.22756943100363422,-0.09037056288962703,,1.0,0,0.14441054867939385,0.9740196259983547,0.9487142318299747,0.1371988681140072,0.9701425001453319,0.9411764705882353,0.1371988681140072,0.020854406569883566,0.01882352941176474,0.14441054867939385,0.02085440656988358,0.1371988681140072,0.01882352941176474,0.14441054867939385,0.02085440656988358,0.1371988681140072,0.01882352941176474,0.021981757910026836,0.020000000000000035,12.175172244529495,11.567770439881027,-0.5872818381290172,-0.5936579344334976,1.0,0.0,12.833339941622683,12.290756092373591,0.031137588484701856,48.731112703734716,0.06249999999999903,17.000000000000288,0.0,0.0,11.567770439881038,12.175172080337278,0.0,0.0,0.0,1.0000000000000002,0.011207756427330823,0.019328277908446642,26407.168253853833,242.45526914303264,418.12497021581083,0.06254267518114592,26164.7129847108,0.06196844469197726,28556.507746862015,26164.71298471081,2391.794762151203,0.06763316578100802,0.24322130001382902
