K,lambda_top_mean,lambda_top_sem,oracle_lambda_top_mean,oracle_lambda_top_sem,lambda_at_bottleneck_rank_mean,lambda_at_bottleneck_rank_sem,oracle_lambda_at_bottleneck_rank_mean,oracle_lambda_at_bottleneck_rank_sem,relative_conditioning_mean,relative_conditioning_sem,oracle_relative_conditioning_mean,oracle_relative_conditioning_sem,theorem_subspace_error_mean,theorem_subspace_error_sem,per_target_excess_mse_mean,per_target_excess_mse_sem,test_mse_mean,test_mse_sem,oracle_test_mse_mean,oracle_test_mse_sem,oracle_effdim_mean,oracle_effdim_sem,empirical_effdim_mean,empirical_effdim_sem,per_target_risk_stability_ratio_mean,per_target_risk_stability_ratio_sem,calibrated_excess_risk_rhs_mean,calibrated_excess_risk_rhs_sem,calibrated_total_risk_rhs_mean,calibrated_total_risk_rhs_sem,risk_stability_bound_mean,risk_stability_bound_sem,delta,calibrated_c,empirical_l,concentration_coverage
48,0.990414945115844,0.00941810561597984,0.9411764705882352,2.5397994724782863e-16,0.01901057056168391,0.0005849728541957764,0.01882352941176468,1.3397237446805526e-17,0.01922027990209486,0.0006513901079941534,0.01999999999999999,1.0081979102360679e-17,0.5720255444168159,0.00813672896494822,0.01118498916355133,6.632857064053264e-05,0.08879031075936988,5.622106034881272e-05,0.07760532159581854,4.042714642951912e-05,12.290756092373593,2.574185619541936e-15,12.156744600163517,0.13382122191081866,0.01958728370408997,0.000290294352488915,0.08092849058631355,1.7796305227312742e-17,0.15853381218213208,4.042714642950948e-05,0.015541780875088763,0.00022107274727064708,0.1,1.7643051196233146,0.0271697322379785,0.9
64,0.9989409230484319,0.009447279158088183,0.9411764705882352,2.5397994724782863e-16,0.0611857732673719,0.0007727037668236768,0.07129742161071,3.668802309897107e-17,0.0613109054533675,0.0010508436764740173,0.07575351046137938,3.8758552044962204e-17,0.37541413352395786,0.0031780597450815047,0.00934435675214239,5.4721586604691925e-05,0.08457074414908208,6.055797778661563e-05,0.07522638739693967,2.699154617116117e-05,13.890756092373596,2.7327428045998485e-15,13.695176838481762,0.1444525845205169,0.024906535797851383,0.00025258940487101253,0.04380320838039942,9.84029866210723e-18,0.11902959577733907,2.6991546171158812e-05,0.010199901486198643,8.634703231016269e-05,0.1,1.7643051196233146,0.0271697322379785,0.9
80,1.0001477780213472,0.010603114388286155,0.9411764705882352,2.5397994724782863e-16,0.10245178429126237,0.0013427162863731904,0.1307519085181758,3.654191330661934e-17,0.10262606790297664,0.0022404726116083485,0.13892390280056183,3.654191330661934e-17,0.3194539426528987,0.0021289654800996116,0.00827521948224611,4.312236996698665e-05,0.0821488689245908,7.021598148751488e-05,0.07387364944234465,3.537063279129181e-05,15.490756092373598,3.4879776637389506e-15,15.255482778086668,0.15468073735235227,0.02591466190419604,0.00022142519226295044,0.0339062168723535,3.507784546187808e-18,0.10777986631469813,3.537063279129299e-05,0.008679478084245797,5.784342203820579e-05,0.1,1.7643051196233146,0.0271697322379785,0.9
96,1.0095404262287484,0.011648290437106504,0.9411764705882352,2.5397994724782863e-16,0.1406550482173796,0.002124064599973,0.19357684174239975,5.3469019126357934e-17,0.13954831925364133,0.0029572165353558217,0.2056753943512998,4.2296275558489766e-17,0.29508359928664685,0.0038421192226703042,0.007651009039549151,4.30875150181344e-05,0.08058571328836515,4.449158767388511e-05,0.07293470424881597,1.818754583197926e-05,17.090756092373596,3.76356689980419e-15,16.75964048874529,0.2047022555250985,0.02595640749388219,0.00026099794546975767,0.02909204292995412,2.8327915739802466e-18,0.1020267471787701,1.8187545831978886e-05,0.008017342380437139,0.00010438935050634226,0.1,1.7643051196233146,0.0271697322379785,0.9
128,1.0164376819619907,0.011717876662060154,0.9411764705882352,3.5496283862699463e-16,0.19695220944612615,0.001267286942089851,0.2797558645346098,3.0404709722440586e-17,0.19402798161240345,0.002809584332352914,0.297240606068023,1.0709800548986057e-16,0.26408220249169323,0.0024957489748007326,0.0066850434591393506,2.9605554809255506e-05,0.0784767775614332,5.245746292149688e-05,0.07179173410229381,2.7939964086703907e-05,20.290756092373595,6.2663979156823534e-15,19.880094515405865,0.23594411533969278,0.025334255985747216,0.0002606630426676995,0.026120123821999235,2.254399062061079e-18,0.09791185792429305,2.7939964086704547e-05,0.007175042730514924,6.780883137854526e-05,0.1,1.7643051196233146,0.0271697322379785,0.9
160,1.0343659002692789,0.008856679030342722,0.9411764705882352,3.3141805118394574e-16,0.2529039945730801,0.002716101122381269,0.3598387413693458,8.679012619367782e-17,0.24468625509222114,0.0035703046550695046,0.38232866270493,1.1391438882269926e-16,0.24924487579981108,0.0014411930832761994,0.00613273494385839,2.879252480023654e-05,0.07723701089569365,3.900460426728124e-05,0.07110427595183524,2.1058075045867585e-05,23.490756092373594,7.125137318785981e-15,22.744273314749485,0.2123793728754967,0.024611727459889,0.00016831382248992964,0.024607893732269116,2.3700834734518186e-18,0.09571216968410436,2.1058075045868226e-05,0.006771916537169074,3.915683017584099e-05,0.1,1.7643051196233146,0.0271697322379785,0.9
192,1.0386084642659195,0.010169579082055595,0.941176470588235,1.992911320093939e-16,0.2987943586188797,0.0017286488284774552,0.4367192164747675,7.828625082012978e-17,0.2879516062909604,0.0034428812299185417,0.4640141675044406,1.0868472903575298e-16,0.23952537382853648,0.002369543358708236,0.00576968146788003,2.6521976697829993e-05,0.07642843349258523,4.097548813854646e-05,0.07065875202470515,2.288394417403396e-05,26.690756092373608,4.707252523026708e-15,25.753551157280203,0.26168621489511024,0.02410543718622748,0.0002211793451119348,0.023682229353700752,2.132448027717043e-18,0.0943409813784059,2.2883944174032656e-05,0.006507840271123039,6.437985858238301e-05,0.1,1.7643051196233146,0.0271697322379785,0.9
256,1.0974274329364522,0.006951268422399114,0.9411764705882348,2.6324748668006995e-16,0.38708347535656523,0.004480251847378307,0.5880681471930359,1.6131166563777087e-16,0.35280705784411037,0.004342638704778915,0.624822406392601,1.2385056336555002e-16,0.2241809783864202,0.0015556345337085981,0.00536734195638322,2.526044037955812e-05,0.07546962783076401,3.53564701318989e-05,0.07010228587438075,2.404844399945051e-05,33.09075609237361,6.310999175446941e-15,30.28955810035344,0.2075125456689925,0.02395348614361931,0.00021595627049845965,0.02254870235117088,2.132448027717043e-18,0.09265098822555164,2.404844399945097e-05,0.006090937155607082,4.226617374101515e-05,0.1,1.7643051196233146,0.0271697322379785,0.9
320,1.2236766861114945,0.006998431168343934,0.941176470588235,2.999657430470547e-16,0.47988784944268514,0.002935714302520188,0.7190721576512381,1.2440223898399762e-16,0.3922688123714747,0.0030895409415206657,0.7640141675044407,2.220446049250313e-16,0.21442083560145453,0.001732910620155087,0.0050547252939235005,1.4978447484129573e-05,0.07479778858414661,2.6930854886709093e-05,0.06974306329022306,1.8521891519432453e-05,39.490756092373616,9.649904004743045e-15,32.55690721182357,0.16858408037361566,0.023586471385067993,0.00018673893938063636,0.022158579207039727,1.828559098217032e-18,0.09190164249726278,1.8521891519432436e-05,0.005825756689535127,4.708271754196298e-05,0.1,1.7643051196233146,0.0271697322379785,0.9
384,1.4050847325195064,0.007301006165429979,0.9523145981877313,1.965230651894209e-16,0.5666591672570996,0.005120373450498438,0.8600687903018402,2.080331362368544e-16,0.40337078337851884,0.004006695420813506,0.903135152961599,3.241056911120209e-16,0.20859033896858556,0.001146679394981357,0.0048727157563983,1.528876081116363e-05,0.07439419211093559,2.1581006670288537e-05,0.06952147635453723,1.5895827069932007e-05,45.35402474543541,9.26434382393303e-15,33.01526130619648,0.16193980427130814,0.02336646671336546,0.00014609197563833257,0.021763275961106367,3.3518041921118953e-18,0.09128475231564359,1.5895827069928108e-05,0.005667343657205642,3.1154972124450654e-05,0.1,1.7643051196233146,0.0271697322379785,0.9
