K,lambda_top_mean,lambda_top_sem,oracle_lambda_top_mean,oracle_lambda_top_sem,lambda_at_bottleneck_rank_mean,lambda_at_bottleneck_rank_sem,oracle_lambda_at_bottleneck_rank_mean,oracle_lambda_at_bottleneck_rank_sem,relative_conditioning_mean,relative_conditioning_sem,oracle_relative_conditioning_mean,oracle_relative_conditioning_sem,theorem_subspace_error_mean,theorem_subspace_error_sem,per_target_excess_mse_mean,per_target_excess_mse_sem,test_mse_mean,test_mse_sem,oracle_test_mse_mean,oracle_test_mse_sem,oracle_effdim_mean,oracle_effdim_sem,empirical_effdim_mean,empirical_effdim_sem,per_target_risk_stability_ratio_mean,per_target_risk_stability_ratio_sem,calibrated_excess_risk_rhs_mean,calibrated_excess_risk_rhs_sem,calibrated_total_risk_rhs_mean,calibrated_total_risk_rhs_sem,risk_stability_bound_mean,risk_stability_bound_sem,delta,calibrated_c,empirical_l,concentration_coverage
64,0.964117942126029,0.004830480300674273,0.9411764705882352,1.1991779233329539e-16,0.01842625574161657,0.0002584308388113438,0.01882352941176467,1.5438064341682233e-17,0.01911414062414977,0.0002691839728830696,0.01999999999999997,1.5438064341682233e-17,0.3370086598458009,0.00346058864086448,0.0031477643745162097,2.688447983109813e-05,0.08056740786717259,5.399892235620433e-05,0.07741964349265631,4.055539161629142e-05,16.29718659361442,1.8346134549116833e-15,16.124763505247635,0.0864468503179095,0.009349401315869251,0.00012489053271260136,0.023969202934492933,9.069358193474233e-18,0.10138884642714925,4.0555391616290103e-05,0.004791693387596251,4.920371991392801e-05,0.1,1.7689550691699656,0.0142183093745683,0.9
80,0.9690258118396053,0.004746088013487853,0.9411764705882352,1.1991779233329539e-16,0.04852826640421556,0.0005066038876300623,0.050837654173922296,1.8300213608243376e-17,0.05010139922676168,0.0006732619547633105,0.05401500755979246,2.2365303597326235e-17,0.22791924454859794,0.0022753569145693158,0.00276897851798896,2.3356415398273282e-05,0.07838684191747573,4.08898598515833e-05,0.07561786339948674,4.3586483045310666e-05,17.89718659361442,2.183626780382252e-15,17.629776113502466,0.08208535984953369,0.01216305984704541,0.000184422628548597,0.015199552204129631,2.699835154035442e-18,0.09081741560361636,4.35864830453101e-05,0.003240626331409855,3.235172854890971e-05,0.1,1.7689550691699656,0.0142183093745683,0.9
96,0.967511424316952,0.00587046000618148,0.9411764705882352,1.1991779233329539e-16,0.10133780653602487,0.0006961254833570142,0.11543025582137818,2.8740388896569947e-17,0.10477632403379111,0.000969439025434676,0.1226446468102143,3.313276427195178e-17,0.18648510592330078,0.0016108979685316004,0.0024998265495267,1.2003789170573689e-05,0.07693371970996214,3.896454328921882e-05,0.0744338931604354,3.5478635054196195e-05,19.497186593614423,2.8520225183096897e-15,19.278125894361466,0.10967597109013928,0.013414174432954609,0.00013559537508177997,0.010478918381110171,1.5941008642839814e-18,0.08491281154154558,3.547863505419692e-05,0.00265150292976663,2.2904245687445885e-05,0.1,1.7689550691699656,0.0142183093745683,0.9
128,0.9728520270217924,0.004031167773163828,0.9411764705882352,1.1991779233329539e-16,0.16758574530229148,0.0010425791260696273,0.18871157965288343,3.3486104761011805e-17,0.17227119779074412,0.0009787575209158099,0.2005060533811887,4.329632562397079e-17,0.16114403399222169,0.002126192460114641,0.0022081237546876303,8.126433354111567e-06,0.0751413675382478,3.4903369752558406e-05,0.07293324378356013,3.545865063211336e-05,22.697186593614425,3.611440197435652e-15,22.36438464516074,0.07797808461647028,0.01372028899975443,0.00015393375163483294,0.008776453586029994,1.0504272292604822e-18,0.08170969736959012,3.545865063211392e-05,0.002291195729167358,3.0230862187784438e-05,0.1,1.7689550691699656,0.0142183093745683,0.9
160,0.9741846638840743,0.00430080763629982,0.9411764705882352,2.8665835232995054e-16,0.21777303812232202,0.0009031901413733708,0.24957293650586757,7.521937378214214e-17,0.22358604142755154,0.0014095694110790157,0.26517124503748435,7.93721036656248e-17,0.1479433956257135,0.001236844317053451,0.00199091970393012,1.3342924363013108e-05,0.07401173793293367,3.7057797436933795e-05,0.0720208182290035,3.3675158275472744e-05,25.897186593614425,7.78360568894479e-15,25.48381427089027,0.10230790089616416,0.013463629952815179,0.00012082342981752763,0.008105398389576442,1.097135458930219e-18,0.08012621661857994,3.367515827547404e-05,0.002103504968930549,1.758583514804261e-05,0.1,1.7689550691699656,0.0142183093745683,0.9
192,0.976369167926717,0.004941445521022927,0.9411764705882348,2.972137055765787e-16,0.26798851141110946,0.0010617788597997188,0.31737799694059243,5.612455273900493e-17,0.2745286497886922,0.0016117253440272874,0.3372141217493797,1.374765162524861e-16,0.138884235677639,0.0009497966565475355,0.0018687165724717001,5.958225415239898e-06,0.07330642297917732,2.8347373255498227e-05,0.0714377064067056,2.622391960083259e-05,29.09718659361443,7.395563270997247e-15,28.61034191275683,0.14095310573678924,0.01346239454502553,0.00012189193459472135,0.007584468499048681,6.529261963638894e-19,0.07902217490575428,2.6223919600832945e-05,0.0019746990301151277,1.3504502705723452e-05,0.1,1.7689550691699656,0.0142183093745683,0.9
256,0.986758055922559,0.0038203325125739916,0.9411764705882352,2.482534153247273e-16,0.36155611968368156,0.001655192140230721,0.43403062440670864,9.791246743253677e-17,0.36643595910242716,0.001758247944545477,0.461157538432128,1.5938994914557213e-16,0.13198149966593833,0.0011800002553528986,0.0017184236444019601,7.68929576097086e-06,0.0723966379680756,2.2625542487914017e-05,0.07067821432367358,2.3790028637632583e-05,35.497186593614416,9.851264973825579e-15,34.57261283702422,0.1356700410104577,0.013027674435369448,0.00010784930443772217,0.007115979949773853,6.334314525508455e-19,0.07779419427344744,2.37900286376318e-05,0.001876553793969794,1.6777608692677105e-05,0.1,1.7689550691699656,0.0142183093745683,0.9
320,0.9986391783472396,0.004238198435608891,0.9411764705882344,1.8242825833464354e-16,0.4499281079420824,0.00142310143659197,0.5443773278600952,1.2604277892459475e-16,0.45059092556379154,0.0018301171220483198,0.5784009108513517,1.7554167342883506e-16,0.1233802748763754,0.0008791101999794619,0.00162171327893536,7.3251741291401275e-06,0.07182208889765347,2.4410569494298102e-05,0.07020037561871807,2.361662140724122e-05,41.89718659361445,8.670044933354919e-15,40.36420130370672,0.15434263022578196,0.01314949156174095,0.00010368441919648774,0.006870847548780012,8.625296015714959e-19,0.07707122316749808,2.3616621407241438e-05,0.001754258918911582,1.2499460797646596e-05,0.1,1.7689550691699656,0.0142183093745683,0.9
384,1.0155589678152466,0.004172525082678888,0.941176470588235,1.5213611697165703e-16,0.5284801200842737,0.002029607122928771,0.6536046013786718,1.1585159381820608e-16,0.5204608968988056,0.002896720949864609,0.6944548889648392,1.3647667377389076e-16,0.12128075291416918,0.001151907376686913,0.00155259084098666,7.640182288784009e-06,0.07144949498760785,1.6620966345852832e-05,0.06989690414662113,1.3993412262549202e-05,48.297186593614434,6.130647565567332e-15,45.79572935606834,0.1839737203103856,0.01281152844101649,0.00013256765699312735,0.006709142903095244,6.133173666733497e-19,0.07660604704971638,1.3993412262549558e-05,0.0017244072661142334,1.637817545258191e-05,0.1,1.7689550691699656,0.0142183093745683,0.9
512,1.1706485600632939,0.003331959634003067,0.9480801328151314,2.7817186292139303e-16,0.6759486554969591,0.0020242774024522834,0.8550551241296395,1.6796646618629735e-16,0.5774779190051424,0.002914727282137111,0.9018806475679719,2.8570122661173844e-16,0.11582212832015593,0.0010299806763845688,0.0014741121794149,4.631656200101551e-06,0.07097372845075368,1.8123241904923494e-05,0.06949961627133872,1.6277045973836097e-05,60.65229346205651,1.3992060121137162e-14,50.31908145869742,0.13509542676556613,0.012736657916128791,0.00012293853657824582,0.006566817468745605,4.923546051741983e-19,0.07606643374008433,1.6277045973836097e-05,0.0016467948528769256,1.4644583906662914e-05,0.1,1.7689550691699656,0.0142183093745683,0.9
