experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec
bottleneck,0,,96,8192,32,1,32,1,16,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,23.114333926317112,1.3085322065270495,23.114333926317112,0.8161363799581279,41.87303060886558,739.6586856421476,697.785655033282,15,1,1,1,0,16,16,16,0.9375,1.0,0.46553646171932095,0.13155964228361924,6.886505844538262,6.886505844538262,-5.472292282166581,,1.0,0,1.2579803718907772,19.817751262786885,392.74326511369117,1.4142135623716807,16.933436652843238,286.7412768758548,1.4142135623716807,1.5825146160624635,1.9999999999959996,0.9654443482602687,0.932082789587695,1.4142135623716807,1.9999999999959996,19.817751262786885,392.74326511369117,16.933436652843238,286.7412768758548,1.0,1.0,1184.557389592544,1012.3816358852469,0.0,0.0,1.0,0.0,3.016111273734099,3.5306449316104547,0.007676808240700712,235.1712254594421,0.025599999999999352,40.06250000000108,707.5276511402033,702.2741566904187,987.1115794512948,1010.5272470037016,0.7167656279885768,0.6949581604778305,0.690516418139417,17.664321757631345,22.298197546358985,169.4911688668781,24.0562823204032,1.115790611044762,8.481253001884236,0.7637981595759625,22.940491709358437,0.7283712883812682,0.9370756286592474,0.9327099717787387,0.004365656880508717,0.02975258732918899,0.04370030001155101
bottleneck,1,,96,8192,32,1,32,1,16,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,24.376975799304418,1.1368505553451942,24.376975799304418,0.8184799123069978,36.379217771046214,780.0632255777414,743.6840078066951,15,1,1,1,0,16,16,16,0.9375,1.0,0.8362616511565153,0.13789407363291523,11.962309980963134,11.962309980963134,-10.548096418591452,,1.0,0,1.3354315342225465,24.462200615822223,598.3992589687331,1.4142135623716816,16.933436652843234,286.7412768758547,1.4142135623716816,1.7833773825959665,1.999999999996002,1.084872989241867,1.1769494027865839,1.4142135623716816,1.999999999996002,24.462200615822223,598.3992589687331,16.933436652843234,286.7412768758547,1.0,1.0,1468.466955542378,1012.3816358852464,0.0,0.0,1.0,0.0,2.4539919352057664,3.5306449316104547,0.008030774500123386,251.27339022172998,0.025599999999999613,40.06250000000066,707.5276511402028,728.7903134863775,987.111579451293,1079.7244976409265,0.7167656279885777,0.6749780291905021,0.6887720056658517,21.442550812584663,23.55849588699742,170.8448758262953,25.773227911320358,2.1512853244286987,15.600999141961589,0.8162963618614949,23.62194258689166,0.7481602948659499,0.9354191130189989,0.9330931930691364,0.0023259199498625316,0.029626836863446544,0.040618800005177036
bottleneck,2,,96,8192,32,1,32,1,16,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,23.12496495968783,1.1551571703592551,23.12496495968783,0.8115922280923313,36.965029451496164,739.9988787100106,703.0338492585144,15,1,1,1,0,16,16,16,0.9375,1.0,0.4026470366479347,0.15112879085093742,8.067697834852787,8.067697834852787,-6.653484272481106,,1.0,0,1.2250482272966798,21.925551903202326,480.72982626001914,1.4142135623716807,16.933436652843238,286.7412768758548,1.4142135623716807,1.5007431592027352,1.9999999999959996,0.9734161760901657,0.9475390518740006,1.4142135623716807,1.9999999999959996,21.925551903202326,480.72982626001914,16.933436652843238,286.7412768758548,1.0,1.0,1294.3288602916168,1012.3816358852469,0.0,0.0,1.0,0.0,2.6924247042486082,3.5306449316104547,0.007910564789996868,214.10252834511576,0.02559999999999961,40.06250000000066,707.5276511402037,697.7389342822879,987.1115794512942,1043.4810139356687,0.7167656279885777,0.6686647145122891,0.6737389946434204,20.018890548457524,22.3133727315955,147.64475124798562,23.953962069504136,0.9526534175907351,6.303586578220982,0.7556345981093441,23.0013086519134,0.7255828730439896,0.9389804790963232,0.9317746118188677,0.0072058672774555355,0.029620408302214418,0.04393879999406636
bottleneck,3,,96,8192,32,1,32,1,16,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,23.822072889522566,1.2846924533915773,23.822072889522566,0.816251708424267,41.11015850853046,762.3063324647221,721.1961739561916,15,1,1,1,0,16,16,16,0.9375,1.0,0.9464918718502034,0.1281730758211776,6.867437242139817,6.867437242139817,-5.453223679768136,,1.0,0,1.3405862522551104,17.96348441259737,322.6867722416287,1.4142135623716805,16.933436652843238,286.7412768758548,1.4142135623716805,1.7971714997353931,1.999999999995999,0.7333239688923083,0.5377640433519671,1.4142135623716805,1.999999999995999,17.96348441259737,322.6867722416287,16.933436652843238,286.7412768758548,1.0,1.0,1131.557499470441,1012.3816358852471,0.0,0.0,1.0,0.0,3.5066745736423544,3.5306449316104556,0.006612246255328325,255.86682453553632,0.025599999999999633,40.06250000000062,707.5276511402041,725.5876336204727,987.111579451295,964.7830224036277,0.7167656279885775,0.7520733851770819,0.7475216263232203,18.54301613326403,23.005821181098298,179.4902793250837,26.046314069425847,2.9012494868282523,22.63540504306825,0.8254788919581117,23.145064582597595,0.7335303649881374,1.010655139948633,1.0044074676395807,0.006247672309052321,0.03203042406894229,0.037158100021770224
bottleneck,4,,96,8192,32,1,32,1,16,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,23.42416714127267,1.2262801441162545,23.42416714127267,0.8153609438160697,39.240964611720145,749.5733485207255,710.3323839090053,15,1,1,1,0,16,16,16,0.9375,1.0,0.6126067613064492,0.12645659829795172,9.03155630738772,9.03155630738772,-7.617342745016041,,1.0,0,1.0489216320150228,20.005008686962693,400.2003725654528,1.41421356237168,16.933436652843245,286.741276875855,1.41421356237168,1.1002365901090545,1.9999999999959979,0.9626548662280187,0.9267043914724845,1.41421356237168,1.9999999999959979,20.005008686962693,400.2003725654528,16.933436652843245,286.741276875855,1.0,1.0,1164.5693024120653,1012.3816358852469,0.0,0.0,1.0,0.0,2.9099655628671357,3.530644931610452,0.00737982556204315,295.2644387324472,0.025599999999999505,40.062500000000796,707.5276511402051,675.6584514990936,987.1115794512964,957.971229656649,0.7167656279885775,0.7053014021530266,0.7414965730897773,19.101807408089286,22.608806197456598,178.7870819060519,25.474131392805855,2.3007521837747014,18.194006597850795,0.8025333104547671,23.173379209031154,0.7300507500836528,0.9592619869978246,0.9520765972169913,0.007185389780833273,0.030220449370697372,0.041129899997031316
bottleneck,5,,96,8192,32,1,32,1,16,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,23.039104545468692,1.2184387726516455,23.039104545468692,0.8113539463748259,38.99004072485266,737.2513454549984,698.2613047301458,15,1,1,1,0,16,16,16,0.9375,1.0,0.9934984429875031,0.14775172830980463,9.299906020514179,9.299906020514179,-7.885692458142499,,1.0,0,1.2041727544080423,18.975752656588984,360.0791888840439,1.4142135623716803,16.933436652843245,286.741276875855,1.4142135623716803,1.4500320224586563,1.9999999999959983,0.9244660381820627,0.8546374557520391,1.4142135623716803,1.9999999999959983,18.975752656588984,360.0791888840439,16.933436652843245,286.741276875855,1.0,1.0,1175.7156314395836,1012.381635885247,0.0,0.0,1.0,0.0,3.2651585199448965,3.5306449316104525,0.009295086067510948,229.39625759803775,0.02559999999999962,40.06250000000064,707.5276511402028,725.9380199204179,987.1115794512949,989.6160536860144,0.7167656279885762,0.7335552179216605,0.7055880936140212,18.90870929470629,22.227750599093866,150.43986864564386,26.57260051046919,3.7812795195796447,25.59211701166086,0.8491819800874195,22.791320990889545,0.728343433313062,0.9419483051702667,0.9319475878476126,0.010000717322654173,0.030101891104310007,0.037895599991315976
bottleneck,6,,96,8192,32,1,32,1,16,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,23.222634549572113,1.2317283516071984,23.222634549572113,0.8136789695025299,39.415307251430335,743.1243055863076,703.7089983348773,15,1,1,1,0,16,16,16,0.9375,1.0,0.5416410625845378,0.148286000641571,8.811643426936802,8.811643426936802,-7.3974298645651215,,1.0,0,1.0153292721782095,19.917009864734098,396.68728195191534,1.4142135623716812,16.933436652843234,286.7412768758547,1.4142135623716812,1.0308935309419254,1.999999999996001,0.9851341661074389,0.970489325232199,1.4142135623716812,1.999999999996001,19.917009864734098,396.68728195191534,16.933436652843234,286.7412768758547,1.0,1.0,1138.2282533188384,1012.3816358852469,0.0,0.0,1.0,0.0,2.8693338685277268,3.5306449316104564,0.008158179744210991,236.8551706560614,0.02559999999999951,40.062500000000824,707.5276511402022,673.1208453982259,987.1115794512926,973.6087219036389,0.7167656279885773,0.6913669015640216,0.7227841970837702,18.853698154524476,22.408955580069584,151.11983250688186,24.810382377906855,1.8082207146606422,12.194143120977257,0.7899422785541598,23.002161663246213,0.7323700102307255,0.9151637910966182,0.9116046266824324,0.0035591644141858003,0.029138066450474263,0.041352500003995374
bottleneck,7,,96,8192,32,1,32,1,16,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,23.320709096644045,1.2667739858213725,23.320709096644045,0.8130887187293309,40.53676754628393,746.2626910926094,705.7259235463255,14,1,1,1,0,16,16,16,0.875,1.0,0.5297278014538304,0.1553186559992143,9.322328212080942,9.322328212080942,-7.90811464970926,,1.0,0,1.4891272079231495,23.873729973991487,569.9549828710595,1.4142135623716814,16.93343665284323,286.74127687585457,1.4142135623716814,2.217499841377005,1.9999999999960016,0.7252597772667959,0.5260017445210824,1.4142135623716814,1.9999999999960016,23.873729973991487,569.9549828710595,16.93343665284323,286.74127687585457,1.0,1.0,1300.3188421479333,1012.3816358852466,0.0,0.0,1.0,0.0,2.2814413089219423,3.530644931610457,0.007973179731775339,232.4908965421231,0.02559999999999951,40.0625000000008,707.5276511402026,667.244627365504,987.1115794512933,1040.8999414621994,0.7167656279885772,0.6410266739262135,0.6779959297095937,18.40952636987013,22.507620377914712,144.9125363152033,23.98504364563762,0.7993568311852037,5.146560315260824,0.7610518213217974,23.185686814452417,0.7356880162252756,0.9892815478272922,0.9841277544951134,0.005153793332178802,0.03139016692641888,0.04273200000170618
bottleneck,8,,96,8192,32,1,32,1,16,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,23.408445340163215,1.2489176175960517,23.408445340163215,0.8210704485935916,39.965363763073654,749.070250885223,709.1048871221493,15,1,1,1,0,16,16,16,0.9375,1.0,0.36724148691291464,0.15384365662559127,7.622377055320995,7.622377055320995,-6.208163492949315,,1.0,0,1.1147679022439814,21.003156538521438,441.13258458163585,1.4142135623716803,16.93343665284325,286.74127687585514,1.4142135623716803,1.242707475873454,1.9999999999959983,0.8071170793236851,0.6514379797359958,1.4142135623716803,1.9999999999959983,21.003156538521438,441.13258458163585,16.93343665284325,286.74127687585514,1.0,1.0,1297.7484903441261,1012.3816358852471,0.0,0.0,1.0,0.0,2.941855885742136,3.5306449316104516,0.006245134642212733,321.29155247279544,0.025599999999999675,40.062500000000554,707.5276511402029,709.521721751595,987.111579451294,1041.1381809280906,0.716765627988577,0.6814866025940127,0.6810862382263606,18.742985934669083,22.587374891569624,146.82031997289582,24.15714134988773,0.9617173746624061,6.251264405414739,0.762828767251926,23.195423975225324,0.7324598726574548,0.9758495575763462,0.9632574627337736,0.012592094842572621,0.030815157482727614,0.04269580001709983
bottleneck,9,,96,8192,32,1,32,1,16,1.0,0.0,0.16,0.16,1.0,16.0,1.0,1.0,cross_cov,23.466078882951972,1.182495075916761,23.466078882951972,0.825187973987438,37.83984242933636,750.914524254463,713.0746818251266,16,1,1,1,0,16,16,16,1.0,1.0,0.5697026333394495,0.12205509903354217,8.808105895107703,8.808105895107703,-7.393892332736021,,1.0,0,1.1119579314699841,18.02100972598761,324.75679154414007,1.4142135623716816,16.933436652843238,286.7412768758548,1.4142135623716816,1.2364504413589996,1.999999999996002,1.1119579314699841,1.2364504413590058,1.4142135623716816,1.999999999996002,18.02100972598761,324.75679154414007,16.933436652843238,286.7412768758548,1.0,1.0,1062.272757661143,1012.3816358852472,0.0,0.0,1.0,0.0,3.2709793461448267,3.530644931610456,0.007044355126553647,255.1920697544237,0.025599999999999512,40.06250000000084,707.5276511402042,672.5785836992849,987.1115794512956,928.2530905413778,0.7167656279885771,0.7245637968272447,0.768189935580226,19.844546806894115,22.640890908964533,185.497296616363,25.546630284148677,2.405611222233624,19.709223467776088,0.8063234151015467,23.141019061915053,0.7303955672976201,0.9684338068987889,0.9607664342302632,0.007667372668525685,0.03056649138430373,0.0438127999950666
