experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec
overlap,0,,1024,8192,32,1,24,16,16,1.0,0.0,0.08,0.08,1.0,16.0,1.0,16.0,cross_cov,0.21418574931610937,0.2142163832392736,0.21418574931610937,0.20675794847602627,5.141193197742566,5.140457983586625,-0.0007352141559406888,16,16,16,16,0,16,16,16,1.0,1.0,0.020531367206704218,0.020531367206736664,2.071807175131961,2.071807175131961,-0.8470623037415972,,1.0,0,1.1167429622518852,15.108372978815398,228.26293406699926,1.224744871390364,14.664786314736777,215.05595765689105,1.224744871390364,1.2471148437391169,1.499999999996999,1.1167429622518852,1.2471148437391155,1.224744871390364,1.499999999996999,1.1167429622518852,1.2471148437391155,1.224744871390364,1.499999999996999,0.005463501329449594,0.006974928834057969,765.0528047000256,759.2862269139348,-1.015752039677372,-0.9716084093561883,1.0,0.0,3.3516295925446613,3.530644931610454,0.004973338413955275,251.33926848334656,0.006399999999999057,157.2500000000233,7.26694228751373e-30,0.0007130113696928576,754.4576976489858,751.5080793200391,9.63200761309576e-33,9.487740575430499e-07,-9.7831836566003e-07,0.9998569954235011,0.007427800840083099,0.36177818872412554,0.20402708071176484,9.028668206984003e-06,0.00043974997456679626,0.006457527213952358,0.20401805204355786,0.006457241453501103,0.20402708071176484,0.20401805204355788,9.028668206956247e-06,0.006457527213952358,0.04243900001165457
overlap,1,,1024,8192,32,1,24,16,16,1.0,0.0,0.08,0.08,1.0,16.0,1.0,16.0,cross_cov,0.21474390339195404,0.2147778708298013,0.21474390339195404,0.2086859849983197,5.154668899915231,5.153853681406896,-0.0008152185083352137,16,16,16,16,0,16,16,16,1.0,1.0,0.017392468714950322,0.01739246871496309,1.9242574633597802,1.9242574633597802,-0.6995125919694152,,1.0,0,1.1888291778352489,14.291472481953043,204.2461857024211,1.224744871390365,14.664786314736777,215.05595765689105,1.224744871390365,1.4133148140724274,1.4999999999970017,1.1888291778352489,1.4133148140724339,1.224744871390365,1.4999999999970017,1.1888291778352489,1.4133148140724339,1.224744871390365,1.4999999999970017,0.0069196631957258664,0.0069749288340579816,752.472916148916,759.2862269139349,-0.9965431210871998,-0.9716084093561883,1.0,0.0,3.6841467249980395,3.5306449316104547,0.0048203532163200525,258.4247112015254,0.006399999999999601,157.2500000000099,6.728240953774777e-30,0.0007648137508397059,754.457697648972,744.8811430417336,8.917983042311325e-33,1.026759447442282e-06,-1.094427635805434e-06,0.9998418485213769,0.006057918393634343,0.3483069880943695,0.20500348448147687,4.7297992522565835e-06,0.00027194524996830625,0.006459070466395204,0.20499875468222462,0.00645892144401766,0.20500348448147687,0.20499875468222478,4.72979925209005e-06,0.006459070466395204,0.04063050000695512
overlap,2,,1024,8192,32,1,24,16,16,1.0,0.0,0.08,0.08,1.0,16.0,1.0,16.0,cross_cov,0.21461707666369478,0.2146468520242827,0.21461707666369478,0.20673323047301884,5.151524448582785,5.150809839928674,-0.0007146086541114371,16,16,16,16,0,16,16,16,1.0,1.0,0.022191614860921048,0.02219161486094606,2.0368946532660557,2.0368946532660557,-0.8121497818756913,,1.0,0,1.1898866871284255,14.69149666820012,215.84007435173524,1.2247448713903644,14.664786314736773,215.05595765689094,1.2247448713903644,1.4158303282054587,1.4999999999970002,1.1898866871284255,1.4158303282054596,1.2247448713903644,1.4999999999970002,1.1898866871284255,1.4158303282054596,1.2247448713903644,1.4999999999970002,0.006559626762814248,0.006974928834057978,740.3714804910853,759.2862269139349,-0.9711485929417978,-0.9716084093561883,1.0,0.0,3.430185440376416,3.5306449316104564,0.004899120411555665,257.9804928612689,0.006399999999999283,157.2500000000178,1.1776560989678465e-29,0.0006425311252922119,754.4576976489839,739.5444510306315,1.560930589796644e-32,8.688201559713936e-07,-9.662822202445793e-07,0.9998612820998439,0.007883846190675947,0.35526239257830416,0.20424705713317454,7.457811714517426e-06,0.00033606439915474855,0.006400353027118321,0.20423959932146002,0.0064001193266750795,0.20424705713317454,0.20423959932145974,7.457811714794982e-06,0.006400353027118321,0.042371600022306666
overlap,3,,1024,8192,32,1,24,16,16,1.0,0.0,0.08,0.08,1.0,16.0,1.0,16.0,cross_cov,0.21381075531339278,0.21384470554323895,0.21381075531339278,0.20777743470792873,5.132272933037734,5.131458127521427,-0.0008148055163070822,16,16,16,16,0,16,16,16,1.0,1.0,0.020999317344913324,0.020999317344929186,1.96986885780837,1.96986885780837,-0.7451239864180055,,1.0,0,1.2394300444356317,15.285449822745528,233.6449762836713,1.2247448713903646,14.66478631473678,215.05595765689114,1.2247448713903646,1.5361868350497199,1.4999999999970006,1.2394300444356317,1.5361868350497119,1.2247448713903646,1.4999999999970006,1.2394300444356317,1.5361868350497119,1.2247448713903646,1.4999999999970006,0.006574876376475598,0.006974928834057974,796.5062189318967,759.286226913935,-1.0574202357825668,-0.9716084093561883,1.0,0.0,3.409044917639695,3.530644931610454,0.004861821863247421,247.18802762928865,0.006399999999999619,157.2500000000096,7.988914287437177e-30,0.0007335229018478963,754.4576976489855,766.2491727170765,1.0588949270889475e-32,9.57290301856856e-07,-1.0633688691862826e-06,0.999841238857142,0.006033320605464049,0.2873103209195963,0.20452563401650542,3.0204018282770084e-05,0.0014383333413485275,0.006455586156553819,0.20449542999822265,0.006454632805922559,0.20452563401650542,0.20449542999822276,3.0204018282659062e-05,0.006455586156553819,0.042098900012206286
overlap,4,,1024,8192,32,1,24,16,16,1.0,0.0,0.08,0.08,1.0,16.0,1.0,16.0,cross_cov,0.21248201204835093,0.21251433093839422,0.21248201204835093,0.20655094565574592,5.100343942521462,5.099568289160423,-0.0007756533610390193,16,16,16,16,0,16,16,16,1.0,1.0,0.019284133194659096,0.019284133194601524,2.729679328616039,2.729679328616039,-1.5049344572256749,,1.0,0,1.184468017259534,14.64599233265999,214.5050914083352,1.224744871390364,14.66478631473678,215.05595765689114,1.224744871390364,1.4029644839107316,1.499999999996999,1.184468017259534,1.402964483910732,1.224744871390364,1.499999999996999,1.184468017259534,1.402964483910732,1.224744871390364,1.499999999996999,0.0065404717188741555,0.006974928834057966,755.7811607443651,759.2862269139348,-0.98611743817131,-0.9716084093561883,1.0,0.0,3.523371663498879,3.5306449316104525,0.0049256424605389525,261.1587265329116,0.0063999999999994105,157.2500000000147,9.234242042399557e-30,0.0007823358199155717,754.4576976489855,746.165307822684,1.2239575619912127e-32,1.0484751994145018e-06,-1.039519464262392e-06,0.9998479213618179,0.005931066392605017,0.3075619906144074,0.20222071425499166,1.9551409271983955e-05,0.001013859895836918,0.006369649583322343,0.20220116284571968,0.006369033743217231,0.20222071425499166,0.20220116284571976,1.9551409271900688e-05,0.006369649583322343,0.04083629997330718
overlap,5,,1024,8192,32,1,24,16,16,1.0,0.0,0.08,0.08,1.0,16.0,1.0,16.0,cross_cov,0.21148573674908747,0.2115186315886355,0.21148573674908747,0.20522224886074358,5.076447158127252,5.0756576819781,-0.0007894761491513691,16,16,16,16,0,16,16,16,1.0,1.0,0.018968671995868356,0.018968671995862503,2.1274930501367533,2.1274930501367533,-0.9027481787463894,,1.0,0,1.150569756013535,14.629368856544426,214.01843314083197,1.224744871390364,14.66478631473678,215.05595765689114,1.224744871390364,1.3238107634530463,1.499999999996999,1.150569756013535,1.3238107634530456,1.224744871390364,1.499999999996999,1.150569756013535,1.3238107634530456,1.224744871390364,1.499999999996999,0.0061854988097307,0.006974928834057966,809.916037898774,759.2862269139351,-1.0091129566845325,-0.9716084093561888,1.0,0.0,3.7843284151408563,3.5306449316104542,0.004880019752323815,260.7831238506872,0.00639999999999954,157.25000000001148,6.31650567717095e-30,0.0008148699713245831,754.4576976489765,773.5135482727178,8.372246312622032e-33,1.0534656738000462e-06,-1.0206364851841269e-06,0.9998444825436844,0.006263487888343883,0.3302017078322663,0.20129331657945884,5.082137175899115e-05,0.002679226662260618,0.006352791778233715,0.20124249520769985,0.006351187862126835,0.20129331657945884,0.20124249520769982,5.082137175901891e-05,0.006352791778233715,0.04160470000351779
overlap,6,,1024,8192,32,1,24,16,16,1.0,0.0,0.08,0.08,1.0,16.0,1.0,16.0,cross_cov,0.21543776283797492,0.21547792508522637,0.21543776283797492,0.20755780617828076,5.171470202045434,5.170506308111398,-0.0009638939340357311,16,16,16,16,0,16,16,16,1.0,1.0,0.018846852910447992,0.018846852910453883,2.2613356570057968,2.2613356570057968,-1.0365907856154324,,1.0,0,1.1169740592566082,15.311627599310622,234.44593973997075,1.2247448713903644,14.664786314736777,215.05595765689105,1.2247448713903644,1.2476310490521825,1.4999999999970002,1.1169740592566082,1.247631049052185,1.2247448713903644,1.4999999999970002,1.1169740592566082,1.247631049052185,1.2247448713903644,1.4999999999970002,0.005321615082931103,0.006974928834057974,793.7275032133323,759.2862269139348,-1.0001844538124582,-0.9716084093561883,1.0,0.0,3.3855459561111325,3.530644931610454,0.004856667074891892,254.0479429090493,0.00639999999999958,157.2500000000106,8.075019193995862e-30,0.0008984553586506225,754.4576976489836,764.965776588565,1.0703077480896506e-32,1.174503992397368e-06,-1.2600484407737879e-06,0.9998136131706504,0.007879956659694154,0.41810464044760154,0.2050924456358093,3.7350124228591186e-05,0.001981769816215523,0.006463297292514218,0.20505509551158072,0.006462120238156836,0.2050924456358093,0.2050550955115805,3.735012422881323e-05,0.006463297292514218,0.04185550002148375
overlap,7,,1024,8192,32,1,24,16,16,1.0,0.0,0.08,0.08,1.0,16.0,1.0,16.0,cross_cov,0.21274233874147472,0.21277551835850325,0.21274233874147472,0.20612860157140858,5.106612440604079,5.105816129795393,-0.0007963108086856963,16,16,16,16,0,16,16,16,1.0,1.0,0.019024902716956123,0.01902490271697363,1.8948650377325948,1.8948650377325948,-0.6701201663422309,,1.0,0,1.1479439073774915,15.323038570576381,234.79551103537148,1.224744871390364,14.664786314736777,215.05595765689105,1.224744871390364,1.317775214485104,1.499999999996999,1.1479439073774915,1.317775214485103,1.224744871390364,1.499999999996999,1.1479439073774915,1.317775214485103,1.224744871390364,1.499999999996999,0.005612437855707483,0.006974928834057969,793.8475941296085,759.2862269139349,-1.048415122623175,-0.9716084093561883,1.0,0.0,3.381016913947801,3.5306449316104547,0.004902869617625807,250.5122601251783,0.006399999999999628,157.2500000000093,8.844818733663511e-30,0.0007777625110546441,754.4576976489818,766.3609847648854,1.172341240764786e-32,1.014877487915511e-06,-1.0390805697526464e-06,0.9998440628072041,0.006613737170066136,0.34763579443512715,0.20209000486992887,-2.162469370625697e-05,0.0,0.006436491004273958,0.20211162956363513,0.006437179742673465,0.20209000486992887,0.20211162956363501,-2.1624693706145948e-05,0.006436491004273958,0.043205699999816716
overlap,8,,1024,8192,32,1,24,16,16,1.0,0.0,0.08,0.08,1.0,16.0,1.0,16.0,cross_cov,0.21436794379140578,0.21440177339727517,0.21436794379140578,0.20810291803398828,5.145642561534605,5.14483065099374,-0.0008119105408654903,16,16,16,16,0,16,16,16,1.0,1.0,0.020280698564046552,0.02028069856404108,1.8105047755224262,1.8105047755224262,-0.585759904132062,,1.0,0,1.2532111043890715,13.834663742647834,191.39792087213456,1.2247448713903641,14.664786314736785,215.0559576568913,1.2247448713903641,1.5705380721640763,1.4999999999969995,1.2532111043890715,1.5705380721640763,1.2247448713903641,1.4999999999969995,1.2532111043890715,1.5705380721640763,1.2247448713903641,1.4999999999969995,0.008205617203194652,0.0069749288340579625,750.3691580758082,759.2862269139353,-0.9890685645199966,-0.9716084093561888,1.0,0.0,3.920466610382358,3.530644931610452,0.004915336804489999,249.76629977047244,0.006399999999999678,157.2500000000081,5.382035967402419e-30,0.0007754326661139829,754.4576976489845,746.2051463141743,7.133648426112871e-33,1.03916820990069e-06,-1.0880527223322741e-06,0.9998422139643094,0.006265025757417497,0.30891567850260204,0.20426488256510505,3.863867938982968e-05,0.0019051946986845128,0.006417503538911486,0.20422624388571523,0.006416289606009221,0.20426488256510505,0.20422624388571514,3.8638679389912944e-05,0.006417503538911486,0.04034380000666715
overlap,9,,1024,8192,32,1,24,16,16,1.0,0.0,0.08,0.08,1.0,16.0,1.0,16.0,cross_cov,0.21783394182275384,0.2178678236741476,0.21783394182275384,0.2104608711347785,5.228827768179542,5.228014603746093,-0.0008131644334490318,16,16,16,16,0,16,16,16,1.0,1.0,0.019262812936567553,0.019262812936590608,2.801633822378863,2.801633822378863,-1.576888950988498,,1.0,0,1.1962922505764948,15.92042818733655,253.4600336681401,1.224744871390365,14.664786314736777,215.05595765689105,1.224744871390365,1.4311151487893803,1.4999999999970017,1.1962922505764948,1.431115148789375,1.224744871390365,1.4999999999970017,1.1962922505764948,1.431115148789375,1.224744871390365,1.4999999999970017,0.00564631483740415,0.0069749288340579816,813.997290717808,759.2862269139353,-1.0312581109032344,-0.9716084093561883,1.0,0.0,3.211541002884856,3.530644931610456,0.004993061754548906,257.6754510924231,0.006399999999999715,157.2500000000073,5.4546019561781445e-30,0.0007697530435371721,754.4576976489808,772.1838008593027,7.229831404962289e-33,9.968521000836517e-07,-1.0530710855940322e-06,0.999844484372119,0.007373070687975353,0.38276189008563033,0.20780780590509734,4.184227564155152e-05,0.0021721788909692505,0.006576226724231267,0.2077659636294558,0.0065749025954764395,0.20780780590509734,0.20776596362945524,4.184227564210663e-05,0.006576226724231267,0.04115599999204278
