experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec
post_saturation,0,,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,1.0,16.0,1.0,12.0,whitened_raw,0.079043346378395,0.079043346378395,0.079043346378395,0.07853476583872925,0.94852015654074,0.94852015654074,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.03692225663675039,0.13158029345035313,0.05026223157829271,0.05026223157829271,0.0869366365357144,0.5781478739132553,0.5781478739132553,1,0.13885550598846838,0.9541353702995891,0.910374304856734,0.1371988681140071,0.9701425001453321,0.9411764705882357,0.1371988681140071,0.019280851543313573,0.018823529411764718,0.13885550598846838,0.01928085154331358,0.1371988681140071,0.018823529411764718,0.13885550598846838,0.01928085154331358,0.1371988681140071,0.018823529411764718,0.021179037501885354,0.020000000000000004,3.0727996801511623,3.1007908556393993,-0.6522159698106809,-0.6633866684197682,1.0,0.0,3.3753145972575864,3.29459028411686,0.056075627871376835,20.636614915407197,0.062499999999999375,17.00000000000018,0.0,0.0,3.100790855639402,3.072799650422248,0.0,0.0,0.0,1.0,0.0005085805396657511,0.0038651725598837098,0.6538909349345738,0.00023490202176623676,0.001785237102050302,0.05892017445137211,0.6536560329128076,0.058899008126283306,0.655352078379236,0.6536560329128077,0.0016960454664283198,0.059051833757318276,0.04513750001206063
post_saturation,1,,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,1.0,16.0,1.0,12.0,whitened_raw,0.07912341994436739,0.07912341994436739,0.07912341994436739,0.0784895421709082,0.9494810393324089,0.9494810393324088,-1.1102230246251565e-16,12,12,12,12,0,12,12,12,1.0,1.0,0.0401721970473052,0.14340783839897317,0.05272252259032234,0.05272252259032234,0.08447634552368466,0.6241098885550217,0.6241098885550217,1,0.14078893366328257,0.9622449738781658,0.925915389753792,0.137198868114007,0.9701425001453321,0.9411764705882357,0.137198868114007,0.01982152384204412,0.018823529411764687,0.14078893366328257,0.01982152384204418,0.137198868114007,0.018823529411764687,0.14078893366328257,0.01982152384204418,0.137198868114007,0.018823529411764687,0.021407489346639847,0.01999999999999997,3.065908038364385,3.1007908556393997,-0.6562993489948457,-0.6633866684197687,1.0,0.0,3.311218360005479,3.2945902841168606,0.056213289109280994,20.122165472263635,0.06249999999999956,17.000000000000135,0.0,0.0,3.1007908556394015,3.065908008298544,0.0,0.0,-3.621188312304536e-17,1.0,0.0006338777734591905,0.004420105487509595,0.6518050183866008,0.0002869570440888758,0.00200098577101857,0.0591433791996872,0.6515180613425119,0.059117341337452604,0.6554772721525898,0.651518061342512,0.003959210810077773,0.05947659157282445,0.042915500001981854
post_saturation,2,,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,1.0,16.0,1.0,12.0,whitened_raw,0.07911127161885512,0.07911127161885513,0.07911127161885512,0.07862647842975168,0.9493352594262614,0.9493352594262614,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.03418743398686868,0.1272813079745608,0.04616955460709584,0.04616955460709584,0.09102931350691129,0.5071943622159742,0.5071943622159742,1,0.136573939475706,0.9461510603691379,0.895201829037644,0.13719886811400714,0.9701425001453318,0.9411764705882351,0.13719886811400714,0.01865244094391373,0.018823529411764725,0.136573939475706,0.018652440943913808,0.13719886811400714,0.018823529411764725,0.136573939475706,0.018652440943913808,0.13719886811400714,0.018823529411764725,0.020836017464313576,0.020000000000000025,3.0580526590970285,3.1007908556394006,-0.6498756672752193,-0.6633866684197678,1.0,0.0,3.416048269678451,3.294590284116864,0.05529966008144083,20.845680120993535,0.06249999999999968,17.0000000000001,0.0,0.0,3.100790855639399,3.0580526292987615,0.0,0.0,0.0,0.9999999999999998,0.0004847931891034385,0.0038088325522262242,0.6535003264535634,0.00039252269041822885,0.00308389893743613,0.05852077589301808,0.6531078037631451,0.058485625593210966,0.6554778372096326,0.653107803763145,0.0023700334464875628,0.0586978614415594,0.04062310000881553
post_saturation,3,,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,1.0,16.0,1.0,12.0,whitened_raw,0.07920371368257811,0.07920371368257811,0.07920371368257811,0.07855692063993291,0.9504445641909374,0.9504445641909374,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.0422081519579855,0.13229667473433895,0.046203340552354366,0.046203340552354366,0.09099552756165274,0.5077539719856005,0.5077539719856005,1,0.12860621398922756,0.9695969019891796,0.9401181523470147,0.1371988681140071,0.9701425001453321,0.9411764705882357,0.1371988681140071,0.01653955827664298,0.018823529411764718,0.12860621398922756,0.01653955827664299,0.1371988681140071,0.018823529411764718,0.12860621398922756,0.01653955827664299,0.1371988681140071,0.018823529411764718,0.017593063420115664,0.020000000000000004,3.084212865655313,3.100790855639399,-0.6755913457879299,-0.6633866684197676,1.0,0.0,3.2806651567736926,3.2945902841168597,0.05561313344234043,20.316336402588092,0.06249999999999963,17.00000000000011,0.0,0.0,3.1007908556393935,3.0842128357307637,0.0,0.0,0.0,1.0,0.0006467930426451995,0.00488895918165748,0.6484221307483828,0.00029300621278272043,0.0022147662696065306,0.05876656980787643,0.6481291245356001,0.05874001462223253,0.6511992121454553,0.6481291245356001,0.0030700876098551655,0.05901825700367719,0.037635200016666204
post_saturation,4,,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,1.0,16.0,1.0,12.0,whitened_raw,0.07882677320774391,0.0788267732077439,0.07882677320774391,0.07829086590098032,0.9459212784929268,0.9459212784929268,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.035732228571789,0.11551314485590765,0.0389644974712403,0.0389644974712403,0.09823437064276676,0.39664831378557164,0.39664831378557164,1,0.13815235601187478,0.9674175899442669,0.9358967933335737,0.13719886811400706,0.9701425001453319,0.9411764705882353,0.13719886811400706,0.019086073471631843,0.0188235294117647,0.13815235601187478,0.019086073471631795,0.13719886811400706,0.0188235294117647,0.13815235601187478,0.019086073471631795,0.13719886811400706,0.0188235294117647,0.020393352779475876,0.019999999999999993,3.0815207411519405,3.1007908556394006,-0.6596085825180886,-0.6633866684197682,1.0,0.0,3.2925860662219626,3.2945902841168633,0.05509336852231338,20.67695981278447,0.06249999999999963,17.000000000000114,0.0,0.0,3.100790855639404,3.0815207114617498,0.0,0.0,0.0,1.0000000000000002,0.0005359073067635889,0.004639362104045262,0.6415198842559241,0.00019702155779988129,0.0017056202395463141,0.057900472825479776,0.6413228626981242,0.05788269061539807,0.642974953667453,0.6413228626981241,0.0016520909693289454,0.05803180033221659,0.041150299977744
post_saturation,5,,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,1.0,16.0,1.0,12.0,whitened_raw,0.0792549314724628,0.07925493147246278,0.0792549314724628,0.07876392803537716,0.9510591776695534,0.9510591776695534,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.04754082899509345,0.1603689010884059,0.04396431698975813,0.04396431698975813,0.09323455112424892,0.47154532798864596,0.47154532798864596,1,0.13743424515564942,0.9761635987161188,0.9528953714584039,0.13719886811400706,0.9701425001453319,0.9411764705882353,0.13719886811400706,0.01888817174150315,0.0188235294117647,0.13743424515564942,0.018888171741503146,0.13719886811400706,0.0188235294117647,0.13743424515564942,0.018888171741503146,0.13719886811400706,0.0188235294117647,0.019821873741074896,0.019999999999999993,3.079214257187099,3.1007908556394015,-0.6649727930854743,-0.663386668419768,1.0,0.0,3.231429545590477,3.294590284116864,0.05493404364044399,20.83301023282329,0.0624999999999995,17.00000000000015,0.0,0.0,3.1007908556394006,3.079214227568273,0.0,0.0,0.0,1.0000000000000004,0.0004910034370856492,0.0030617123005349757,0.6502053884278142,0.0004543507257963597,0.0028331598128610463,0.059151107732448215,0.6497510377020178,0.059109774102785624,0.6529642071548307,0.6497510377020178,0.003213169452812914,0.059402085633647454,0.03558680001879111
post_saturation,6,,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,1.0,16.0,1.0,12.0,whitened_raw,0.0790386970084178,0.0790386970084178,0.0790386970084178,0.0785455480239864,0.9484643641010135,0.9484643641010135,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.033867903308366296,0.12416831939591139,0.04293375688663234,0.04293375688663234,0.0942651112273748,0.4554575529335851,0.4554575529335851,1,0.13290969411601428,0.9682025594189995,0.9374161960655012,0.13719886811400714,0.9701425001453323,0.9411764705882362,0.13719886811400714,0.017664986790012403,0.018823529411764725,0.13290969411601428,0.01766498679001248,0.13719886811400714,0.018823529411764725,0.13290969411601428,0.01766498679001248,0.13719886811400714,0.018823529411764725,0.018844337087577004,0.02,3.099373252899177,3.1007908556394006,-0.6627925304253786,-0.6633866684197682,1.0,0.0,3.3062936888735073,3.29459028411686,0.056035137605565936,20.60644719133106,0.06249999999999944,17.000000000000163,0.0,0.0,3.100790855639399,3.0993732229915643,0.0,0.0,0.0,1.0,0.0004931489844313963,0.003971616808785081,0.6564991295506197,0.00012070246180440058,0.0009720874244865963,0.059258800821824845,0.6563784270888153,0.059247905631228524,0.6582003033683025,0.6563784270888154,0.0018218762794870447,0.0594123570352114,0.04659630000242032
post_saturation,7,,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,1.0,16.0,1.0,12.0,whitened_raw,0.07883382761741407,0.07883382761741407,0.07883382761741407,0.07837761863485877,0.9460059314089689,0.9460059314089688,-1.1102230246251565e-16,12,12,12,12,0,12,12,12,1.0,1.0,0.03964761431120746,0.11949674692086341,0.04401095922549328,0.04401095922549328,0.09318790888851375,0.47228186307030684,0.47228186307030684,1,0.1418085983677532,0.9746074059887557,0.9498595958081313,0.13719886811400703,0.9701425001453319,0.9411764705882353,0.13719886811400703,0.020109678571026763,0.018823529411764694,0.1418085983677532,0.020109678571026735,0.13719886811400703,0.018823529411764694,0.1418085983677532,0.020109678571026735,0.13719886811400703,0.018823529411764694,0.021171211681993502,0.019999999999999987,3.0914490887675385,3.1007908556394006,-0.656510746297863,-0.6633866684197678,1.0,0.0,3.2546379511356767,3.2945902841168633,0.054832884376603504,21.02604523723581,0.06249999999999947,17.00000000000016,0.0,0.0,3.1007908556394033,3.091449059130103,0.0,0.0,-3.591270641663299e-17,1.0,0.0004562089825553006,0.003817752318039457,0.6502960837818631,0.0003288073162679428,0.0027516005643709704,0.05913152344199403,0.6499672764655952,0.05910162494188816,0.6518144107243332,0.6499672764655952,0.001847134258738059,0.05926958514562471,0.03496300001279451
post_saturation,8,,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,1.0,16.0,1.0,12.0,whitened_raw,0.07945342682087904,0.07945342682087905,0.07945342682087904,0.07888768704808784,0.9534411218505487,0.9534411218505485,-2.220446049250313e-16,12,12,12,12,0,12,12,12,1.0,1.0,0.040228417940291486,0.1319662042102132,0.04583773958643935,0.04583773958643935,0.09136112852756773,0.5017203741371042,0.5017203741371042,1,0.13771939401259603,0.9750707154345702,0.9507629000980846,0.13719886811400708,0.9701425001453317,0.9411764705882348,0.13719886811400708,0.01896663148719664,0.01882352941176471,0.13771939401259603,0.018966631487196673,0.13719886811400708,0.01882352941176471,0.13771939401259603,0.018966631487196673,0.13719886811400708,0.01882352941176471,0.019948855266901978,0.020000000000000014,3.1286063743425023,3.1007908556393984,-0.6679469194309915,-0.6633866684197678,1.0,0.0,3.2906273204599614,3.2945902841168624,0.05495579058132813,20.604194064490535,0.06249999999999964,17.000000000000117,0.0,0.0,3.100790855639407,3.1286063442575176,0.0,0.0,-7.097236932111606e-17,0.9999999999999998,0.0005657397727912017,0.004287004965983689,0.6526326372663753,0.00014114879690085846,0.0010695829113643218,0.05911067392352959,0.6524914884694745,0.05909788970154638,0.65476771691646,0.6524914884694746,0.0022762284469853844,0.05930405376663021,0.036329499998828396
post_saturation,9,,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,1.0,16.0,1.0,12.0,whitened_raw,0.07846227713616843,0.07846227713616842,0.07846227713616843,0.07791240076687868,0.9415473256340212,0.9415473256340212,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.03760270465269772,0.12440303503335909,0.043688411256119206,0.043688411256119206,0.0935104568578879,0.46720348423187014,0.46720348423187014,1,0.13484744002647037,0.9789364576519046,0.9583165881200593,0.1371988681140071,0.9701425001453314,0.9411764705882344,0.1371988681140071,0.018183832081692514,0.018823529411764718,0.13484744002647037,0.01818383208169252,0.1371988681140071,0.018823529411764718,0.13484744002647037,0.01818383208169252,0.1371988681140071,0.018823529411764718,0.01897476502766581,0.02000000000000003,3.12895504124732,3.1007908556393984,-0.678575706567252,-0.6633866684197678,1.0,0.0,3.26505361593023,3.2945902841168637,0.056171464413841674,20.6461423036931,0.06249999999999954,17.00000000000014,0.0,0.0,3.1007908556393953,3.12895501142863,0.0,0.0,0.0,1.0000000000000002,0.0005498763692897563,0.004420120209625955,0.6569964090269723,0.00018966415742305287,0.0015245942944414,0.05916694671353174,0.6568067448695493,0.059149866180150536,0.6592679982211654,0.6568067448695495,0.002461253351615955,0.05937151860305989,0.034741400013444945
