experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec
predictive_isotropy,0,,512,8192,32,1,16,16,16,1.0,0.0,0.25,0.25,1.0,16.0,1.0,16.0,whitened_raw,0.1301157249576232,0.1301157249576232,0.1301157249576232,0.12155247456235752,2.0818515993219706,2.0818515993219706,0.0,16,16,16,16,0,16,16,16,1.0,1.0,0.08718847859990243,0.13749905602269877,0.21718420857008483,0.21718420857008483,0.7529582915752461,0.28844122045023096,0.28844122045023096,1,0.797952372977875,1.1485200300445966,1.3190982594136411,0.9701425001453309,0.970142500145332,0.9411764705882355,0.9701425001453309,0.6367279895410217,0.9411764705882333,0.797952372977875,0.6367279895410217,0.9701425001453309,0.9411764705882333,0.797952372977875,0.6367279895410217,0.9701425001453309,0.9411764705882333,0.48269943880000027,0.9999999999999977,15.266003158486093,15.05882352941175,-0.02372003571168583,1.3877787807814457e-17,1.0,0.0,11.57305989113507,15.99999999999998,0.04097451303445121,34.0573073111286,0.06249999999999922,17.000000000000234,0.0,0.0,15.058823529411757,15.266003003724713,0.0,0.0,0.0,1.0,0.008563250395265676,0.06227861225354178,0.060860682004374105,9.694265247705419e-05,0.000705042312879956,0.060490782765537945,0.06076373935189705,0.06039442931140999,0.06104585244218902,0.06076373935189705,0.00028211309029196885,0.06067482777390076,0.03544259999762289
predictive_isotropy,1,,512,8192,32,1,16,16,16,1.0,0.0,0.25,0.25,1.0,16.0,1.0,16.0,whitened_raw,0.1283624727760223,0.12836247277602225,0.1283624727760223,0.12129298640421646,2.053799564416356,2.0537995644163565,4.440892098500626e-16,16,16,16,16,0,16,16,16,1.0,1.0,0.08061914277921159,0.1203243590940083,0.20566405073476648,0.20566405073476648,0.7644784494105648,0.26902530855296114,0.26902530855296114,1,0.7924917414110658,1.1211034083830231,1.2568728522880315,0.9701425001453312,0.9701425001453323,0.9411764705882362,0.9701425001453312,0.6280431602047432,0.941176470588234,0.7924917414110658,0.6280431602047436,0.9701425001453312,0.941176470588234,0.7924917414110658,0.6280431602047436,0.9701425001453312,0.941176470588234,0.4996871076190752,0.9999999999999977,15.117460036638196,15.058823529411761,-0.020407984739450942,-9.71445146547012e-17,1.0,0.0,12.027835599375171,15.99999999999998,0.04001802234298687,34.66610547295301,0.06249999999999964,17.000000000000114,0.0,0.0,15.058823529411786,15.117459886364557,0.0,0.0,2.9375914551003125e-17,1.0000000000000004,0.00706948637180585,0.058753575959482364,0.06062425782278741,0.00012007695232190557,0.0009979438346984302,0.060584217518266814,0.0605041808704655,0.06046421987277537,0.06075141856148079,0.06050418087046546,0.00024723769101532567,0.06071129427152461,0.037117999978363514
predictive_isotropy,2,,512,8192,32,1,16,16,16,1.0,0.0,0.25,0.25,1.0,16.0,1.0,16.0,whitened_raw,0.1295698709444685,0.1295698709444685,0.1295698709444685,0.12112474467937655,2.073117935111496,2.0731179351114966,4.440892098500626e-16,16,16,16,16,0,16,16,16,1.0,1.0,0.08891634383659121,0.1442676655726793,0.21275227668026186,0.21275227668026186,0.7573902234650691,0.28090179948048144,0.28090179948048144,1,0.7998655921923569,1.1404189769406714,1.3005554429664077,0.970142500145331,0.9701425001453323,0.9411764705882362,0.970142500145331,0.6397849655732302,0.9411764705882335,0.7998655921923569,0.6397849655732297,0.970142500145331,0.9411764705882335,0.7998655921923569,0.6397849655732297,0.970142500145331,0.9411764705882335,0.49193209642332403,0.9999999999999972,15.312137756692426,15.058823529411763,-0.022272895081934987,-4.163336342344337e-17,1.0,0.0,11.773537098708621,15.999999999999982,0.04111501099264115,34.824256247892635,0.0624999999999996,17.00000000000013,0.0,0.0,15.05882352941176,15.312137602288065,0.0,0.0,2.9002430711157086e-17,1.0,0.00844512626509196,0.058537900586167486,0.06061759816068108,0.00014059277312677282,0.0009745272620076108,0.060501491843098394,0.06047700538755431,0.060361168359908235,0.060842137662108074,0.06047700538755431,0.0003651322745537658,0.060725601263897755,0.03561970000737347
predictive_isotropy,3,,512,8192,32,1,16,16,16,1.0,0.0,0.25,0.25,1.0,16.0,1.0,16.0,whitened_raw,0.12985363628680657,0.12985363628680657,0.12985363628680657,0.1222873238370517,2.0776581805889056,2.077658180588905,-4.440892098500626e-16,16,16,16,16,0,16,16,16,1.0,1.0,0.08951179410346956,0.14438898395457375,0.22161933428171796,0.22161933428171796,0.748523165863613,0.2960754514872273,0.2960754514872273,1,0.8061878385316901,1.1678732682740702,1.3639279707491585,0.970142500145331,0.9701425001453321,0.9411764705882357,0.970142500145331,0.6499388309963983,0.9411764705882335,0.8061878385316901,0.6499388309963984,0.970142500145331,0.9411764705882335,0.8061878385316901,0.6499388309963984,0.970142500145331,0.9411764705882335,0.47651990789470317,0.9999999999999977,15.481848118312257,15.058823529411754,-0.02052932898974716,5.551115123125783e-17,1.0,0.0,11.350927945123534,15.99999999999998,0.04247395461088325,34.30683781132565,0.062499999999999285,17.00000000000023,0.0,0.0,15.058823529411764,15.48184796455565,0.0,0.0,-2.8684509166267904e-17,1.0,0.007566312449754878,0.05240228334964472,0.06096762091409845,0.00012926883117198723,0.0008952818118912487,0.060941502943790436,0.06083835208292646,0.060812289490201565,0.06113385638943709,0.06083835208292649,0.00029550430651059667,0.061107667205374236,0.03458179999142885
predictive_isotropy,4,,512,8192,32,1,16,16,16,1.0,0.0,0.25,0.25,1.0,16.0,1.0,16.0,whitened_raw,0.12802539228861273,0.1280253922886128,0.12802539228861273,0.12143834636178857,2.048406276617804,2.0484062766178037,-4.440892098500626e-16,16,16,16,16,0,16,16,16,1.0,1.0,0.07819781124768724,0.12123556646688316,0.2068326270621786,0.2068326270621786,0.7633098730831529,0.27096810136457755,0.27096810136457755,1,0.7805198766306648,1.1369872198564228,1.2927399381168376,0.9701425001453314,0.9701425001453328,0.941176470588237,0.9701425001453314,0.6092112778155481,0.9411764705882344,0.7805198766306648,0.6092112778155482,0.9701425001453314,0.9411764705882344,0.7805198766306648,0.6092112778155482,0.9701425001453314,0.9411764705882344,0.4712558650450604,0.9999999999999973,15.055576728203025,15.058823529411766,-0.020080351571164695,-4.85722573273506e-17,1.0,0.0,11.646253267408765,15.999999999999973,0.044172046355505014,32.42534555761935,0.06249999999999947,17.000000000000167,0.0,0.0,15.058823529411766,15.055576576484334,0.0,0.0,-2.949665910129913e-17,0.9999999999999996,0.006587045926824159,0.05433261969888584,0.060752758478631,0.00013429404074559448,0.0011077115788647581,0.06096241118464956,0.060618464437885405,0.06082765370636221,0.06090085064667502,0.06061846443788539,0.000282386208789627,0.06111101440642263,0.03453350000199862
predictive_isotropy,5,,512,8192,32,1,16,16,16,1.0,0.0,0.25,0.25,1.0,16.0,1.0,16.0,whitened_raw,0.1287790325316079,0.12877903253160783,0.1287790325316079,0.12155299819723984,2.060464520505726,2.060464520505726,0.0,16,16,16,16,0,16,16,16,1.0,1.0,0.08431114791065628,0.12104254115703503,0.20925151677330142,0.20925151677330142,0.7608909833720295,0.2750085378143982,0.2750085378143982,1,0.7979674857600751,1.125677938558336,1.267150821356945,0.970142500145331,0.9701425001453325,0.9411764705882365,0.970142500145331,0.6367521083302553,0.9411764705882335,0.7979674857600751,0.6367521083302558,0.970142500145331,0.9411764705882335,0.7979674857600751,0.6367521083302558,0.970142500145331,0.9411764705882335,0.5025069609696354,0.9999999999999968,15.22464388590625,15.058823529411757,-0.022057223465957426,6.938893903907228e-17,1.0,0.0,12.014863289598583,15.999999999999972,0.04403380293531359,33.406926937437824,0.06249999999999963,17.00000000000013,0.0,0.0,15.058823529411761,15.224643736575441,0.0,0.0,0.0,1.0000000000000007,0.007226034334368067,0.05969830330142642,0.0605641349956942,0.00011052524234278494,0.0009131107236041465,0.060454931536167385,0.060453609753351414,0.060344605582377635,0.06067560677152521,0.06045360975335142,0.00022199701817379042,0.06056620231674665,0.034786000003805384
predictive_isotropy,6,,512,8192,32,1,16,16,16,1.0,0.0,0.25,0.25,1.0,16.0,1.0,16.0,whitened_raw,0.1287550135817265,0.12875501358172647,0.1287550135817265,0.12184783036953911,2.060080217307624,2.060080217307624,0.0,16,16,16,16,0,16,16,16,1.0,1.0,0.08290408242512756,0.1293035795690289,0.1842668258985005,0.1842668258985005,0.7858756742468308,0.23447325313268988,0.23447325313268988,1,0.814041349910223,1.1071295819649114,1.2257359112617994,0.9701425001453313,0.9701425001453328,0.941176470588237,0.9701425001453313,0.6626633193636583,0.9411764705882342,0.814041349910223,0.6626633193636582,0.9701425001453313,0.9411764705882342,0.814041349910223,0.6626633193636582,0.9701425001453313,0.9411764705882342,0.5406248713733924,0.999999999999997,15.306031619938537,15.058823529411768,-0.016422563197779058,-5.551115123125783e-17,1.0,0.0,12.487218069822376,15.999999999999975,0.04257617223429969,32.87280523738047,0.06249999999999965,17.00000000000012,0.0,0.0,15.058823529411784,15.306031468600573,0.0,0.0,0.0,1.0000000000000002,0.00690718321218739,0.053418344915192234,0.060650507979122706,0.00012298359637330503,0.0009511229061346291,0.06060822951558775,0.0605275243827494,0.06048533164904043,0.060807981221672316,0.0605275243827494,0.0002804568389229156,0.06076559298615087,0.03532399999676272
predictive_isotropy,7,,512,8192,32,1,16,16,16,1.0,0.0,0.25,0.25,1.0,16.0,1.0,16.0,whitened_raw,0.12888487973977375,0.12888487973977372,0.12888487973977375,0.12088750624573152,2.062158075836379,2.0621580758363796,4.440892098500626e-16,16,16,16,16,0,16,16,16,1.0,1.0,0.09606589217463808,0.14458456935040734,0.23117372237727957,0.23117372237727957,0.7389687777680518,0.31283286835948104,0.31283286835948104,1,0.7760877030440038,1.1170359323580403,1.2477692741789965,0.9701425001453313,0.9701425001453323,0.9411764705882362,0.9701425001453313,0.6023121228161177,0.9411764705882342,0.7760877030440038,0.6023121228161178,0.9701425001453313,0.9411764705882342,0.7760877030440038,0.6023121228161178,0.9701425001453313,0.9411764705882342,0.48271113520760905,0.9999999999999979,14.89198650486358,15.058823529411761,-0.022387619765779215,1.3877787807814457e-17,1.0,0.0,11.93488797411057,15.99999999999998,0.044772196373549074,31.506224115337734,0.06249999999999945,17.000000000000167,0.0,0.0,15.058823529411772,14.891986353029678,0.0,0.0,2.982068337443215e-17,1.0000000000000002,0.007997373494042226,0.055312773209291954,0.060488493128872514,0.00017071403611788882,0.0011807209917688763,0.060588627188304656,0.060317779092754625,0.060417630548197904,0.06068050942152911,0.060317779092754625,0.0003627303287744854,0.06078096134920141,0.030003699997905642
predictive_isotropy,8,,512,8192,32,1,16,16,16,1.0,0.0,0.25,0.25,1.0,16.0,1.0,16.0,whitened_raw,0.1280300685362056,0.1280300685362056,0.1280300685362056,0.12093324829170507,2.0484810965792897,2.0484810965792897,0.0,16,16,16,16,0,16,16,16,1.0,1.0,0.09126602397121189,0.13612804747598903,0.20914723338237468,0.20914723338237468,0.7609952667629567,0.2748338163416228,0.2748338163416228,1,0.7923763414507382,1.1465808606586245,1.3146476700286722,0.9701425001453314,0.9701425001453323,0.9411764705882362,0.9701425001453314,0.6278602664908562,0.9411764705882344,0.7923763414507382,0.6278602664908569,0.9701425001453314,0.9411764705882344,0.7923763414507382,0.6278602664908569,0.9701425001453314,0.9411764705882344,0.4775882396514371,0.9999999999999981,14.953833062508052,15.058823529411763,-0.02313465416007747,0.0,1.0,0.0,11.374783832524429,15.999999999999982,0.04611632650246252,31.227935353415717,0.06249999999999954,17.000000000000146,0.0,0.0,15.05882352941175,14.95383291035704,0.0,0.0,0.0,1.0,0.007096820244500535,0.05213341685336601,0.06053620316163415,0.00010665431247404433,0.0007834852144842273,0.06038310710927897,0.0604295488491601,0.060276722525551586,0.060717849548989754,0.0604295488491601,0.00028830069982965084,0.06056429411293728,0.03408589999889955
predictive_isotropy,9,,512,8192,32,1,16,16,16,1.0,0.0,0.25,0.25,1.0,16.0,1.0,16.0,whitened_raw,0.13057349372028207,0.13057349372028215,0.13057349372028207,0.1220530189111747,2.0891758995245144,2.089175899524513,-1.3322676295501878e-15,16,16,16,16,0,16,16,16,1.0,1.0,0.08916095873571685,0.15820466450809628,0.22728449433414888,0.22728449433414888,0.7428580058111822,0.30595954079536364,0.30595954079536364,1,0.8211406423528378,1.1756222167349843,1.3820875964808785,0.9701425001453311,0.9701425001453321,0.9411764705882357,0.9701425001453311,0.6742719545236305,0.9411764705882337,0.8211406423528378,0.6742719545236311,0.9701425001453311,0.9411764705882337,0.8211406423528378,0.6742719545236311,0.9701425001453311,0.9411764705882337,0.4878648475252124,0.9999999999999979,15.520101659705787,15.058823529411754,-0.022728121895767936,5.551115123125783e-17,1.0,0.0,11.229463095699312,15.99999999999998,0.041923762383787276,35.69715746250452,0.06249999999999955,17.000000000000163,0.0,0.0,15.058823529411764,15.520101505115509,0.0,0.0,-8.584142501330067e-17,0.9999999999999993,0.008520474809107365,0.05385729198061237,0.06110654403334337,9.843299797304694e-05,0.0006221877103251246,0.06101418103636529,0.06100811103537032,0.0609158968206027,0.06134040299274406,0.061008111035370315,0.00033229195737374817,0.06124768651620497,0.03136259998427704
