K,lambda_top_mean,lambda_top_sem,oracle_lambda_top_mean,oracle_lambda_top_sem,lambda_at_bottleneck_rank_mean,lambda_at_bottleneck_rank_sem,oracle_lambda_at_bottleneck_rank_mean,oracle_lambda_at_bottleneck_rank_sem,relative_conditioning_mean,relative_conditioning_sem,oracle_relative_conditioning_mean,oracle_relative_conditioning_sem,theorem_subspace_error_mean,theorem_subspace_error_sem,per_target_excess_mse_mean,per_target_excess_mse_sem,test_mse_mean,test_mse_sem,oracle_test_mse_mean,oracle_test_mse_sem,oracle_effdim_mean,oracle_effdim_sem,empirical_effdim_mean,empirical_effdim_sem,per_target_risk_stability_ratio_mean,per_target_risk_stability_ratio_sem,calibrated_excess_risk_rhs_mean,calibrated_excess_risk_rhs_sem,calibrated_total_risk_rhs_mean,calibrated_total_risk_rhs_sem,risk_stability_bound_mean,risk_stability_bound_sem,delta,calibrated_c,empirical_l,concentration_coverage
12,0.9356757120878939,0.006354618164716956,0.9411764705882353,1.5525489755587898e-16,0.01871937487489773,0.00033068363040863926,0.01882352941176468,1.338725068623257e-17,0.0200170003317643,0.0003916915730496115,0.01999999999999996,1.641634694684497e-17,0.13104824660628864,0.004076495192142725,0.00053659293977899,2.0146719700980977e-05,0.07903516848872813,8.676109339300118e-05,0.07849857554894908,8.475818530385815e-05,3.2945902841168624,6.262900065610383e-16,3.3023874571927023,0.017557990966722253,0.00411806384882908,0.00016546668433378315,0.004878585069868912,2.230167529315348e-18,0.08337716061881799,8.475818530385782e-05,0.0009098360156041225,2.8302111926696445e-05,0.1,1.4850720331462262,0.0069427561159026,0.9
16,0.9351595061955942,0.006148231730475892,0.9411764705882353,1.5525489755587898e-16,0.0786315703339558,0.0009500604958263589,0.07807434173090937,2.2897181689138385e-17,0.08409614869624985,0.000976257206725871,0.08295398808909119,3.577252370098169e-17,0.077268646930989,0.000840127680625086,0.00042690105695248996,1.991902471906658e-05,0.07638955896418131,7.243295337990418e-05,0.0759626579072288,6.983286200286983e-05,3.694590284116862,5.316720396110707e-16,3.719447061792619,0.017402711702079545,0.00551803247879005,0.0002290437178680307,0.0024795859242863426,4.548483326832392e-19,0.07844224383151513,6.98328620028691e-05,0.0005364573710476425,5.832801592798882e-06,0.1,1.4850720331462262,0.0069427561159026,0.9
20,0.9361773171886261,0.008223739657294275,0.9411764705882353,1.5525489755587898e-16,0.12872572583729536,0.000967764070603402,0.13245346148705675,5.075890346686023e-17,0.13762042992374765,0.0018049297676552894,0.1407318028299978,6.652337204148465e-17,0.06432156101906454,0.0015813067593153979,0.00037878612428224003,1.0190297809937383e-05,0.07483263937846178,9.469291360805433e-05,0.07445385325417953,9.483419472095627e-05,4.094590284116862,9.173067274558416e-16,4.115851727026869,0.025406431185489173,0.0059164292216368,0.00019777167770152637,0.0019661761584811757,4.360835514742114e-19,0.0764200294126607,9.483419472095627e-05,0.0004465689111495126,1.0978627174355099e-05,0.1,1.4850720331462262,0.0069427561159026,0.9
24,0.9332124247318511,0.005951271236632373,0.9411764705882353,1.5525489755587898e-16,0.19803504920072895,0.000918982264084408,0.2055368762957564,8.264763478825874e-17,0.21228646595524509,0.0016949927996884795,0.21838293106424117,8.519751151400755e-17,0.06168804706484125,0.0014046442323040814,0.0003552698899666,7.193930617172774e-06,0.07376027492960636,8.013897339189587e-05,0.0734050050396397,8.270376798596394e-05,4.494590284116862,7.251946429389431e-16,4.530981697948528,0.022941630328264892,0.00578952930328816,0.000185028767764058,0.0016269691390314509,2.440458572515882e-19,0.07503197417867115,8.270376798596613e-05,0.00042828506603751404,9.752102334496474e-06,0.1,1.4850720331462262,0.0069427561159026,0.9
32,0.9341892750051622,0.006544038298006611,0.9411764705882353,2.5181376741129447e-16,0.28657534867688805,0.0016584338998774954,0.2996545233545799,1.1331166295920984e-16,0.30685597536012876,0.0022061643680465854,0.3183829310642412,1.1117639317159552e-16,0.0542324622049153,0.0013597049660343922,0.00030844809215976995,9.582690934837213e-06,0.0725622088332861,6.549473386284086e-05,0.07225376074112626,6.248460790401527e-05,5.294590284116863,1.213482738407331e-15,5.32866230321042,0.033701092257983234,0.005697240707802731,0.00015313045217187215,0.0014245431555825576,2.2395183775777384e-19,0.07367830389670882,6.248460790401577e-05,0.0003765227586536323,9.440099968758412e-06,0.1,1.4850720331462262,0.0069427561159026,0.9
40,0.937681103703205,0.007989376329115297,0.9411764705882355,2.764433037591714e-16,0.3536458411753248,0.0026643079947981114,0.3604272829073799,6.052723964180597e-17,0.3773552241696039,0.0038927795148035443,0.38295398808909104,1.5336891597533524e-16,0.05255241942151263,0.0012545352943966134,0.00029186616813544,6.455933906755514e-06,0.07167490279609806,5.9529025071791206e-05,0.0713830366279626,5.9431697855986486e-05,6.094590284116861,1.6642650898948352e-15,6.115132586956258,0.0430586723626374,0.005573039552063929,0.00014592615533024007,0.0013655818509578418,1.856910542382708e-19,0.07274861847892042,5.9431697855986486e-05,0.0003648586313441854,8.709932587787757e-06,0.1,1.4850720331462262,0.0069427561159026,0.9
48,0.9387580304893985,0.007062223626531868,0.9411764705882355,3.09183768575811e-16,0.4208535737306919,0.00231280347675752,0.4413583758497347,9.008099040503248e-17,0.44847778725729415,0.00339349886472408,0.46894327434034294,1.653988056152174e-16,0.04848131849879108,0.0007594522144379808,0.00026898215765664,5.710199520084773e-06,0.0711632246454805,5.002516244682032e-05,0.07089424248782379,5.182742147739392e-05,6.894590284116862,1.7237679879648763e-15,6.921512226702511,0.04855133395877639,0.00556035597090382,0.0001456760635985563,0.0012914913475844745,1.4635613851714785e-19,0.07218573383540827,5.182742147739355e-05,0.0003365939705145036,5.272691506525064e-06,0.1,1.4850720331462262,0.0069427561159026,0.9
64,0.9411156104235809,0.006905897479884479,0.9411764705882353,2.0967250860301e-16,0.5674027330832598,0.0025908270949382547,0.6030416967811745,1.9336163007959345e-16,0.6032182426481887,0.0055094853897733045,0.6407318028299979,2.671208799726945e-16,0.047751808613399324,0.000914362799291961,0.00024745755514659,5.205463095492684e-06,0.07048055556228981,3.881618130095207e-05,0.07023309800714317,4.009485177998967e-05,8.494590284116864,1.6852000649168164e-15,8.501129687071076,0.05660409780539411,0.00519281526318371,0.00012295822758171012,0.0011971301262556193,1.814217236800049e-19,0.07143022813339879,4.009485177998967e-05,0.0003315291612960886,6.348197916938083e-06,0.1,1.4850720331462262,0.0069427561159026,0.9
80,0.947978154257559,0.005820293537792949,0.9411764705882353,2.369631985977782e-16,0.696425409964792,0.0021762470328204105,0.736897871142674,1.2604277892459475e-16,0.7348470844969061,0.0042808021835653715,0.7829539880890912,2.6788883808809444e-16,0.04261170307343213,0.0008097509788725962,0.00022995244101822,5.944463801253496e-06,0.07011593992305706,4.093402361487198e-05,0.06988598748203878,3.865200144988431e-05,10.094590284116865,2.5945352296482633e-15,10.021008142916347,0.05863864802056495,0.0053968858000224395,9.951611492810791e-05,0.0011604265987448924,1.09618267068369e-19,0.07104641408078367,3.865200144988655e-05,0.0002958426621220965,5.621903560925834e-06,0.1,1.4850720331462262,0.0069427561159026,0.9
96,1.0141970221164431,0.005114694722426986,0.9600000000000002,2.563950248511419e-16,0.8202623322774685,0.0036257879002977167,0.8739217223010225,2.8474088363700387e-16,0.8089252800086385,0.004728676783023115,0.9103351273968983,3.9112498693491647e-16,0.043437814927068094,0.001085049511867086,0.000229737480553,4.755737645158243e-06,0.06981814035605378,2.4001713508504246e-05,0.06958840287550074,2.5056017704430324e-05,11.465284592271434,3.076740298213702e-15,10.856953534906268,0.04573390123178526,0.00531672626937101,0.00016511987642778395,0.0011341151328608673,1.5502363997192345e-19,0.0707225180083616,2.505601770442982e-05,0.00030157815524634724,7.533234134572342e-06,0.1,1.4850720331462262,0.0069427561159026,0.9
