K,lambda_top_mean,lambda_top_sem,oracle_lambda_top_mean,oracle_lambda_top_sem,lambda_at_bottleneck_rank_mean,lambda_at_bottleneck_rank_sem,oracle_lambda_at_bottleneck_rank_mean,oracle_lambda_at_bottleneck_rank_sem,relative_conditioning_mean,relative_conditioning_sem,oracle_relative_conditioning_mean,oracle_relative_conditioning_sem,theorem_subspace_error_mean,theorem_subspace_error_sem,per_target_excess_mse_mean,per_target_excess_mse_sem,test_mse_mean,test_mse_sem,oracle_test_mse_mean,oracle_test_mse_sem,oracle_effdim_mean,oracle_effdim_sem,empirical_effdim_mean,empirical_effdim_sem,per_target_risk_stability_ratio_mean,per_target_risk_stability_ratio_sem,calibrated_excess_risk_rhs_mean,calibrated_excess_risk_rhs_sem,calibrated_total_risk_rhs_mean,calibrated_total_risk_rhs_sem,risk_stability_bound_mean,risk_stability_bound_sem,delta,calibrated_c,empirical_l,concentration_coverage
12,0.8814821352708788,0.007073897314773287,0.8908685968819599,1.3394441904404722e-16,0.018742375572548202,0.0005145824613822228,0.017817371937639152,1.6610725858928528e-17,0.02125689313886,0.0005420863676838805,0.019999999999999952,1.6610725858928528e-17,0.2115720865171457,0.007784802499746909,0.0011807521434409201,3.2322198819549806e-05,0.15356460909066727,0.0001794445006952834,0.15238385694722628,0.00018553726430783982,3.2945902841168624,4.634063752728243e-16,3.3258997538454045,0.022312563056747278,0.00565194293292623,0.0002628152599067881,0.010050028197761837,4.380916214259172e-18,0.16243388514498813,0.00018553726430783427,0.002141328786851338,7.879026939269418e-05,0.1,1.8994278985763824,0.0101210363904872,0.9
16,0.8802749581143864,0.008234500188775692,0.8908685968819599,1.3394441904404722e-16,0.07403489450862193,0.0007961770493470306,0.07390110297469152,3.624792692698689e-17,0.08419755517857054,0.0014063528811480335,0.08295398808909124,2.9293493924974794e-17,0.12122772607209242,0.001994512134856887,0.0010624954443329,2.5985458674586037e-05,0.14870824028787996,0.00013877202830978806,0.14764574484354703,0.00012593807246818082,3.6945902841168623,6.031190002964403e-16,3.7468410511032992,0.02995451900947277,0.00878546993968774,0.0002568119232604371,0.005108019661635352,8.864269108522072e-19,0.15275376450518235,0.00012593807246818082,0.0012269502271116614,2.0186529898154865e-05,0.1,1.8994278985763824,0.0101210363904872,0.9
20,0.8827910566640238,0.006478518640751457,0.8908685968819599,1.3394441904404722e-16,0.12331457599238518,0.001397846940267914,0.12537354372382886,1.20629476874128e-17,0.13976857810482493,0.0019774969894809464,0.14073180282999792,2.851614316424119e-17,0.10220780660291803,0.0030266451776087624,0.0008649329237314599,2.269154731764803e-05,0.14549989096559357,0.00010111746082636653,0.14463495804186208,9.520228101441245e-05,4.094590284116863,6.751194714969805e-16,4.147391800520053,0.03098837446139472,0.00850471322272192,0.00026943079228902304,0.004050380499982509,3.29648179441885e-19,0.1486853385418446,9.520228101441245e-05,0.0010344489300200114,3.0632785983670876e-05,0.1,1.8994278985763824,0.0101210363904872,0.9
24,0.8864347226958775,0.007612658231448118,0.8908685968819599,1.3394441904404722e-16,0.18526415056877463,0.0015759839728469998,0.19455049538017027,6.804991958239986e-17,0.20912502144588271,0.0024271846879282593,0.21838293106424117,9.163544378420584e-17,0.09631289809016702,0.0017375026618190153,0.00083623116955457,2.4999174336206172e-05,0.14366906840229735,8.112145829992198e-05,0.14283283723274273,8.80736205031529e-05,4.494590284116863,7.371821433577905e-16,4.534228706015488,0.03561401177117809,0.00870298638268083,0.0002932997381988484,0.0033516041003654636,6.416262492718406e-19,0.1461844413331082,8.807362050315401e-05,0.0009747863464438655,1.7585327668838628e-05,0.1,1.8994278985763824,0.0101210363904872,0.9
32,0.8819425507445693,0.0060174721187857055,0.8908685968819599,1.992911320093939e-16,0.26639109932143085,0.0016754175587941956,0.28363735506836624,1.162940585495203e-16,0.3022101604886263,0.003196980837327855,0.3183829310642411,1.5971184098972974e-16,0.08437514589938257,0.001704609815114268,0.00072522570210465,2.315356334625127e-05,0.14125903624867298,0.00014105668010333186,0.14053381054656833,0.00015225632525028187,5.294590284116863,1.0715553523523777e-15,5.369796169700912,0.03540551583796789,0.00863032895384401,0.0003375809223663142,0.0029346006429110034,5.727944957511751e-19,0.14346841118947934,0.00015225632525028187,0.0008539639221003178,1.7252417970353163e-05,0.1,1.8994278985763824,0.0101210363904872,0.9
40,0.8817287053376953,0.0055331770219311524,0.8908685968819603,2.369631985977782e-16,0.3347423839595295,0.0022283937215138647,0.3411616820392795,6.302138946229738e-17,0.3797131833470095,0.0026039992137430698,0.3829539880890911,1.2672006901777117e-16,0.08115736862431508,0.002605060494878717,0.0006709180157914,1.9643655872641735e-05,0.13958142694156553,0.00010202784062574324,0.13891050892577408,0.00011384804004677042,6.09459028411686,1.5915778390881045e-15,6.184591729230556,0.03335565620296911,0.00831763806272644,0.00028668246957632337,0.0028131386276814226,2.418956315733399e-19,0.1417236475534555,0.00011384804004676935,0.000821396681202877,2.636591206808809e-05,0.1,1.8994278985763824,0.0101210363904872,0.9
48,0.8848929340277062,0.00596840208546275,0.8908685968819601,2.260181891215643e-16,0.40124737168999197,0.0019532867013125023,0.4177668368288135,1.0613458556241175e-16,0.4535546981938768,0.002610380239443107,0.46894327434034305,8.107922592650823e-17,0.07437569145689173,0.001974055247824138,0.00062633425602503,1.1604714826198314e-05,0.13869545198976924,9.601633338611107e-05,0.13806911773374417,9.590597389997057e-05,6.894590284116863,1.0592145720521697e-15,6.994412063465006,0.04087391571965637,0.008457991921423592,0.000208611166976743,0.0026605100197090877,2.8179988275763487e-19,0.14072962775345327,9.590597389997244e-05,0.0007527590798028491,1.997948500006033e-05,0.1,1.8994278985763824,0.0101210363904872,0.9
64,0.8912852402191321,0.007244327286663844,0.8908685968819599,2.868971348389342e-16,0.5316365004775655,0.0023305908985557094,0.570807842164809,1.3084103822364793e-16,0.5968625140119286,0.005815521812685423,0.6407318028299981,2.0770370905276122e-16,0.07323761429610362,0.001810531817739289,0.00059981955459587,1.2882357074062853e-05,0.1374553268944308,8.392037617129875e-05,0.1368555073398349,8.840940533375373e-05,8.494590284116862,2.5260657574815967e-15,8.54423040855329,0.055893926291176184,0.00821926652247652,0.0002193892444866681,0.0024661231387695026,1.939479807224432e-19,0.1393216304786044,8.840940533375358e-05,0.0007412405594433303,1.8324458413474284e-05,0.1,1.8994278985763824,0.0101210363904872,0.9
80,0.904136090079548,0.006252806505087727,0.8908685968819599,1.0335613878656588e-16,0.6418501592819474,0.003895718675242804,0.6975091207920634,1.5258555995074125e-16,0.7100844168800179,0.004763910269394976,0.7829539880890912,2.1387607650543173e-16,0.06694044331363799,0.0016096832588485923,0.00055838637493938,1.027662295107151e-05,0.13669508331827027,5.625820389921431e-05,0.13613669694333086,6.421038869743655e-05,10.094590284116864,1.6215845185301648e-15,10.01235906701442,0.05891149950061323,0.008386719949571641,0.00026194504295751995,0.002390512796599116,2.2395183775777384e-19,0.13852720973993,6.421038869743859e-05,0.0006775066627726756,1.6291662839964628e-05,0.1,1.8994278985763824,0.0101210363904872,0.9
96,0.978301825492449,0.004379516448294557,0.9086859688195995,2.284291180211742e-16,0.7625428588725152,0.005319205751378054,0.8272087571891638,1.703950230280151e-16,0.7794672311779808,0.004412512569873173,0.9103351273968979,2.8785028409202547e-16,0.06745635546877833,0.00223844194969587,0.00055346496122891,1.0368532474465737e-05,0.1361883258689715,6.648420351715557e-05,0.13563486090774252,6.110004074816712e-05,11.46528459227143,2.491125405863508e-15,10.735930102745362,0.03646283868795267,0.00826368039187491,0.00023875903025880984,0.0023363104058911877,3.0665868333667484e-19,0.1379711713136337,6.110004074816532e-05,0.0006827282284691457,2.265535243086502e-05,0.1,1.8994278985763824,0.0101210363904872,0.9
