stress,x,seed,n_train,rho,noise,shuffled,lhs,old_scale,corrected_scale,old_rhs,corrected_rhs,calibrated_c_old,calibrated_c_corrected
shuffle,64.0,0,64,1.0,1.0,1,2.327259785410282,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,1,64,1.0,1.0,1,2.1041377981415335,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,2,64,1.0,1.0,1,2.0059352752322144,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,3,64,1.0,1.0,1,1.9958985456667804,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,4,64,1.0,1.0,1,2.385398370412784,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,5,64,1.0,1.0,1,2.081804560934237,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,6,64,1.0,1.0,1,2.179418191879722,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,7,64,1.0,1.0,1,2.2104211986854616,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,8,64,1.0,1.0,1,2.2175998959434398,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,9,64,1.0,1.0,1,2.375602433680662,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,10,64,1.0,1.0,1,2.0099316950555095,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,11,64,1.0,1.0,1,2.2841312403272096,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,12,64,1.0,1.0,1,2.106775873035628,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,13,64,1.0,1.0,1,1.937791655358656,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,14,64,1.0,1.0,1,2.157746417565467,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,15,64,1.0,1.0,1,2.120713379358412,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,16,64,1.0,1.0,1,2.145438398072762,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,17,64,1.0,1.0,1,2.159634637110998,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,18,64,1.0,1.0,1,2.328844687142125,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,19,64,1.0,1.0,1,2.0784431492952753,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,20,64,1.0,1.0,1,2.2345012256378882,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,21,64,1.0,1.0,1,1.926573833629914,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,22,64,1.0,1.0,1,2.0564035062157493,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,23,64,1.0,1.0,1,2.2316773664360636,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,24,64,1.0,1.0,1,2.0559385931017062,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,25,64,1.0,1.0,1,2.350103901586706,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,26,64,1.0,1.0,1,2.0220613404131216,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,27,64,1.0,1.0,1,2.430285784492941,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,28,64,1.0,1.0,1,2.2941751692125276,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,64.0,29,64,1.0,1.0,1,2.1800112903146807,0.0,3.34506366815865,0.0,2.772081704369786,2.9505273848929625,0.8287082038996669
shuffle,96.0,0,96,1.0,1.0,1,1.6134124546075788,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,1,96,1.0,1.0,1,1.6482918961165847,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,2,96,1.0,1.0,1,1.6636137921369536,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,3,96,1.0,1.0,1,1.662566374791864,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,4,96,1.0,1.0,1,1.6454580835335786,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,5,96,1.0,1.0,1,1.8767732387842042,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,6,96,1.0,1.0,1,1.8523899260908536,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
