experiment,seed,gauge_type,context_law,n_train,n_test,context_dim,K,d,r_star,sigma_z,sigma_y,relative_prediction_error,prediction_mse,embedding_cov_isotropy_error,expected_embedding_cov_isotropy_error,embedding_cov_expected_error,projection_gaussianity_score
gauge_factorization,0,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.055664244400494035,0.0,0.05577468649177186,8.902132061374942e-05
gauge_factorization,1,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.059525450249183265,0.0,0.05955555693562015,7.53733209230455e-05
gauge_factorization,2,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05050162595851983,0.0,0.05082333074037617,0.00010019588808913019
gauge_factorization,3,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05646084901331436,0.0,0.056415030933813566,5.303409093709702e-05
gauge_factorization,4,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05572464092195461,0.0,0.05649953030908297,0.00010695072692353714
gauge_factorization,5,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05130753388022251,0.0,0.05155253103356097,7.518478923303887e-05
gauge_factorization,6,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.054126435234497276,0.0,0.054047396900809605,7.51610575981387e-05
gauge_factorization,7,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.059501067210554655,0.0,0.05940664530236225,9.591247306751914e-05
gauge_factorization,8,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05144882616789205,0.0,0.05150088181196301,8.854189845801359e-05
gauge_factorization,9,identity,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.053388090291667425,0.0,0.053685720177845245,7.739965223401286e-05
gauge_factorization,0,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.31525746978951e-16,6.381415731847759e-30,0.05566424440049403,5.185894464719314e-16,0.05577468649177186,9.173730183355409e-05
gauge_factorization,1,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,4.818854951818759e-16,5.271752763036281e-30,0.059525450249183286,5.847730445572442e-16,0.05955555693562012,7.72885072174147e-05
gauge_factorization,2,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,6.141624524881373e-16,8.466826260711964e-30,0.050501625958519814,6.073028273557686e-16,0.050823330740376156,8.134770900110497e-05
gauge_factorization,3,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.310438878662127e-16,6.35550101524344e-30,0.05646084901331434,5.521865930650423e-16,0.05641503093381355,7.644890390384095e-05
gauge_factorization,4,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,4.715873251708924e-16,5.049006045153396e-30,0.05572464092195461,4.292726376967412e-16,0.05649953030908293,9.623940719591541e-05
gauge_factorization,5,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.614479918493182e-16,7.147353908378399e-30,0.051307533880222495,4.894163806899701e-16,0.051552531033560965,7.551873029247748e-05
gauge_factorization,6,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.557335570929027e-16,6.971854484576268e-30,0.054126435234497255,5.880030229099017e-16,0.05404739690080963,7.441979398665814e-05
