seed,K,rank_constraint,cross_cov_rank,rank_formula,coefficient_rank,factorized_rank,relative_factorization_error,rrr_mse,factored_mse,ols_mse,factorized_loss_gap,rrr_ols_gap
0,2,2,2,2,2,2,1.2450713973730298e-15,24.53006141802836,24.530061418028364,24.53006141805284,3.552713678800501e-15,-2.447819724693545e-11
0,2,4,2,2,2,2,1.2450713973730298e-15,24.53006141802836,24.530061418028364,24.53006141805284,3.552713678800501e-15,-2.447819724693545e-11
0,2,8,2,2,2,2,1.2450713973730298e-15,24.53006141802836,24.530061418028364,24.53006141805284,3.552713678800501e-15,-2.447819724693545e-11
0,2,16,2,2,2,2,1.2450713973730298e-15,24.53006141802836,24.530061418028364,24.53006141805284,3.552713678800501e-15,-2.447819724693545e-11
0,2,24,2,2,2,2,1.2450713973730298e-15,24.53006141802836,24.530061418028364,24.53006141805284,3.552713678800501e-15,-2.447819724693545e-11
0,4,2,4,2,2,2,1.1472552059690785e-15,458.34053023764926,458.34053023764926,18.619854440150874,0.0,439.7206757974984
0,4,4,4,4,4,4,1.1427152103639463e-15,18.619854440062745,18.61985444006275,18.619854440150874,3.552713678800501e-15,-8.812861551632523e-11
0,4,8,4,4,4,4,1.1427152103639463e-15,18.619854440062745,18.61985444006275,18.619854440150874,3.552713678800501e-15,-8.812861551632523e-11
0,4,16,4,4,4,4,1.1427152103639463e-15,18.619854440062745,18.61985444006275,18.619854440150874,3.552713678800501e-15,-8.812861551632523e-11
0,4,24,4,4,4,4,1.1427152103639463e-15,18.619854440062745,18.61985444006275,18.619854440150874,3.552713678800501e-15,-8.812861551632523e-11
0,8,2,8,2,2,2,1.300475328441522e-15,408.7598314255108,408.7598314255108,11.749435307972503,0.0,397.01039611753833
0,8,4,8,4,4,4,1.2350522431245639e-15,186.80872787677342,186.80872787677342,11.749435307972503,0.0,175.0592925688009
0,8,8,8,8,8,8,1.3816196646246182e-15,11.749435307833359,11.74943530783336,11.749435307972503,1.7763568394002505e-15,-1.3914380758706102e-10
0,8,16,8,8,8,8,1.3816196646246182e-15,11.749435307833359,11.74943530783336,11.749435307972503,1.7763568394002505e-15,-1.3914380758706102e-10
0,8,24,8,8,8,8,1.3816196646246182e-15,11.749435307833359,11.74943530783336,11.749435307972503,1.7763568394002505e-15,-1.3914380758706102e-10
0,16,2,16,2,2,2,1.2943936555552564e-15,231.6884762573569,231.6884762573569,6.328251802479449,0.0,225.36022445487745
0,16,4,16,4,4,4,1.008029040655089e-15,121.88084095705632,121.88084095705632,6.328251802479449,0.0,115.55258915457688
0,16,8,16,8,8,8,1.5182155232611008e-15,35.03093308277231,35.030933082772314,6.328251802479449,7.105427357601002e-15,28.702681280292857
0,16,16,16,16,16,16,1.3735496607355048e-15,6.328251802508156,6.328251802508157,6.328251802479449,8.881784197001252e-16,2.8706814703127748e-11
0,16,24,16,16,16,16,1.3735496607355048e-15,6.328251802508156,6.328251802508157,6.328251802479449,8.881784197001252e-16,2.8706814703127748e-11
0,24,2,24,2,2,2,1.2707215250858093e-15,155.7558389589475,155.7558389589475,4.251758811163612,0.0,151.50408014778387
0,24,4,24,4,4,4,1.0204293702755217e-15,83.10921676009637,83.10921676009637,4.251758811163612,0.0,78.85745794893276
0,24,8,24,8,8,8,1.1884380366445953e-15,25.086764006819184,25.086764006819184,4.251758811163612,0.0,20.835005195655572
0,24,16,24,16,16,16,1.4971352476252752e-15,5.623323689804304,5.623323689804303,4.251758811163612,-1.7763568394002505e-15,1.371564878640692
0,24,24,24,24,24,24,2.212103627316091e-15,4.251758811166181,4.251758811166179,4.251758811163612,-1.7763568394002505e-15,2.568611989772762e-12
0,32,2,24,2,2,2,9.88527081860078e-16,156.838966861706,156.838966861706,4.250947665832504,0.0,152.5880191958735
0,32,4,24,4,4,4,1.1646457386640135e-15,83.19140252379296,83.19140252379295,4.250947665832504,-1.4210854715202004e-14,78.94045485796046
0,32,8,24,8,8,8,2.1140922397762286e-15,24.946543089428573,24.946543089428573,4.250947665832504,0.0,20.695595423596068
0,32,16,24,16,16,16,2.444579905081181e-15,5.605715138571028,5.605715138571028,4.250947665832504,0.0,1.3547674727385246
0,32,24,24,24,24,24,1.454022205013629e-15,4.250947665864349,4.25094766586435,4.250947665832504,1.7763568394002505e-15,3.184474905992829e-11
0,48,2,24,2,2,2,1.3767588108359495e-15,155.45608702804142,155.45608702804142,4.248028584173081,0.0,151.20805844386834
0,48,4,24,4,4,4,1.3127750982393965e-15,83.05353863509208,83.0535386350921,4.248028584173081,1.4210854715202004e-14,78.805510050919
0,48,8,24,8,8,8,2.122552741158782e-15,24.910381855535505,24.910381855535505,4.248028584173081,0.0,20.662353271362424
0,48,16,24,16,16,16,1.4407726596415827e-15,5.6265114876074485,5.6265114876074485,4.248028584173081,0.0,1.3784829034343673
0,48,24,24,24,24,24,1.4234209778551022e-15,4.248028584172368,4.2480285841723715,4.248028584173081,3.552713678800501e-15,-7.132072710192006e-13
1,2,2,2,2,2,2,5.276552391732207e-16,24.205872396887287,24.205872396887287,24.205872397274465,0.0,-3.871782894293574e-10
1,2,4,2,2,2,2,5.276552391732207e-16,24.205872396887287,24.205872396887287,24.205872397274465,0.0,-3.871782894293574e-10
1,2,8,2,2,2,2,5.276552391732207e-16,24.205872396887287,24.205872396887287,24.205872397274465,0.0,-3.871782894293574e-10
1,2,16,2,2,2,2,5.276552391732207e-16,24.205872396887287,24.205872396887287,24.205872397274465,0.0,-3.871782894293574e-10
1,2,24,2,2,2,2,5.276552391732207e-16,24.205872396887287,24.205872396887287,24.205872397274465,0.0,-3.871782894293574e-10
1,4,2,4,2,2,2,6.02467217518513e-16,467.94751713490706,467.947517134907,18.602612610772844,-5.684341886080802e-14,449.3449045241342
1,4,4,4,4,4,4,1.3224853892363195e-15,18.602612610908714,18.602612610908714,18.602612610772844,0.0,1.3586998193204636e-10
1,4,8,4,4,4,4,1.3224853892363195e-15,18.602612610908714,18.602612610908714,18.602612610772844,0.0,1.3586998193204636e-10
1,4,16,4,4,4,4,1.3224853892363195e-15,18.602612610908714,18.602612610908714,18.602612610772844,0.0,1.3586998193204636e-10
1,4,24,4,4,4,4,1.3224853892363195e-15,18.602612610908714,18.602612610908714,18.602612610772844,0.0,1.3586998193204636e-10
1,8,2,8,2,2,2,5.704742532950204e-16,407.1719712608356,407.1719712608356,11.759188030639034,0.0,395.41278323019657
1,8,4,8,4,4,4,1.3538255551113313e-15,186.23823497648354,186.23823497648354,11.759188030639034,0.0,174.47904694584452
1,8,8,8,8,8,8,1.3707788800878286e-15,11.75918803065099,11.759188030650991,11.759188030639034,1.7763568394002505e-15,1.1954881529163686e-11
1,8,16,8,8,8,8,1.3707788800878286e-15,11.75918803065099,11.759188030650991,11.759188030639034,1.7763568394002505e-15,1.1954881529163686e-11
1,8,24,8,8,8,8,1.3707788800878286e-15,11.75918803065099,11.759188030650991,11.759188030639034,1.7763568394002505e-15,1.1954881529163686e-11
1,16,2,16,2,2,2,5.164549648183487e-16,233.3408339505652,233.3408339505652,6.303214946609175,0.0,227.03761900395602
1,16,4,16,4,4,4,1.2431027914485227e-15,121.55460524240817,121.55460524240817,6.303214946609175,0.0,115.251390295799
1,16,8,16,8,8,8,2.6153673361594388e-15,35.32665716327868,35.32665716327868,6.303214946609175,0.0,29.02344221666951
1,16,16,16,16,16,16,1.6468757031785598e-15,6.3032149466236245,6.3032149466236245,6.303214946609175,0.0,1.4449774710101337e-11
1,16,24,16,16,16,16,1.6468757031785598e-15,6.3032149466236245,6.3032149466236245,6.303214946609175,0.0,1.4449774710101337e-11
1,24,2,24,2,2,2,5.549214218235297e-16,156.24095874785178,156.24095874785178,4.228808905638897,0.0,152.0121498422129
1,24,4,24,4,4,4,1.293221585511156e-15,83.06477086896041,83.06477086896042,4.228808905638897,1.4210854715202004e-14,78.83596196332151
1,24,8,24,8,8,8,2.0381297951538936e-15,24.985092756276615,24.98509275627661,4.228808905638897,-3.552713678800501e-15,20.75628385063772
